ticker,asset_class,description
SPY,US Equity,S&P 500
QQQ,US Equity,Nasdaq 100
IWM,US Equity,US Small Cap
IWD,US Equity,US Large Value
IWN,US Equity,US Small Value
MTUM,US Equity,US Momentum
VT,Global Equity,Total World
EFA,Developed Equity,Developed ex-US
VGK,Europe Equity,Europe
EWJ,Japan Equity,Japan
EEM,Emerging Equity,Emerging Markets
VWO,Emerging Equity,Emerging Markets
VNQ,REIT,US REIT
REM,REIT,Mortgage REIT
GLD,Gold,Gold
DBC,Commodity,Broad Commodity
TLT,Treasury,US Long Treasury
EDV,Treasury,US Zero Coupon Long Treasury
IEF,Treasury,US Intermediate Treasury
SHY,Treasury,US Short Treasury
BIL,Treasury,US Ultra Short Treasury
AGG,Bond,US Aggregate Bond
BND,Bond,US Aggregate Bond
LQD,Corporate Bond,Investment Grade Corporate
HYG,High Yield Bond,US High Yield
BWX,International Bond,International Treasury
LPTZ,TIPS,Long Term TIPS
EMLC,Emerging Bond,Emerging Local Currency Bond
