Date,AGG,BIL,BND,BWX,DBC,EDV,EEM,EFA,EMLC,EWJ,GLD,HYG,IEF,IWD,IWM,IWN,LQD,LTPZ,MTUM,QQQ,REM,SHY,SPY,TLT,VGK,VNQ,VT,VWO
1993-01-29,,,,,,,,,,,,,,,,,,,,,,,43.96875,,,,,
1993-02-01,,,,,,,,,,,,,,,,,,,,,,,43.96875,,,,,
1993-02-02,,,,,,,,,,,,,,,,,,,,,,,44.21875,,,,,
1993-02-03,,,,,,,,,,,,,,,,,,,,,,,44.40625,,,,,
1993-02-04,,,,,,,,,,,,,,,,,,,,,,,44.96875,,,,,
1993-02-05,,,,,,,,,,,,,,,,,,,,,,,44.96875,,,,,
1993-02-08,,,,,,,,,,,,,,,,,,,,,,,44.96875,,,,,
1993-02-09,,,,,,,,,,,,,,,,,,,,,,,44.8125,,,,,
1993-02-10,,,,,,,,,,,,,,,,,,,,,,,44.65625,,,,,
1993-02-11,,,,,,,,,,,,,,,,,,,,,,,44.78125,,,,,
1993-02-12,,,,,,,,,,,,,,,,,,,,,,,44.875,,,,,
1993-02-16,,,,,,,,,,,,,,,,,,,,,,,44.46875,,,,,
1993-02-17,,,,,,,,,,,,,,,,,,,,,,,43.46875,,,,,
1993-02-18,,,,,,,,,,,,,,,,,,,,,,,43.9375,,,,,
1993-02-19,,,,,,,,,,,,,,,,,,,,,,,43.40625,,,,,
1993-02-22,,,,,,,,,,,,,,,,,,,,,,,43.6875,,,,,
1993-02-23,,,,,,,,,,,,,,,,,,,,,,,43.84375,,,,,
1993-02-24,,,,,,,,,,,,,,,,,,,,,,,43.71875,,,,,
1993-02-25,,,,,,,,,,,,,,,,,,,,,,,44.21875,,,,,
1993-02-26,,,,,,,,,,,,,,,,,,,,,,,44.4375,,,,,
1993-03-01,,,,,,,,,,,,,,,,,,,,,,,44.5625,,,,,
1993-03-02,,,,,,,,,,,,,,,,,,,,,,,44.3125,,,,,
1993-03-03,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,
1993-03-04,,,,,,,,,,,,,,,,,,,,,,,45.1875,,,,,
1993-03-05,,,,,,,,,,,,,,,,,,,,,,,44.9375,,,,,
1993-03-08,,,,,,,,,,,,,,,,,,,,,,,44.84375,,,,,
1993-03-09,,,,,,,,,,,,,,,,,,,,,,,45.65625,,,,,
1993-03-10,,,,,,,,,,,,,,,,,,,,,,,45.59375,,,,,
1993-03-11,,,,,,,,,,,,,,,,,,,,,,,45.71875,,,,,
1993-03-12,,,,,,,,,,,,,,,,,,,,,,,45.1875,,,,,
1993-03-15,,,,,,,,,,,,,,,,,,,,,,,45.0625,,,,,
1993-03-16,,,,,,,,,,,,,,,,,,,,,,,45.3125,,,,,
1993-03-17,,,,,,,,,,,,,,,,,,,,,,,45.25,,,,,
1993-03-18,,,,,,,,,,,,,,,,,,,,,,,45.21875,,,,,
1993-03-19,,,,,,,,,,,,,,,,,,,,,,,45.28125,,,,,
1993-03-22,,,,,,,,,,,,,,,,,,,,,,,44.59375,,,,,
1993-03-23,,,,,,,,,,,,,,,,,,,,,,,44.90625,,,,,
1993-03-24,,,,,,,,,,,,,,,,,,,,,,,44.8125,,,,,
1993-03-25,,,,,,,,,,,,,,,,,,,,,,,44.90625,,,,,
1993-03-26,,,,,,,,,,,,,,,,,,,,,,,45.125,,,,,
1993-03-29,,,,,,,,,,,,,,,,,,,,,,,44.9375,,,,,
1993-03-30,,,,,,,,,,,,,,,,,,,,,,,45.15625,,,,,
1993-03-31,,,,,,,,,,,,,,,,,,,,,,,45.34375,,,,,
