Date,AGG,BIL,BND,BWX,DBC,EDV,EEM,EFA,EMLC,EWJ,GLD,HYG,IEF,IWD,IWM,IWN,LQD,LTPZ,MTUM,QQQ,REM,SHY,SPY,TLT,VGK,VNQ,VT,VWO
1993-01-29,,,,,,,,,,,,,,,,,,,,,,,1003200,,,,,
1993-02-01,,,,,,,,,,,,,,,,,,,,,,,480500,,,,,
1993-02-02,,,,,,,,,,,,,,,,,,,,,,,201300,,,,,
1993-02-03,,,,,,,,,,,,,,,,,,,,,,,529400,,,,,
1993-02-04,,,,,,,,,,,,,,,,,,,,,,,531500,,,,,
1993-02-05,,,,,,,,,,,,,,,,,,,,,,,492100,,,,,
1993-02-08,,,,,,,,,,,,,,,,,,,,,,,596100,,,,,
1993-02-09,,,,,,,,,,,,,,,,,,,,,,,122100,,,,,
1993-02-10,,,,,,,,,,,,,,,,,,,,,,,379600,,,,,
1993-02-11,,,,,,,,,,,,,,,,,,,,,,,19500,,,,,
1993-02-12,,,,,,,,,,,,,,,,,,,,,,,42500,,,,,
1993-02-16,,,,,,,,,,,,,,,,,,,,,,,374800,,,,,
1993-02-17,,,,,,,,,,,,,,,,,,,,,,,210900,,,,,
1993-02-18,,,,,,,,,,,,,,,,,,,,,,,378100,,,,,
1993-02-19,,,,,,,,,,,,,,,,,,,,,,,34900,,,,,
1993-02-22,,,,,,,,,,,,,,,,,,,,,,,513600,,,,,
1993-02-23,,,,,,,,,,,,,,,,,,,,,,,373700,,,,,
1993-02-24,,,,,,,,,,,,,,,,,,,,,,,26300,,,,,
1993-02-25,,,,,,,,,,,,,,,,,,,,,,,44500,,,,,
1993-02-26,,,,,,,,,,,,,,,,,,,,,,,66200,,,,,
1993-03-01,,,,,,,,,,,,,,,,,,,,,,,66500,,,,,
1993-03-02,,,,,,,,,,,,,,,,,,,,,,,182400,,,,,
1993-03-03,,,,,,,,,,,,,,,,,,,,,,,280100,,,,,
1993-03-04,,,,,,,,,,,,,,,,,,,,,,,89500,,,,,
1993-03-05,,,,,,,,,,,,,,,,,,,,,,,40000,,,,,
1993-03-08,,,,,,,,,,,,,,,,,,,,,,,50800,,,,,
1993-03-09,,,,,,,,,,,,,,,,,,,,,,,169300,,,,,
1993-03-10,,,,,,,,,,,,,,,,,,,,,,,194400,,,,,
1993-03-11,,,,,,,,,,,,,,,,,,,,,,,70900,,,,,
1993-03-12,,,,,,,,,,,,,,,,,,,,,,,643600,,,,,
1993-03-15,,,,,,,,,,,,,,,,,,,,,,,310800,,,,,
1993-03-16,,,,,,,,,,,,,,,,,,,,,,,30800,,,,,
1993-03-17,,,,,,,,,,,,,,,,,,,,,,,21800,,,,,
1993-03-18,,,,,,,,,,,,,,,,,,,,,,,59300,,,,,
1993-03-19,,,,,,,,,,,,,,,,,,,,,,,66900,,,,,
1993-03-22,,,,,,,,,,,,,,,,,,,,,,,183400,,,,,
1993-03-23,,,,,,,,,,,,,,,,,,,,,,,55200,,,,,
1993-03-24,,,,,,,,,,,,,,,,,,,,,,,37200,,,,,
1993-03-25,,,,,,,,,,,,,,,,,,,,,,,110100,,,,,
1993-03-26,,,,,,,,,,,,,,,,,,,,,,,101500,,,,,
1993-03-29,,,,,,,,,,,,,,,,,,,,,,,87100,,,,,
1993-03-30,,,,,,,,,,,,,,,,,,,,,,,56000,,,,,
1993-03-31,,,,,,,,,,,,,,,,,,,,,,,111600,,,,,
1993-04-01,,,,,,,,,,,,,,,,,,,,,,,129500,,,,,
1993-04-02,,,,,,,,,,,,,,,,,,,,,,,59400,,,,,
1993-04-05,,,,,,,,,,,,,,,,,,,,,,,172200,,,,,
1993-04-06,,,,,,,,,,,,,,,,,,,,,,,129700,,,,,
1993-04-07,,,,,,,,,,,,,,,,,,,,,,,28000,,,,,
1993-04-08,,,,,,,,,,,,,,,,,,,,,,,180800,,,,,
1993-04-12,,,,,,,,,,,,,,,,,,,,,,,348500,,,,,
1993-04-13,,,,,,,,,,,,,,,,,,,,,,,146100,,,,,
1993-04-14,,,,,,,,,,,,,,,,,,,,,,,119600,,,,,
1993-04-15,,,,,,,,,,,,,,,,,,,,,,,148600,,,,,
1993-04-16,,,,,,,,,,,,,,,,,,,,,,,47900,,,,,
1993-04-19,,,,,,,,,,,,,,,,,,,,,,,157000,,,,,
1993-04-20,,,,,,,,,,,,,,,,,,,,,,,279500,,,,,
1993-04-21,,,,,,,,,,,,,,,,,,,,,,,67900,,,,,
1993-04-22,,,,,,,,,,,,,,,,,,,,,,,97700,,,,,
1993-04-23,,,,,,,,,,,,,,,,,,,,,,,106000,,,,,
1993-04-26,,,,,,,,,,,,,,,,,,,,,,,62600,,,,,
1993-04-27,,,,,,,,,,,,,,,,,,,,,,,156800,,,,,
1993-04-28,,,,,,,,,,,,,,,,,,,,,,,85900,,,,,
1993-04-29,,,,,,,,,,,,,,,,,,,,,,,85000,,,,,
1993-04-30,,,,,,,,,,,,,,,,,,,,,,,88500,,,,,
1993-05-03,,,,,,,,,,,,,,,,,,,,,,,80500,,,,,
1993-05-04,,,,,,,,,,,,,,,,,,,,,,,149100,,,,,
1993-05-05,,,,,,,,,,,,,,,,,,,,,,,109000,,,,,
1993-05-06,,,,,,,,,,,,,,,,,,,,,,,54700,,,,,
1993-05-07,,,,,,,,,,,,,,,,,,,,,,,68000,,,,,
1993-05-10,,,,,,,,,,,,,,,,,,,,,,,113900,,,,,
1993-05-11,,,,,,,,,,,,,,,,,,,,,,,42600,,,,,
1993-05-12,,,,,,,,,,,,,,,,,,,,,,,31000,,,,,
1993-05-13,,,,,,,,,,,,,,,,,,,,,,,129100,,,,,
1993-05-14,,,,,,,,,,,,,,,,,,,,,,,63500,,,,,
1993-05-17,,,,,,,,,,,,,,,,,,,,,,,34000,,,,,
1993-05-18,,,,,,,,,,,,,,,,,,,,,,,105200,,,,,
1993-05-19,,,,,,,,,,,,,,,,,,,,,,,50200,,,,,
1993-05-20,,,,,,,,,,,,,,,,,,,,,,,98200,,,,,
1993-05-21,,,,,,,,,,,,,,,,,,,,,,,221400,,,,,
1993-05-24,,,,,,,,,,,,,,,,,,,,,,,30500,,,,,
1993-05-25,,,,,,,,,,,,,,,,,,,,,,,191800,,,,,
1993-05-26,,,,,,,,,,,,,,,,,,,,,,,102400,,,,,
1993-05-27,,,,,,,,,,,,,,,,,,,,,,,53800,,,,,
1993-05-28,,,,,,,,,,,,,,,,,,,,,,,79100,,,,,
1993-06-01,,,,,,,,,,,,,,,,,,,,,,,28300,,,,,
1993-06-02,,,,,,,,,,,,,,,,,,,,,,,20300,,,,,
1993-06-03,,,,,,,,,,,,,,,,,,,,,,,21600,,,,,
1993-06-04,,,,,,,,,,,,,,,,,,,,,,,32000,,,,,
1993-06-07,,,,,,,,,,,,,,,,,,,,,,,121400,,,,,
1993-06-08,,,,,,,,,,,,,,,,,,,,,,,104500,,,,,
1993-06-09,,,,,,,,,,,,,,,,,,,,,,,43300,,,,,
1993-06-10,,,,,,,,,,,,,,,,,,,,,,,17900,,,,,
1993-06-11,,,,,,,,,,,,,,,,,,,,,,,647400,,,,,
1993-06-14,,,,,,,,,,,,,,,,,,,,,,,64200,,,,,
1993-06-15,,,,,,,,,,,,,,,,,,,,,,,142400,,,,,
1993-06-16,,,,,,,,,,,,,,,,,,,,,,,330900,,,,,
1993-06-17,,,,,,,,,,,,,,,,,,,,,,,37400,,,,,
1993-06-18,,,,,,,,,,,,,,,,,,,,,,,58500,,,,,
1993-06-21,,,,,,,,,,,,,,,,,,,,,,,29300,,,,,
1993-06-22,,,,,,,,,,,,,,,,,,,,,,,137500,,,,,
1993-06-23,,,,,,,,,,,,,,,,,,,,,,,227600,,,,,
1993-06-24,,,,,,,,,,,,,,,,,,,,,,,243700,,,,,
1993-06-25,,,,,,,,,,,,,,,,,,,,,,,44800,,,,,
1993-06-28,,,,,,,,,,,,,,,,,,,,,,,439900,,,,,
1993-06-29,,,,,,,,,,,,,,,,,,,,,,,207500,,,,,
1993-06-30,,,,,,,,,,,,,,,,,,,,,,,437600,,,,,
1993-07-01,,,,,,,,,,,,,,,,,,,,,,,605700,,,,,
1993-07-02,,,,,,,,,,,,,,,,,,,,,,,285400,,,,,
1993-07-06,,,,,,,,,,,,,,,,,,,,,,,246400,,,,,
1993-07-07,,,,,,,,,,,,,,,,,,,,,,,343700,,,,,
1993-07-08,,,,,,,,,,,,,,,,,,,,,,,248200,,,,,
1993-07-09,,,,,,,,,,,,,,,,,,,,,,,378200,,,,,
1993-07-12,,,,,,,,,,,,,,,,,,,,,,,373700,,,,,
1993-07-13,,,,,,,,,,,,,,,,,,,,,,,389600,,,,,
1993-07-14,,,,,,,,,,,,,,,,,,,,,,,617300,,,,,
1993-07-15,,,,,,,,,,,,,,,,,,,,,,,443800,,,,,
1993-07-16,,,,,,,,,,,,,,,,,,,,,,,216400,,,,,
1993-07-19,,,,,,,,,,,,,,,,,,,,,,,188200,,,,,
1993-07-20,,,,,,,,,,,,,,,,,,,,,,,68500,,,,,
1993-07-21,,,,,,,,,,,,,,,,,,,,,,,142700,,,,,
1993-07-22,,,,,,,,,,,,,,,,,,,,,,,632400,,,,,
1993-07-23,,,,,,,,,,,,,,,,,,,,,,,286200,,,,,
1993-07-26,,,,,,,,,,,,,,,,,,,,,,,121300,,,,,
1993-07-27,,,,,,,,,,,,,,,,,,,,,,,92800,,,,,
1993-07-28,,,,,,,,,,,,,,,,,,,,,,,30800,,,,,
1993-07-29,,,,,,,,,,,,,,,,,,,,,,,331000,,,,,
1993-07-30,,,,,,,,,,,,,,,,,,,,,,,75300,,,,,
1993-08-02,,,,,,,,,,,,,,,,,,,,,,,41300,,,,,
1993-08-03,,,,,,,,,,,,,,,,,,,,,,,81600,,,,,
1993-08-04,,,,,,,,,,,,,,,,,,,,,,,434000,,,,,
1993-08-05,,,,,,,,,,,,,,,,,,,,,,,36800,,,,,
1993-08-06,,,,,,,,,,,,,,,,,,,,,,,402300,,,,,
1993-08-09,,,,,,,,,,,,,,,,,,,,,,,828200,,,,,
1993-08-10,,,,,,,,,,,,,,,,,,,,,,,604900,,,,,
1993-08-11,,,,,,,,,,,,,,,,,,,,,,,542200,,,,,
1993-08-12,,,,,,,,,,,,,,,,,,,,,,,303700,,,,,
1993-08-13,,,,,,,,,,,,,,,,,,,,,,,103500,,,,,
1993-08-16,,,,,,,,,,,,,,,,,,,,,,,241800,,,,,
1993-08-17,,,,,,,,,,,,,,,,,,,,,,,369300,,,,,
1993-08-18,,,,,,,,,,,,,,,,,,,,,,,414300,,,,,
1993-08-19,,,,,,,,,,,,,,,,,,,,,,,28500,,,,,
1993-08-20,,,,,,,,,,,,,,,,,,,,,,,80700,,,,,
1993-08-23,,,,,,,,,,,,,,,,,,,,,,,15600,,,,,
1993-08-24,,,,,,,,,,,,,,,,,,,,,,,273400,,,,,
1993-08-25,,,,,,,,,,,,,,,,,,,,,,,242300,,,,,
1993-08-26,,,,,,,,,,,,,,,,,,,,,,,120000,,,,,
1993-08-27,,,,,,,,,,,,,,,,,,,,,,,25700,,,,,
1993-08-30,,,,,,,,,,,,,,,,,,,,,,,183500,,,,,
1993-08-31,,,,,,,,,,,,,,,,,,,,,,,66500,,,,,
1993-09-01,,,,,,,,,,,,,,,,,,,,,,,136500,,,,,
1993-09-02,,,,,,,,,,,,,,,,,,,,,,,472400,,,,,
1993-09-03,,,,,,,,,,,,,,,,,,,,,,,630500,,,,,
1993-09-07,,,,,,,,,,,,,,,,,,,,,,,196400,,,,,
1993-09-08,,,,,,,,,,,,,,,,,,,,,,,269900,,,,,
1993-09-09,,,,,,,,,,,,,,,,,,,,,,,239200,,,,,
1993-09-10,,,,,,,,,,,,,,,,,,,,,,,106500,,,,,
1993-09-13,,,,,,,,,,,,,,,,,,,,,,,66900,,,,,
1993-09-14,,,,,,,,,,,,,,,,,,,,,,,184500,,,,,
1993-09-15,,,,,,,,,,,,,,,,,,,,,,,101000,,,,,
1993-09-16,,,,,,,,,,,,,,,,,,,,,,,54300,,,,,
1993-09-17,,,,,,,,,,,,,,,,,,,,,,,200900,,,,,
1993-09-20,,,,,,,,,,,,,,,,,,,,,,,57800,,,,,
1993-09-21,,,,,,,,,,,,,,,,,,,,,,,318200,,,,,
1993-09-22,,,,,,,,,,,,,,,,,,,,,,,439700,,,,,
1993-09-23,,,,,,,,,,,,,,,,,,,,,,,88500,,,,,
1993-09-24,,,,,,,,,,,,,,,,,,,,,,,53500,,,,,
1993-09-27,,,,,,,,,,,,,,,,,,,,,,,274600,,,,,
1993-09-28,,,,,,,,,,,,,,,,,,,,,,,158300,,,,,
1993-09-29,,,,,,,,,,,,,,,,,,,,,,,221000,,,,,
1993-09-30,,,,,,,,,,,,,,,,,,,,,,,99300,,,,,
1993-10-01,,,,,,,,,,,,,,,,,,,,,,,22700,,,,,
1993-10-04,,,,,,,,,,,,,,,,,,,,,,,1038500,,,,,
1993-10-05,,,,,,,,,,,,,,,,,,,,,,,436500,,,,,
1993-10-06,,,,,,,,,,,,,,,,,,,,,,,209200,,,,,
1993-10-07,,,,,,,,,,,,,,,,,,,,,,,59400,,,,,
1993-10-08,,,,,,,,,,,,,,,,,,,,,,,54400,,,,,
1993-10-11,,,,,,,,,,,,,,,,,,,,,,,467100,,,,,
1993-10-12,,,,,,,,,,,,,,,,,,,,,,,26200,,,,,
1993-10-13,,,,,,,,,,,,,,,,,,,,,,,139100,,,,,
1993-10-14,,,,,,,,,,,,,,,,,,,,,,,108100,,,,,
1993-10-15,,,,,,,,,,,,,,,,,,,,,,,1502500,,,,,
1993-10-18,,,,,,,,,,,,,,,,,,,,,,,722400,,,,,
1993-10-19,,,,,,,,,,,,,,,,,,,,,,,880100,,,,,
1993-10-20,,,,,,,,,,,,,,,,,,,,,,,230400,,,,,
1993-10-21,,,,,,,,,,,,,,,,,,,,,,,56200,,,,,
1993-10-22,,,,,,,,,,,,,,,,,,,,,,,390700,,,,,
1993-10-25,,,,,,,,,,,,,,,,,,,,,,,114500,,,,,
1993-10-26,,,,,,,,,,,,,,,,,,,,,,,186200,,,,,
1993-10-27,,,,,,,,,,,,,,,,,,,,,,,118400,,,,,
1993-10-28,,,,,,,,,,,,,,,,,,,,,,,129600,,,,,
1993-10-29,,,,,,,,,,,,,,,,,,,,,,,80700,,,,,
1993-11-01,,,,,,,,,,,,,,,,,,,,,,,36400,,,,,
1993-11-02,,,,,,,,,,,,,,,,,,,,,,,262100,,,,,
1993-11-03,,,,,,,,,,,,,,,,,,,,,,,479100,,,,,
1993-11-04,,,,,,,,,,,,,,,,,,,,,,,130400,,,,,
1993-11-05,,,,,,,,,,,,,,,,,,,,,,,363200,,,,,
1993-11-08,,,,,,,,,,,,,,,,,,,,,,,367600,,,,,
1993-11-09,,,,,,,,,,,,,,,,,,,,,,,246900,,,,,
1993-11-10,,,,,,,,,,,,,,,,,,,,,,,46500,,,,,
1993-11-11,,,,,,,,,,,,,,,,,,,,,,,88900,,,,,
1993-11-12,,,,,,,,,,,,,,,,,,,,,,,108200,,,,,
1993-11-15,,,,,,,,,,,,,,,,,,,,,,,243300,,,,,
1993-11-16,,,,,,,,,,,,,,,,,,,,,,,492600,,,,,
1993-11-17,,,,,,,,,,,,,,,,,,,,,,,39600,,,,,
1993-11-18,,,,,,,,,,,,,,,,,,,,,,,240800,,,,,
1993-11-19,,,,,,,,,,,,,,,,,,,,,,,106000,,,,,
1993-11-22,,,,,,,,,,,,,,,,,,,,,,,165300,,,,,
1993-11-23,,,,,,,,,,,,,,,,,,,,,,,89700,,,,,
1993-11-24,,,,,,,,,,,,,,,,,,,,,,,77200,,,,,
1993-11-26,,,,,,,,,,,,,,,,,,,,,,,1019800,,,,,
1993-11-29,,,,,,,,,,,,,,,,,,,,,,,517500,,,,,
1993-11-30,,,,,,,,,,,,,,,,,,,,,,,230000,,,,,
1993-12-01,,,,,,,,,,,,,,,,,,,,,,,379200,,,,,
1993-12-02,,,,,,,,,,,,,,,,,,,,,,,352000,,,,,
1993-12-03,,,,,,,,,,,,,,,,,,,,,,,306000,,,,,
1993-12-06,,,,,,,,,,,,,,,,,,,,,,,99500,,,,,
1993-12-07,,,,,,,,,,,,,,,,,,,,,,,88800,,,,,
1993-12-08,,,,,,,,,,,,,,,,,,,,,,,146700,,,,,
1993-12-09,,,,,,,,,,,,,,,,,,,,,,,416500,,,,,
1993-12-10,,,,,,,,,,,,,,,,,,,,,,,412900,,,,,
1993-12-13,,,,,,,,,,,,,,,,,,,,,,,273200,,,,,
1993-12-14,,,,,,,,,,,,,,,,,,,,,,,41900,,,,,
1993-12-15,,,,,,,,,,,,,,,,,,,,,,,82600,,,,,
1993-12-16,,,,,,,,,,,,,,,,,,,,,,,78200,,,,,
1993-12-17,,,,,,,,,,,,,,,,,,,,,,,104700,,,,,
1993-12-20,,,,,,,,,,,,,,,,,,,,,,,68800,,,,,
1993-12-21,,,,,,,,,,,,,,,,,,,,,,,205700,,,,,
1993-12-22,,,,,,,,,,,,,,,,,,,,,,,410300,,,,,
1993-12-23,,,,,,,,,,,,,,,,,,,,,,,533800,,,,,
1993-12-27,,,,,,,,,,,,,,,,,,,,,,,447100,,,,,
1993-12-28,,,,,,,,,,,,,,,,,,,,,,,880600,,,,,
1993-12-29,,,,,,,,,,,,,,,,,,,,,,,266700,,,,,
1993-12-30,,,,,,,,,,,,,,,,,,,,,,,219900,,,,,
1993-12-31,,,,,,,,,,,,,,,,,,,,,,,312900,,,,,
1994-01-03,,,,,,,,,,,,,,,,,,,,,,,960900,,,,,
1994-01-04,,,,,,,,,,,,,,,,,,,,,,,164300,,,,,
1994-01-05,,,,,,,,,,,,,,,,,,,,,,,710900,,,,,
1994-01-06,,,,,,,,,,,,,,,,,,,,,,,201000,,,,,
1994-01-07,,,,,,,,,,,,,,,,,,,,,,,775500,,,,,
1994-01-10,,,,,,,,,,,,,,,,,,,,,,,593700,,,,,
1994-01-11,,,,,,,,,,,,,,,,,,,,,,,295200,,,,,
1994-01-12,,,,,,,,,,,,,,,,,,,,,,,158400,,,,,
1994-01-13,,,,,,,,,,,,,,,,,,,,,,,244300,,,,,
1994-01-14,,,,,,,,,,,,,,,,,,,,,,,137200,,,,,
1994-01-17,,,,,,,,,,,,,,,,,,,,,,,17700,,,,,
1994-01-18,,,,,,,,,,,,,,,,,,,,,,,166400,,,,,
1994-01-19,,,,,,,,,,,,,,,,,,,,,,,200800,,,,,
1994-01-20,,,,,,,,,,,,,,,,,,,,,,,281100,,,,,
1994-01-21,,,,,,,,,,,,,,,,,,,,,,,85600,,,,,
1994-01-24,,,,,,,,,,,,,,,,,,,,,,,373800,,,,,
1994-01-25,,,,,,,,,,,,,,,,,,,,,,,310400,,,,,
1994-01-26,,,,,,,,,,,,,,,,,,,,,,,145100,,,,,
1994-01-27,,,,,,,,,,,,,,,,,,,,,,,344500,,,,,
1994-01-28,,,,,,,,,,,,,,,,,,,,,,,356500,,,,,
1994-01-31,,,,,,,,,,,,,,,,,,,,,,,313800,,,,,
1994-02-01,,,,,,,,,,,,,,,,,,,,,,,303600,,,,,
1994-02-02,,,,,,,,,,,,,,,,,,,,,,,307600,,,,,
1994-02-03,,,,,,,,,,,,,,,,,,,,,,,466100,,,,,
1994-02-04,,,,,,,,,,,,,,,,,,,,,,,1403200,,,,,
1994-02-07,,,,,,,,,,,,,,,,,,,,,,,516400,,,,,
1994-02-08,,,,,,,,,,,,,,,,,,,,,,,188200,,,,,
1994-02-09,,,,,,,,,,,,,,,,,,,,,,,144600,,,,,
1994-02-10,,,,,,,,,,,,,,,,,,,,,,,883900,,,,,
1994-02-11,,,,,,,,,,,,,,,,,,,,,,,519400,,,,,
1994-02-14,,,,,,,,,,,,,,,,,,,,,,,2742100,,,,,
1994-02-15,,,,,,,,,,,,,,,,,,,,,,,374700,,,,,
1994-02-16,,,,,,,,,,,,,,,,,,,,,,,287600,,,,,
1994-02-17,,,,,,,,,,,,,,,,,,,,,,,342400,,,,,
1994-02-18,,,,,,,,,,,,,,,,,,,,,,,313300,,,,,
1994-02-22,,,,,,,,,,,,,,,,,,,,,,,154500,,,,,
1994-02-23,,,,,,,,,,,,,,,,,,,,,,,391700,,,,,
1994-02-24,,,,,,,,,,,,,,,,,,,,,,,770800,,,,,
1994-02-25,,,,,,,,,,,,,,,,,,,,,,,531300,,,,,
1994-02-28,,,,,,,,,,,,,,,,,,,,,,,333000,,,,,
1994-03-01,,,,,,,,,,,,,,,,,,,,,,,423600,,,,,
1994-03-02,,,,,,,,,,,,,,,,,,,,,,,581500,,,,,
1994-03-03,,,,,,,,,,,,,,,,,,,,,,,223200,,,,,
1994-03-04,,,,,,,,,,,,,,,,,,,,,,,595800,,,,,
1994-03-07,,,,,,,,,,,,,,,,,,,,,,,539800,,,,,
1994-03-08,,,,,,,,,,,,,,,,,,,,,,,880300,,,,,
1994-03-09,,,,,,,,,,,,,,,,,,,,,,,2500100,,,,,
1994-03-10,,,,,,,,,,,,,,,,,,,,,,,207400,,,,,
1994-03-11,,,,,,,,,,,,,,,,,,,,,,,576600,,,,,
1994-03-14,,,,,,,,,,,,,,,,,,,,,,,345900,,,,,
1994-03-15,,,,,,,,,,,,,,,,,,,,,,,748600,,,,,
1994-03-16,,,,,,,,,,,,,,,,,,,,,,,455500,,,,,
1994-03-17,,,,,,,,,,,,,,,,,,,,,,,133000,,,,,
1994-03-18,,,,,,,,,,,,,,,,,,,,,,,365500,,,,,
1994-03-21,,,,,,,,,,,,,,,,,,,,,,,324800,,,,,
1994-03-22,,,,,,,,,,,,,,,,,,,,,,,435700,,,,,
1994-03-23,,,,,,,,,,,,,,,,,,,,,,,698500,,,,,
1994-03-24,,,,,,,,,,,,,,,,,,,,,,,1200500,,,,,
1994-03-25,,,,,,,,,,,,,,,,,,,,,,,100900,,,,,
1994-03-28,,,,,,,,,,,,,,,,,,,,,,,1117200,,,,,
1994-03-29,,,,,,,,,,,,,,,,,,,,,,,338400,,,,,
1994-03-30,,,,,,,,,,,,,,,,,,,,,,,1123900,,,,,
1994-03-31,,,,,,,,,,,,,,,,,,,,,,,788800,,,,,
1994-04-04,,,,,,,,,,,,,,,,,,,,,,,2627300,,,,,
1994-04-05,,,,,,,,,,,,,,,,,,,,,,,1179000,,,,,
1994-04-06,,,,,,,,,,,,,,,,,,,,,,,516500,,,,,
1994-04-07,,,,,,,,,,,,,,,,,,,,,,,666100,,,,,
1994-04-08,,,,,,,,,,,,,,,,,,,,,,,242400,,,,,
1994-04-11,,,,,,,,,,,,,,,,,,,,,,,203300,,,,,
1994-04-12,,,,,,,,,,,,,,,,,,,,,,,1409200,,,,,
1994-04-13,,,,,,,,,,,,,,,,,,,,,,,364100,,,,,
1994-04-14,,,,,,,,,,,,,,,,,,,,,,,419900,,,,,
1994-04-15,,,,,,,,,,,,,,,,,,,,,,,387300,,,,,
1994-04-18,,,,,,,,,,,,,,,,,,,,,,,369100,,,,,
1994-04-19,,,,,,,,,,,,,,,,,,,,,,,472200,,,,,
1994-04-20,,,,,,,,,,,,,,,,,,,,,,,508000,,,,,
1994-04-21,,,,,,,,,,,,,,,,,,,,,,,200300,,,,,
1994-04-22,,,,,,,,,,,,,,,,,,,,,,,301800,,,,,
1994-04-25,,,,,,,,,,,,,,,,,,,,,,,394600,,,,,
1994-04-26,,,,,,,,,,,,,,,,,,,,,,,399000,,,,,
1994-04-28,,,,,,,,,,,,,,,,,,,,,,,287000,,,,,
1994-04-29,,,,,,,,,,,,,,,,,,,,,,,481900,,,,,
1994-05-02,,,,,,,,,,,,,,,,,,,,,,,275000,,,,,
1994-05-03,,,,,,,,,,,,,,,,,,,,,,,183400,,,,,
1994-05-04,,,,,,,,,,,,,,,,,,,,,,,401900,,,,,
1994-05-05,,,,,,,,,,,,,,,,,,,,,,,659800,,,,,
1994-05-06,,,,,,,,,,,,,,,,,,,,,,,216300,,,,,
1994-05-09,,,,,,,,,,,,,,,,,,,,,,,499300,,,,,
1994-05-10,,,,,,,,,,,,,,,,,,,,,,,583400,,,,,
1994-05-11,,,,,,,,,,,,,,,,,,,,,,,210600,,,,,
1994-05-12,,,,,,,,,,,,,,,,,,,,,,,305200,,,,,
1994-05-13,,,,,,,,,,,,,,,,,,,,,,,321300,,,,,
1994-05-16,,,,,,,,,,,,,,,,,,,,,,,450400,,,,,
1994-05-17,,,,,,,,,,,,,,,,,,,,,,,470200,,,,,
1994-05-18,,,,,,,,,,,,,,,,,,,,,,,824800,,,,,
1994-05-19,,,,,,,,,,,,,,,,,,,,,,,531000,,,,,
