Date,Open,High,Low,Close,Adj Close,Volume
2009-07-31,102900.0,102900.0,102680.0,102680.0,65105.875,0
2009-08-03,102405.0,102450.0,102300.0,102300.0,64864.97265625,4512
2009-08-04,102100.0,102150.0,102100.0,102150.0,64769.796875,2000
2009-08-05,102200.0,102290.0,102200.0,102230.0,64820.53515625,3669
2009-08-06,101950.0,102140.0,101950.0,102095.0,64734.9296875,3900
2009-08-07,102070.0,102160.0,102000.0,102095.0,64734.9296875,104015
2009-08-10,102050.0,102055.0,101990.0,102020.0,64687.375,12660
2009-08-11,102030.0,102365.0,86720.0,102170.0,64782.5,24009
2009-08-12,102245.0,102245.0,102080.0,102080.0,64725.3984375,5724
2009-08-13,102055.0,102125.0,101945.0,102035.0,64696.87109375,776
2009-08-14,101975.0,101995.0,101875.0,101875.0,64595.44140625,4295
2009-08-17,101800.0,102080.0,101800.0,102080.0,64725.3984375,7548
2009-08-18,102280.0,102280.0,102050.0,102050.0,64706.37890625,5248
2009-08-19,102035.0,102375.0,102035.0,102375.0,64912.4609375,2243
2009-08-20,102450.0,102450.0,102320.0,102320.0,64877.609375,2703
2009-08-21,102355.0,102420.0,102320.0,102420.0,64940.9921875,2009
2009-08-24,102215.0,102255.0,102195.0,102240.0,64826.88671875,442
2009-08-25,102350.0,102350.0,101345.0,102310.0,64871.234375,13000
2009-08-26,102470.0,102470.0,102355.0,102470.0,64972.7109375,301
2009-08-27,102435.0,102565.0,102435.0,102550.0,65023.44140625,5421
2009-08-28,102440.0,102440.0,102285.0,102390.0,64922.00390625,166
2009-08-31,102440.0,102440.0,102325.0,102325.0,64880.7734375,200
2009-09-01,102240.0,102350.0,102240.0,102350.0,64896.60546875,350
2009-09-02,102350.0,102510.0,102350.0,102510.0,64998.06640625,4000
2009-09-03,102515.0,102720.0,102515.0,102600.0,65055.13671875,5632
2009-09-04,102620.0,102620.0,102620.0,102620.0,65067.85546875,2000
2009-09-07,102545.0,102620.0,102535.0,102620.0,65067.85546875,326
2009-09-08,101790.0,101790.0,101725.0,101725.0,65001.37890625,20001
2009-09-09,101840.0,101940.0,101840.0,101940.0,65138.7578125,1010
2009-09-10,102030.0,102030.0,101415.0,101470.0,64838.40234375,10135
2009-09-11,101405.0,101615.0,101405.0,101615.0,64931.06640625,1012
2009-09-14,101575.0,101575.0,101525.0,101525.0,64873.55078125,120
2009-09-15,101550.0,101550.0,101550.0,101550.0,64889.52734375,61
2009-09-16,101600.0,101785.0,101590.0,101785.0,65039.71875,66210
2009-09-17,101860.0,101995.0,101800.0,101950.0,65145.1484375,93442
2009-09-18,101940.0,102030.0,101940.0,102030.0,65196.265625,1000
2009-09-21,102025.0,102025.0,101850.0,101900.0,65113.18359375,2421
