Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,49665.0,50215.0,49490.0,50080.0,49506.8515625,27857
2023-02-02,50445.0,50735.0,50015.0,50400.0,49823.19140625,104784
2023-02-03,50350.0,51470.0,50100.0,51190.0,50604.1484375,125059
2023-02-06,51000.0,51010.0,49245.0,49655.0,49086.71875,155082
2023-02-07,48990.0,49635.0,48910.0,49600.0,49032.34765625,113409
2023-02-08,49590.0,49785.0,49465.0,49720.0,49150.97265625,128714
2023-02-09,49820.0,49875.0,49465.0,49485.0,48918.6640625,193817
2023-02-10,49285.0,49530.0,49050.0,49485.0,48918.6640625,171263
2023-02-13,48860.0,48890.0,48435.0,48610.0,48053.67578125,81260
2023-02-14,48960.0,49575.0,48830.0,49340.0,48775.3203125,137618
2023-02-15,49215.0,49360.0,48840.0,49120.0,48557.83984375,91317
2023-02-16,48650.0,49390.0,48360.0,48970.0,48409.5546875,172387
2023-02-17,48430.0,48435.0,47025.0,47130.0,46590.61328125,149973
2023-02-20,47400.0,47500.0,46745.0,46825.0,46289.10546875,116313
2023-02-21,46245.0,47790.0,46130.0,46740.0,46205.078125,84297
2023-02-22,46120.0,46270.0,45540.0,46140.0,45611.9453125,151303
2023-02-23,46300.0,46915.0,46050.0,46890.0,46353.36328125,188336
2023-02-24,46910.0,47645.0,46890.0,47645.0,47099.71875,241956
2023-02-27,47405.0,47610.0,47075.0,47475.0,46931.66796875,125356
2023-02-28,47145.0,47145.0,45850.0,45955.0,45429.0625,204187
2023-03-02,45335.0,46160.0,44780.0,44840.0,44326.82421875,91155
2023-03-03,44525.0,45220.0,43985.0,45155.0,44638.21875,86938
2023-03-06,45585.0,46045.0,45385.0,45430.0,44910.0703125,90147
2023-03-07,45430.0,46075.0,45430.0,46075.0,45547.6875,36795
2023-03-08,45770.0,46070.0,45570.0,45795.0,45270.89453125,46475
2023-03-09,45760.0,45790.0,45695.0,45705.0,45181.921875,41919
2023-03-10,46085.0,47525.0,46085.0,47475.0,46931.66796875,91324
2023-03-13,48250.0,49185.0,48080.0,48785.0,48226.671875,108540
2023-03-14,51000.0,51000.0,49400.0,49865.0,49294.3125,123950
2023-03-15,49400.0,49400.0,48000.0,48875.0,48315.64453125,68985
2023-03-16,51890.0,51890.0,48655.0,48655.0,48098.16015625,111694
2023-03-17,48240.0,48590.0,48100.0,48590.0,48033.90625,37749
2023-03-20,48800.0,49415.0,48250.0,49345.0,48780.265625,32916
2023-03-21,49280.0,50250.0,49005.0,49670.0,49101.546875,62154
2023-03-22,49200.0,49965.0,49000.0,49905.0,49333.85546875,55946
2023-03-23,49910.0,50400.0,49820.0,50220.0,49645.25,57735
2023-03-24,50040.0,51125.0,49975.0,51005.0,50421.265625,55404
2023-03-27,50495.0,51365.0,50280.0,50430.0,49852.84765625,83104
2023-03-28,50160.0,50840.0,49905.0,50065.0,49492.0234375,52625
2023-03-29,49690.0,50235.0,49190.0,49960.0,49388.2265625,78595
2023-03-30,49875.0,49940.0,49350.0,49445.0,48879.12109375,25700
2023-03-31,49185.0,49185.0,48795.0,48840.0,48281.04296875,52196
2023-04-03,48045.0,48985.0,48040.0,48065.0,47514.9140625,148762
2023-04-04,48665.0,48765.0,48315.0,48665.0,48108.046875,59139
2023-04-05,49020.0,49270.0,48790.0,48805.0,48246.4453125,65718
2023-04-06,48880.0,49800.0,48825.0,49800.0,49230.05859375,81676
2023-04-07,49860.0,50280.0,49860.0,50095.0,49521.6796875,58353
2023-04-10,50095.0,50400.0,49685.0,50285.0,49709.5078125,52487
2023-04-11,50285.0,50775.0,50265.0,50400.0,49823.19140625,89041
2023-04-12,50405.0,50560.0,50260.0,50425.0,49847.90625,43129
2023-04-13,50340.0,50445.0,49665.0,50115.0,49541.453125,90295
2023-04-14,49675.0,50255.0,49520.0,50195.0,49620.53515625,43475
2023-04-17,49480.0,49660.0,49405.0,49410.0,48844.51953125,87289
2023-04-18,48875.0,49310.0,48875.0,49210.0,48646.80859375,70528
2023-04-19,49205.0,49500.0,48995.0,49295.0,48730.8359375,57121
2023-04-20,49230.0,49230.0,48150.0,48430.0,47875.73828125,182597
2023-04-21,49000.0,49295.0,47600.0,49270.0,48706.125,100683
2023-04-24,48785.0,49355.0,48780.0,49160.0,48597.3828125,72973
2023-04-25,49300.0,49340.0,48680.0,48755.0,48197.015625,54435
2023-04-26,49010.0,49260.0,48955.0,48955.0,48394.7265625,41852
2023-04-27,48955.0,48985.0,48680.0,48700.0,48142.6484375,41414
2023-04-28,48240.0,48400.0,47895.0,48370.0,47816.421875,113657
2023-05-02,47795.0,48100.0,47755.0,47985.0,47435.828125,77471
2023-05-03,48230.0,48425.0,48110.0,48355.0,47801.59375,38719
2023-05-04,48855.0,48940.0,48520.0,48715.0,48157.4765625,34472
2023-05-08,48345.0,48415.0,48110.0,48225.0,47673.08203125,37177
2023-05-09,47800.0,48420.0,47700.0,48420.0,47865.8515625,29937
2023-05-10,48240.0,48545.0,48140.0,48320.0,47766.99609375,27328
2023-05-11,48320.0,48685.0,48320.0,48520.0,47964.70703125,23069
2023-05-12,48495.0,49160.0,48490.0,48730.0,48172.3046875,47501
2023-05-15,48730.0,48730.0,48005.0,48090.0,47539.62890625,58441
2023-05-16,47925.0,48260.0,47775.0,48245.0,47692.85546875,40806
2023-05-17,48055.0,48340.0,47980.0,48270.0,47717.56640625,23647
2023-05-19,47085.0,47230.0,47015.0,47175.0,46635.1015625,76201
2023-05-22,46965.0,47515.0,46965.0,47330.0,46788.32421875,35708
2023-05-23,47050.0,47170.0,46550.0,46555.0,46022.1953125,73863
2023-05-25,45790.0,45940.0,44660.0,45100.0,44583.84765625,154297
2023-05-26,44675.0,44675.0,44285.0,44505.0,43995.65625,110606
2023-05-30,44255.0,44465.0,43960.0,44190.0,43684.26171875,139753
2023-05-31,44440.0,45070.0,44405.0,45065.0,44549.24609375,111574
2023-06-01,45025.0,45200.0,44950.0,45025.0,44509.70703125,75226
2023-06-02,45210.0,45605.0,45115.0,45585.0,45063.296875,64398
2023-06-05,45080.0,45135.0,44840.0,44945.0,44430.62109375,76223
2023-06-07,45005.0,45305.0,44820.0,45155.0,44638.21875,66865
2023-06-08,44485.0,44510.0,44070.0,44070.0,43565.63671875,95783
2023-06-09,44445.0,44445.0,43795.0,44100.0,43595.29296875,97357
2023-06-12,43900.0,44480.0,43900.0,44340.0,43832.546875,34370
2023-06-13,44440.0,45000.0,44390.0,44610.0,44099.45703125,96270
2023-06-14,44065.0,44340.0,43780.0,44170.0,43664.4921875,65549
2023-06-15,44470.0,44580.0,43920.0,44040.0,43535.98046875,41812
2023-06-16,44370.0,44450.0,44075.0,44210.0,43704.03125,41573
2023-06-19,44060.0,44300.0,44030.0,44275.0,43768.2890625,34080
2023-06-20,44175.0,44175.0,43745.0,44070.0,43565.63671875,82958
2023-06-21,44145.0,44440.0,44115.0,44245.0,43738.6328125,30234
2023-06-22,44395.0,44425.0,44055.0,44095.0,43590.34765625,22426
