ticker,rows,first_date,last_date,duplicate_dates,missing_prices,nonpositive_prices,updated_at_utc
SPY,8447,1993-01-29,2026-08-20,0,0,0,2026-08-20T13:59:56+00:00
QQQ,6905,1999-03-10,2026-08-20,0,0,0,2026-08-20T13:59:57+00:00
IWM,6597,2000-05-26,2026-08-20,0,0,0,2026-08-20T13:59:57+00:00
IWD,6595,2000-05-26,2026-08-20,0,0,0,2026-08-20T13:59:58+00:00
IWN,6551,2000-07-28,2026-08-20,0,0,0,2026-08-20T13:59:58+00:00
MTUM,3353,2013-04-18,2026-08-20,0,0,0,2026-08-20T13:59:59+00:00
VT,4566,2008-06-26,2026-08-20,0,0,0,2026-08-20T13:59:59+00:00
EFA,6282,2001-08-27,2026-08-20,0,0,0,2026-08-20T13:59:59+00:00
VGK,5393,2005-03-10,2026-08-20,0,0,0,2026-08-20T14:00:00+00:00
EWJ,7656,1996-03-18,2026-08-20,0,0,0,2026-08-20T14:00:00+00:00
EEM,5875,2003-04-14,2026-08-20,0,0,0,2026-08-20T14:00:01+00:00
VWO,5394,2005-03-10,2026-08-20,0,0,0,2026-08-20T14:00:01+00:00
VNQ,5507,2004-09-29,2026-08-20,0,0,0,2026-08-20T14:00:03+00:00
REM,4852,2007-05-04,2026-08-20,0,0,0,2026-08-20T14:00:03+00:00
GLD,5472,2004-11-18,2026-08-20,0,0,0,2026-08-20T14:00:03+00:00
DBC,5164,2006-02-06,2026-08-20,0,0,0,2026-08-20T14:00:04+00:00
TLT,6054,2002-07-30,2026-08-20,0,0,0,2026-08-20T14:00:04+00:00
EDV,4670,2008-01-29,2026-08-20,0,0,0,2026-08-20T14:00:05+00:00
IEF,6053,2002-07-30,2026-08-20,0,0,0,2026-08-20T14:00:05+00:00
SHY,6052,2002-07-30,2026-08-20,0,0,0,2026-08-20T14:00:06+00:00
BIL,4838,2007-05-30,2026-08-20,0,0,0,2026-08-20T14:00:06+00:00
AGG,5757,2003-09-29,2026-08-20,0,0,0,2026-08-20T14:00:07+00:00
BND,4873,2007-04-10,2026-08-20,0,0,0,2026-08-20T14:00:07+00:00
LQD,6054,2002-07-30,2026-08-20,0,0,0,2026-08-20T14:00:08+00:00
HYG,4870,2007-04-11,2026-08-20,0,0,0,2026-08-20T14:00:08+00:00
BWX,4744,2007-10-11,2026-08-20,0,0,0,2026-08-20T14:00:09+00:00
LTPZ,4262,2009-09-08,2026-08-20,0,0,0,2026-08-20T14:00:10+00:00
EMLC,4043,2010-07-23,2026-08-20,0,0,0,2026-08-20T14:00:10+00:00
