stock_code,stock_name,corp_code,corp_name,modify_date
000020,동화약품,00119195,동화약품,20250807
000040,KR모터스,00112378,KR모터스,20260331
000050,경방,00101628,경방,20221208
000070,삼양홀딩스,00126937,삼양홀딩스,20251103
000080,하이트진로,00150244,하이트진로,20260311
000087,하이트진로2우B,,,
000100,유한양행,00145109,유한양행,20230208
000105,유한양행우,,,
000120,CJ대한통운,00113410,CJ대한통운,20240326
000140,하이트진로홀딩스,00148993,하이트진로홀딩스,20251231
000145,하이트진로홀딩스우,,,
000150,두산,00117212,두산,20260506
000155,두산우,,,
000157,두산2우B,,,
000180,성창기업지주,00133335,성창기업지주,20221229
0001A0,덕양에너젠,01516933,덕양에너젠,20260226
000210,DL,00109693,DL,20250919
000215,DL우,,,
000220,유유제약,00144818,유유제약,20240701
000225,유유제약1우,,,
000227,유유제약2우B,,,
000230,일동홀딩스,00146083,일동홀딩스,20260327
000240,한국앤컴퍼니,00160047,한국앤컴퍼니,20260331
000250,삼천당제약,00128546,삼천당제약,20260304
000270,기아,00106641,기아,20260709
000300,DH오토넥스,00126089,DH오토넥스,20260727
000320,노루홀딩스,00113508,노루홀딩스,20250902
000325,노루홀딩스우,,,
000370,한화손해보험,00135917,한화손해보험,20260811
000390,SP삼화,00129387,SP삼화,20260430
000400,롯데손해보험,00113562,롯데손해보험,20241202
000430,대원강업,00111847,대원강업,20260310
000440,중앙에너비스,00149770,중앙에너비스,20260302
000480,CR홀딩스,00148984,시알홀딩스,20240930
000490,대동,00109286,대동,20260303
0004V0,엔비알모션,00924931,엔비알모션,20260128
0004Y0,디비금융제14호스팩,01884065,디비금융제14호스팩,20250722
000500,가온전선,00104768,가온전선,20230324
000520,삼일제약,00128032,삼일제약,20241002
000540,흥국화재,00103176,흥국화재,20260330
000545,흥국화재우,,,
000590,CS홀딩스,00149026,CS홀딩스,20221208
000640,동아쏘시오홀딩스,00116824,동아쏘시오홀딩스,20240809
000650,천일고속,00151395,천일고속,20260312
000660,SK하이닉스,00164779,SK하이닉스,20240328
000670,영풍,00141307,영풍,20250331
000680,LS네트웍스,00104698,LS네트웍스,20260327
000700,유수홀딩스,00163691,유수홀딩스,20260311
000720,현대건설,00164478,현대건설,20260309
000725,현대건설우,,,
000760,이화산업,00145686,이화산업,20260319
0007C0,아크릴,01829819,아크릴,20260213
0007J0,인벤테라,01869710,인벤테라,20260402
000810,삼성화재,00139214,삼성화재해상보험,20240321
000815,삼성화재우,,,
000850,화천기공,00166519,화천기공,20240322
000860,강남제비스코,00100939,강남제비스코,20260102
000880,한화,00160588,한화,20251217
00088K,한화3우B,,,
000890,보해양조,00123541,보해양조,20260223
0008Z0,에스엔시스,01294110,에스엔시스,20260102
000910,유니온,00144252,유니온,20260304
000950,전방,00147222,전방,20221207
000970,한국주철관,00159573,한국주철관공업,20240401
000990,DB하이텍,00160843,DB하이텍,20260304
0009K0,에임드바이오,01781999,에임드바이오,20260227
001000,신라섬유,00135999,신라섬유,20240502
001020,페이퍼코리아,00134723,페이퍼코리아,20251001
001040,CJ,00148540,CJ,20250806
001045,CJ우,,,
00104K,CJ4우(전환),,,
001060,JW중외제약,00149947,JW중외제약,20251202
001065,JW중외제약우,,,
001067,JW중외제약2우B,,,
001070,대한방직,00112970,대한방직,20260615
001080,만호제강,00120872,만호제강,20260701
0010F0,보원케미칼,00871587,보원케미칼,20260403
0010V0,제이피아이헬스케어,00185301,제이피아이헬스케어,20250821
001120,LX인터내셔널,00120076,LX인터내셔널,20260330
001130,대한제분,00113243,대한제분,20260330
0011A0,액스비스,01554508,액스비스,20260309
0011T0,채비,01279698,채비,20260429
001200,유진투자증권,00131054,유진증권,20230110
001210,금호전기,00106395,금호전기,20260306
001230,동국홀딩스,00114792,동국홀딩스,20240502
001250,GS글로벌,00138190,GS글로벌,20260327
001260,남광토건,00107066,남광토건,20260814
