stock_code,marcap_name,corp_code,dart_name,mapping_method,first_date,last_date
000010,신한은행,00149293,신한은행,current_stock_code,2026-01-01,2026-09-01
000020,동화약품,00119195,동화약품,stock_code,1998-10-20,2026-08-18
000030,우리은행,00254045,우리은행,stock_code,1998-10-20,2019-02-12
000040,KR모터스,00112378,KR모터스,stock_code,1998-10-20,2026-08-18
000050,경방,00101628,경방,stock_code,1998-10-20,2026-08-18
000060,메리츠화재,00117744,메리츠화재해상보험,stock_code,1998-10-20,2023-02-20
000070,삼양홀딩스,00126937,삼양홀딩스,stock_code,1998-10-20,2026-08-18
000075,삼양홀딩스우,,,unmatched,1998-10-20,2025-08-19
000080,하이트진로,00150244,하이트진로,stock_code,1998-10-20,2026-08-18
000087,하이트진로2우B,,,unmatched,2011-09-26,2026-08-18
000100,유한양행,00145109,유한양행,stock_code,1998-10-20,2026-08-18
000105,유한양행우,,,unmatched,1998-10-20,2026-08-18
000110,한국스탠다드차타드은행,00148504,한국스탠다드차타드은행,current_stock_code,2026-01-01,2026-09-01
000120,CJ대한통운,00113410,CJ대한통운,stock_code,1998-10-20,2026-08-18
000140,하이트진로홀딩스,00148993,하이트진로홀딩스,stock_code,1998-10-20,2026-08-18
000145,하이트진로홀딩스우,,,unmatched,1998-10-20,2026-08-18
000150,두산,00117212,두산,stock_code,1998-10-20,2026-08-18
000155,두산우,,,unmatched,1998-10-20,2026-08-18
000157,두산2우B,,,unmatched,1999-12-03,2026-08-18
000180,성창기업지주,00133335,성창기업지주,stock_code,1998-10-20,2026-08-18
0001A0,덕양에너젠,01516933,덕양에너젠,normalized_name_unique,2026-01-30,2026-08-18
000210,DL,00109693,DL,stock_code,1998-10-20,2026-08-18
000215,DL우,,,unmatched,1998-10-20,2026-08-18
000220,유유제약,00144818,유유제약,stock_code,1998-10-20,2026-08-18
000225,유유제약1우,,,unmatched,1998-10-20,2026-08-18
000227,유유제약2우B,,,unmatched,2000-06-20,2026-08-18
000230,일동홀딩스,00146083,일동홀딩스,stock_code,1998-10-20,2026-08-18
