stock_code,marcap_name,corp_code,dart_name,mapping_method,first_date,last_date
000010,조흥은행,00149293,신한은행,stock_code,1998-10-20,2004-07-01
000020,동화약품,00119195,동화약품,stock_code,1998-10-20,2026-08-18
000030,우리은행,00254045,우리은행,stock_code,1998-10-20,2019-02-12
000040,KR모터스,00112378,KR모터스,stock_code,1998-10-20,2026-08-18
000050,경방,00101628,경방,stock_code,1998-10-20,2026-08-18
000060,메리츠화재,00117744,메리츠화재해상보험,stock_code,1998-10-20,2023-02-20
000070,삼양홀딩스,00126937,삼양홀딩스,stock_code,1998-10-20,2026-08-18
000075,삼양홀딩스우,,,unmatched,1998-10-20,2025-08-19
000080,하이트진로,00150244,하이트진로,stock_code,1998-10-20,2026-08-18
000085,진로(1우),,,unmatched,1998-10-20,2003-01-09
000100,유한양행,00145109,유한양행,stock_code,1998-10-20,2026-08-18
000105,유한양행우,,,unmatched,1998-10-20,2026-08-18
000110,제일은행,00148504,한국스탠다드차타드은행,stock_code,1998-10-20,2005-04-21
000120,CJ대한통운,00113410,CJ대한통운,stock_code,1998-10-20,2026-08-18
000140,하이트진로홀딩스,00148993,하이트진로홀딩스,stock_code,1998-10-20,2026-08-18
000145,하이트진로홀딩스우,,,unmatched,1998-10-20,2026-08-18
000147,하이트맥주(2우B),,,unmatched,1998-10-20,2001-07-23
000150,두산,00117212,두산,stock_code,1998-10-20,2026-08-18
000155,두산우,,,unmatched,1998-10-20,2026-08-18
000180,성창기업지주,00133335,성창기업지주,stock_code,1998-10-20,2026-08-18
000200,대우중공업,00111713,대우중공업,normalized_name_unique,1998-10-20,2001-05-22
000205,대우중공업(1우),,,unmatched,1998-10-20,2001-05-22
000210,DL,00109693,DL,stock_code,1998-10-20,2026-08-18
000215,DL우,,,unmatched,1998-10-20,2026-08-18
000220,유유제약,00144818,유유제약,stock_code,1998-10-20,2026-08-18
000225,유유제약1우,,,unmatched,1998-10-20,2026-08-18
000230,일동홀딩스,00146083,일동홀딩스,stock_code,1998-10-20,2026-08-18
000240,한국앤컴퍼니,00160047,한국앤컴퍼니,stock_code,1998-10-20,2026-08-18
000270,기아,00106641,기아,stock_code,1998-10-20,2026-08-18
000280,동아건설,,,unmatched,1998-10-20,2001-06-05
000300,DH오토넥스,00126089,DH오토넥스,stock_code,1998-10-20,2026-08-18
000310,해태제과,,,unmatched,1998-10-20,2001-11-09
000315,해태제과(1우),,,unmatched,1998-10-20,2001-11-09
000320,노루홀딩스,00113508,노루홀딩스,stock_code,1998-10-20,2026-08-18
000325,노루홀딩스우,,,unmatched,1998-10-20,2026-08-18
000360,삼환기업,00129411,삼환기업,stock_code,1998-10-20,2015-04-14
000365,삼환기업우,,,unmatched,1998-10-20,2015-04-14
000370,한화손해보험,00135917,한화손해보험,stock_code,1998-10-20,2026-08-18
000380,대아건설,00110963,대아건설,stock_code,1998-10-20,2004-10-20
000390,SP삼화,00129387,SP삼화,stock_code,1998-10-20,2026-08-18
000400,롯데손해보험,00113562,롯데손해보험,stock_code,1998-10-20,2026-08-18
000420,로케트전기,00120377,로케트전기,stock_code,1998-10-20,2015-02-23
000425,로케트전우,,,unmatched,1998-10-20,2015-02-23
000430,대원강업,00111847,대원강업,stock_code,1998-10-20,2026-08-18
000440,중앙에너비스,00149770,중앙에너비스,stock_code,1998-10-20,2026-08-18
000470,그린손해보험,00104971,그린손해보험,stock_code,1998-10-20,2012-07-13
000475,국제화재(1우),,,unmatched,1998-10-20,2002-02-07
000480,CR홀딩스,00148984,시알홀딩스,stock_code,1998-10-20,2026-08-18
000490,대동,00109286,대동,stock_code,1998-10-20,2026-08-18
000500,가온전선,00104768,가온전선,stock_code,1998-10-20,2026-08-18
000520,삼일제약,00128032,삼일제약,stock_code,1998-10-20,2026-08-18
000540,흥국화재,00103176,흥국화재,stock_code,1998-10-20,2026-08-18
000545,흥국화재우,,,unmatched,1998-10-20,2026-08-18
