Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1996-07-01,1000.0,,,,1000.0,1000.0,1000.0,118692,1074035100,
1996-07-02,1001.7,,,,1001.7,1001.7,1001.7,143077,1533661400,
1996-07-03,1005.3,,,,1005.3,1005.3,1005.3,115058,1012998000,
1996-07-04,1018.4,,,,1018.4,1018.4,1018.4,235254,5247863000,
1996-07-05,1037.8,,,,1037.8,1037.8,1037.8,59924,894936400,
1996-07-06,1048.8,,,,1048.8,1048.8,1048.8,34564,338698300,
1996-07-08,1048.2,,,,1048.2,1048.2,1048.2,39943,822556000,
1996-07-09,1060.1,,,,1060.1,1060.1,1060.1,45021,589659900,
1996-07-10,1066.9,,,,1066.9,1066.9,1066.9,76140,1901758800,
1996-07-11,1076.7,,,,1076.7,1076.7,1076.7,55999,1139126000,
1996-07-12,1082.7,,,,1082.7,1082.7,1082.7,49673,1113944200,
1996-07-13,1082.3,,,,1082.3,1082.3,1082.3,23196,424345000,
1996-07-15,1076.4,,,,1076.4,1076.4,1076.4,63400,982106200,
1996-07-16,1088.4,,,,1088.4,1088.4,1088.4,94029,1530837700,
1996-07-18,1100.5,,,,1100.5,1100.5,1100.5,234779,4025171100,
1996-07-19,1110.8,,,,1110.8,1110.8,1110.8,78651,2362958500,
1996-07-20,1111.0,,,,1111.0,1111.0,1111.0,33320,1183475700,
1996-07-22,1111.1,,,,1111.1,1111.1,1111.1,136156,2409566700,
1996-07-23,1113.2,,,,1113.2,1113.2,1113.2,59490,2012450500,
1996-07-24,1116.9,,,,1116.9,1116.9,1116.9,50070,1431263200,
1996-07-25,1116.9,,,,1116.9,1116.9,1116.9,73924,1353570100,
1996-07-26,1116.7,,,,1116.7,1116.7,1116.7,122892,2842710700,
1996-07-27,1123.6,,,,1123.6,1123.6,1123.6,216369,5592077500,
1996-07-29,1130.9,,,,1130.9,1130.9,1130.9,39542,1240994600,
1996-07-30,1134.8,,,,1134.8,1134.8,1134.8,41067,2357142900,
1996-07-31,1141.3,,,,1141.3,1141.3,1141.3,38480,494206600,
1996-08-01,1145.4,,,,1145.4,1145.4,1145.4,31334,598963400,
