Date,Open,High,Low,Close,Volume,Change,Amount,MarCap
2015-07-13,1185.83,1214.57,1182.94,1214.07,103926486,0.0249,1910938691170,111910255597990
2015-07-14,1228.22,1228.22,1213.32,1222.23,87901021,0.0067,1749247026420,112826201733270
2015-07-15,1231.65,1239.09,1228.85,1233.48,112070408,0.0092,2033931113318,113791089239290
2015-07-16,1237.61,1250.46,1229.65,1250.26,114504773,0.0136,2406390136820,115716699390060
2015-07-17,1261.4,1261.4,1240.26,1250.04,115394015,-0.0002,2485223728185,115807286340280
2015-07-20,1257.89,1268.36,1253.25,1267.53,88628252,0.0139999999999999,2152335096380,117255414450660
2015-07-21,1276.68,1278.41,1249.85,1261.54,85008882,-0.0046999999999999,1963064789185,116970571304230
2015-07-22,1257.0,1265.46,1250.63,1252.16,81948759,-0.0074,1935690990405,116081649535420
2015-07-23,1258.64,1260.96,1245.32,1252.09,82389004,-0.0001,1668231914295,116112524927960
2015-07-24,1254.99,1258.02,1248.06,1253.15,71153648,0.0008,1649808726640,115977306243555
2015-07-27,1247.43,1247.51,1206.49,1206.49,88658901,-0.0372,1867084537360,111915927033585
2015-07-28,1185.65,1205.19,1159.59,1200.27,77076881,-0.0052,1819208169100,111296754296910
2015-07-29,1213.37,1219.14,1171.37,1171.37,82745533,-0.0241,1796662887780,108832514528410
2015-07-30,1183.49,1187.51,1137.93,1139.32,74289449,-0.0274,1671591371050,106300515008930
2015-07-31,1141.54,1163.61,1123.53,1163.36,54328980,0.0210999999999999,1324817776515,108196968054355
2015-08-03,1166.9,1174.67,1139.66,1139.66,45823982,-0.0204,1083727372945,106270121488355
2015-08-04,1134.57,1169.54,1132.55,1169.54,50921834,0.0262,1221219267510,108857631056250
2015-08-05,1174.86,1189.74,1172.6,1189.21,54626740,0.0168,1447635688365,110628383262620
2015-08-06,1200.86,1208.66,1198.9,1203.74,72507405,0.0121999999999999,1597889144255,111767787797165
2015-08-07,1195.24,1210.43,1189.67,1209.65,72079175,0.0049,1532136674348,112338549283865
2015-08-10,1214.9,1214.9,1195.7,1205.89,78287806,-0.0031,1492122343115,111896237928745
