Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1995-01-03,111.56,2.0,-1.95,-0.0172,113.52,113.96,111.56,9664890.0,187812497800.0,
1995-01-04,109.3,2.0,-2.26,-0.0203,,,111.58,20981590.0,429729685600.0,
1995-01-05,106.99,2.0,-2.31,-0.0210999999999999,109.2,109.25,106.99,29427600.0,549411499800.0,
1995-01-06,107.17,1.0,0.18,0.0017,106.99,107.98,106.99,29659210.0,601509674300.0,
1995-01-07,108.91,1.0,1.74,0.0162,107.2,109.54,107.2,17205510.0,354389567000.0,
1995-01-09,109.9,1.0,0.99,0.0091,108.94,110.4,108.94,29853870.0,549771186100.0,
1995-01-10,109.26,2.0,-0.64,-0.0058,109.9,110.84,109.26,25898960.0,484799613600.0,
1995-01-11,107.97,2.0,-1.29,-0.0118,109.26,111.01,107.97,21817350.0,442575880600.0,
1995-01-12,110.08,1.0,2.11,0.0195,109.98,111.46,109.98,22220730.0,445769589300.0,
1995-01-13,107.12,2.0,-2.96,-0.0269,110.08,110.36,107.12,17001760.0,364592615200.0,
1995-01-14,106.36,2.0,-0.76,-0.0070999999999999,107.06,107.06,106.36,13995300.0,265256724600.0,
1995-01-16,104.8,2.0,-1.56,-0.0147,106.29,106.29,104.8,15638350.0,305660153600.0,
1995-01-17,104.66,2.0,-0.14,-0.0013,104.8,106.0,104.66,16405470.0,336997572400.0,
1995-01-18,106.14,1.0,1.48,0.0141,104.65,106.91,104.65,14485060.0,310588555100.0,
1995-01-19,107.35,1.0,1.21,0.0113999999999999,106.12,107.9,106.12,16479000.0,342525639300.0,
1995-01-20,106.89,2.0,-0.46,-0.0043,107.36,108.03,106.89,14974880.0,331860793600.0,
1995-01-21,104.82,2.0,-2.07,-0.0194,106.88,106.88,104.82,6672240.0,143608719300.0,
1995-01-23,102.67,2.0,-2.15,-0.0204999999999999,104.82,104.82,102.67,12438150.0,245912039900.0,
1995-01-24,100.73,2.0,-1.94,-0.0189,102.62,102.62,100.73,,,
1995-01-25,101.36,1.0,0.63,0.0063,100.73,102.47,100.73,14440790.0,288829678800.0,
1995-01-26,103.01,1.0,1.65,0.0163,101.36,103.97,101.36,16194560.0,315046399800.0,
1995-01-27,100.65,2.0,-2.36,-0.0229,103.0,103.0,100.65,12837610.0,289057260600.0,
1995-01-28,102.85,1.0,2.2,0.0219,,,,9618870.0,203516251000.0,
1995-02-04,105.26,,,,104.06,105.6,103.79,11687490.0,246447746900.0,
1995-02-06,104.5,2.0,-0.76,-0.0072,105.26,106.57,104.33,15508410.0,325839263100.0,
1995-02-07,104.07,2.0,-0.43,-0.0040999999999999,104.56,105.39,103.93,11063250.0,262803633800.0,
1995-02-08,105.67,1.0,1.6,0.0154,104.1,106.15,104.1,13864470.0,325468258200.0,
1995-02-09,106.19,1.0,0.52,0.0049,105.69,106.8,105.69,13403590.0,339886990700.0,
1995-02-10,105.08,2.0,-1.11,-0.0105,106.2,106.51,104.99,13053590.0,309786193000.0,
1995-02-11,104.93,2.0,-0.15,-0.0014,105.07,105.58,104.37,8285960.0,197349611400.0,
1995-02-13,105.16,1.0,0.23,0.0022,105.04,105.88,105.04,12276540.0,281519558600.0,
1995-02-14,103.42,2.0,-1.74,-0.0165,105.17,105.5,103.05,12780860.0,278259633900.0,
1995-02-15,101.56,2.0,-1.86,-0.018,103.42,103.45,101.51,10296690.0,225712578400.0,
1995-02-16,101.39,2.0,-0.17,-0.0017,101.54,101.54,99.83,11474750.0,213032837700.0,
1995-02-17,99.83,2.0,-1.56,-0.0154,101.39,101.64,99.83,12393030.0,208582261100.0,
1995-02-18,99.76,2.0,-0.07,-0.0007,99.75,99.89,98.24,8959740.0,154088201200.0,
1995-02-20,102.08,1.0,2.32,0.0233,99.77,102.08,99.77,13422900.0,227937373200.0,
1995-02-21,100.78,2.0,-1.3,-0.0127,102.08,102.79,100.78,12646830.0,228797871800.0,
1995-02-22,101.3,1.0,0.52,0.0052,100.74,101.45,100.05,12472900.0,212930547300.0,
1995-02-23,100.07,2.0,-1.23,-0.0121,101.28,102.4,100.07,11841350.0,215971491100.0,
1995-02-24,98.69,2.0,-1.38,-0.0138,100.02,100.16,98.57,10603480.0,184808533200.0,
1995-02-25,101.36,1.0,2.67,0.0271,98.74,101.36,98.63,10073260.0,164941987000.0,
1995-02-27,99.63,2.0,-1.73,-0.0171,101.26,101.26,97.87,16384030.0,254201574600.0,
1995-02-28,98.9,2.0,-0.73,-0.0073,99.54,100.64,98.48,14178290.0,243960957800.0,
1995-03-02,100.93,1.0,2.03,0.0204999999999999,98.9,101.77,98.88,13052020.0,218855680500.0,
1995-03-03,101.37,1.0,0.44,0.0044,100.97,102.16,99.99,16744760.0,276226704800.0,
1995-03-04,102.43,1.0,1.06,0.0105,101.4,102.66,101.4,9509270.0,168315441600.0,
1995-03-06,104.15,1.0,1.72,0.0168,102.47,104.16,102.47,15574360.0,284430458700.0,
1995-03-07,104.48,1.0,0.33,0.0032,104.15,105.2,103.69,17438020.0,339476335200.0,
1995-03-08,104.67,1.0,0.19,0.0018,104.49,105.27,104.23,15239870.0,326803942900.0,
1995-03-09,105.1,1.0,0.43,0.0040999999999999,104.64,105.36,104.05,16509930.0,346022868700.0,
1995-03-10,105.25,1.0,0.15,0.0014,105.1,106.12,104.79,14285880.0,331287047600.0,
1995-03-11,106.47,1.0,1.22,0.0116,105.27,106.54,105.27,10983910.0,221046330100.0,
1995-03-13,106.42,2.0,-0.05,-0.0005,106.46,108.45,106.42,18941020.0,378221198100.0,
1995-03-14,107.14,1.0,0.72,0.0068,106.4,107.14,105.87,13734660.0,321002152200.0,
1995-03-15,106.87,2.0,-0.27,-0.0025,107.13,107.94,106.66,17626240.0,343392097100.0,
1995-03-16,106.96,1.0,0.09,0.0008,106.86,107.65,106.78,13737080.0,323401807200.0,
1995-03-17,106.95,2.0,-0.01,-0.0001,106.94,108.16,105.98,17638290.0,382923527600.0,
1995-03-18,107.03,1.0,0.08,0.0007,106.94,107.52,106.55,9961000.0,238798251800.0,
1995-03-20,108.02,1.0,0.99,0.0092,107.03,108.72,107.03,15835450.0,380342023000.0,
1995-03-21,106.78,2.0,-1.24,-0.0115,108.03,108.16,106.74,13827170.0,301366397700.0,
1995-03-22,106.21,2.0,-0.57,-0.0053,106.78,107.3,105.87,13610730.0,304078011800.0,
1995-03-23,106.76,1.0,0.55,0.0052,106.23,107.12,105.93,13393320.0,302929118700.0,
1995-03-24,107.72,1.0,0.96,0.009,106.76,108.01,106.73,22577690.0,457482607600.0,
1995-03-25,107.95,1.0,0.23,0.0021,107.73,108.66,107.73,11604930.0,313253794800.0,
1995-03-27,107.56,2.0,-0.39,-0.0036,107.92,108.1,107.52,12982340.0,299193535800.0,
1995-03-28,106.87,2.0,-0.69,-0.0064,107.57,108.88,106.87,15768420.0,409984665900.0,
1995-03-29,105.5,2.0,-1.37,-0.0128,106.82,106.92,105.48,12795420.0,299195817600.0,
1995-03-30,104.34,2.0,-1.16,-0.011,105.51,106.29,104.21,13515600.0,293854584900.0,
1995-03-31,104.86,1.0,0.52,0.005,104.28,104.86,103.84,12507310.0,266541809000.0,
1995-04-01,105.11,1.0,0.25,0.0024,105.11,105.24,104.31,4914740.0,162960934200.0,
1995-04-03,103.86,2.0,-1.25,-0.0118999999999999,103.83,103.86,102.64,4090750.0,193546943500.0,
1995-04-04,102.72,2.0,-1.14,-0.011,103.83,103.83,102.26,9669520.0,182564898000.0,
1995-04-06,102.18,2.0,-0.54,-0.0053,102.72,103.35,101.85,9596540.0,174903736200.0,
1995-04-07,102.98,1.0,0.8,0.0078,102.15,102.98,102.01,9759230.0,184467608100.0,
1995-04-08,102.12,2.0,-0.86,-0.0084,102.98,103.15,102.12,6946930.0,124016498400.0,
1995-04-10,101.15,2.0,-0.97,-0.0095,102.1,103.25,101.15,8894580.0,173939900100.0,
1995-04-11,100.55,2.0,-0.6,-0.0059,101.07,101.07,99.66,8748230.0,162783328400.0,
1995-04-12,100.5,2.0,-0.05,-0.0005,100.53,101.31,100.49,8527870.0,157290562400.0,
1995-04-13,100.3,2.0,-0.2,-0.002,100.47,100.7,99.85,8791630.0,174260693300.0,
1995-04-14,101.9,1.0,1.6,0.016,100.29,101.9,99.75,10768730.0,200292479300.0,
1995-04-15,102.35,1.0,0.45,0.0044,101.94,102.87,101.9,9765100.0,180969163100.0,
1995-04-17,103.53,1.0,1.18,0.0115,102.35,103.89,102.35,11768470.0,255276270600.0,
1995-04-18,103.47,2.0,-0.06,-0.0006,103.59,104.49,103.2,10084780.0,230219519700.0,
1995-04-19,102.74,2.0,-0.73,-0.0070999999999999,103.64,103.66,102.69,12105600.0,250997987600.0,
1995-04-20,102.68,2.0,-0.06,-0.0006,102.72,103.3,102.23,11785890.0,229080809000.0,
1995-04-21,102.38,2.0,-0.3,-0.0029,102.7,104.43,101.58,15782690.0,386057279500.0,
1995-04-22,101.15,2.0,-1.23,-0.012,102.38,102.58,101.07,8207000.0,176476119300.0,
1995-04-24,99.43,2.0,-1.72,-0.017,101.12,101.12,99.43,9414270.0,192117978700.0,
1995-04-25,99.8,1.0,0.37,0.0037,99.4,100.05,98.81,9736560.0,199560737200.0,
1995-04-26,100.06,1.0,0.26,0.0026,99.84,101.09,99.84,10910130.0,264674109900.0,
1995-04-27,101.46,1.0,1.4,0.0139999999999999,100.22,101.95,100.22,14333580.0,255685907200.0,
1995-04-28,101.93,1.0,0.47,0.0046,101.44,102.16,99.47,16415880.0,282927371600.0,
1995-04-29,101.78,2.0,-0.15,-0.0015,101.88,102.22,101.52,9986670.0,176547460400.0,
1995-05-02,102.81,1.0,1.03,0.0101,101.71,102.89,101.71,16591210.0,240482169400.0,
1995-05-03,104.77,1.0,1.96,0.0191,102.81,106.01,102.81,19725080.0,412249368700.0,
1995-05-04,104.83,1.0,0.06,0.0006,104.77,105.59,104.77,17639400.0,329059122600.0,
1995-05-06,104.35,2.0,-0.48,-0.0046,104.75,105.47,104.35,9072440.0,184055895100.0,
1995-05-08,103.6,2.0,-0.75,-0.0072,104.27,104.34,103.41,11464070.0,211490646600.0,
1995-05-09,102.72,2.0,-0.88,-0.0085,103.59,104.08,102.59,11079200.0,217035819500.0,
1995-05-10,101.44,2.0,-1.28,-0.0125,102.72,102.9,101.42,8574400.0,164270840000.0,
1995-05-11,100.6,2.0,-0.84,-0.0083,101.39,101.59,100.48,11804670.0,203685824400.0,
1995-05-12,100.77,1.0,0.17,0.0017,100.54,101.16,99.82,12630390.0,197588378300.0,
1995-05-13,101.1,1.0,0.33,0.0033,100.87,102.0,100.87,13133850.0,191783299100.0,
1995-05-15,100.74,2.0,-0.36,-0.0036,101.11,101.64,100.71,14087570.0,199992313000.0,
1995-05-16,100.57,2.0,-0.17,-0.0017,100.74,101.27,100.46,10622360.0,162654996400.0,
1995-05-17,100.8,1.0,0.23,0.0023,100.53,101.58,100.47,13043050.0,197015983100.0,
1995-05-18,100.21,2.0,-0.59,-0.0059,100.69,101.11,100.09,10188890.0,160954751200.0,
1995-05-19,99.72,2.0,-0.49,-0.0049,100.28,100.61,99.52,10229290.0,158996630000.0,
1995-05-20,99.76,1.0,0.04,0.0004,99.73,99.76,99.03,5745490.0,89873585100.0,
1995-05-22,98.59,2.0,-1.17,-0.0116999999999999,99.69,99.69,98.53,6640360.0,108336985600.0,
1995-05-23,97.85,2.0,-0.74,-0.0075,98.43,98.86,97.85,10404690.0,160316891400.0,
1995-05-24,96.87,2.0,-0.98,-0.01,97.87,98.16,96.78,10028650.0,167524802600.0,
1995-05-25,98.33,1.0,1.46,0.0151,96.82,98.33,95.8,11547120.0,182920918600.0,
1995-05-26,96.63,2.0,-1.7,-0.0173,98.24,98.24,96.63,9230300.0,148160062600.0,
1995-05-27,96.1,2.0,-0.53,-0.0055,96.64,96.64,95.75,5012000.0,79115148000.0,
1995-05-29,100.88,1.0,4.78,0.0496999999999999,96.42,100.92,96.42,17815150.0,272988116100.0,
1995-05-30,99.96,2.0,-0.92,-0.0091,99.92,99.96,99.43,1475600.0,233851856200.0,
1995-05-31,99.96,3.0,0.0,0.0,99.92,100.08,99.39,12764110.0,192397267300.0,
1995-06-01,101.03,1.0,1.07,0.0107,99.97,101.13,99.97,12600790.0,204211345400.0,
1995-06-02,101.61,1.0,0.58,0.0056999999999999,101.03,102.64,101.03,12086250.0,216522240500.0,
1995-06-03,101.13,2.0,-0.48,-0.0046999999999999,101.62,101.62,100.79,7597700.0,122307743100.0,
1995-06-05,102.18,1.0,1.05,0.0104,101.04,102.18,100.94,11042830.0,214525511200.0,
1995-06-07,102.2,1.0,0.02,0.0002,102.17,102.93,101.96,11240030.0,228701657100.0,
1995-06-08,101.18,2.0,-1.02,-0.01,102.24,102.72,101.18,9986160.0,219708717800.0,
1995-06-09,100.78,2.0,-0.4,-0.004,101.1,101.21,100.56,11295000.0,214766183000.0,
1995-06-10,100.67,2.0,-0.11,-0.0011,100.83,101.31,100.67,6113950.0,112201285000.0,
1995-06-12,100.48,2.0,-0.19,-0.0019,100.5,100.83,100.39,8626240.0,150337137800.0,
1995-06-13,100.68,1.0,0.2,0.002,100.69,101.41,100.68,9178470.0,169581373100.0,
1995-06-14,100.53,2.0,-0.15,-0.0015,100.77,101.02,100.32,9206430.0,167811441900.0,
1995-06-15,99.93,2.0,-0.6,-0.006,100.45,100.52,99.93,9591190.0,174595117500.0,
1995-06-16,99.77,2.0,-0.16,-0.0016,99.91,100.1,99.55,9633940.0,172226640300.0,
1995-06-17,99.87,1.0,0.1,0.001,99.79,100.15,99.79,7065650.0,128289511700.0,
1995-06-19,100.42,1.0,0.55,0.0055,99.77,100.44,99.62,8911990.0,167563689500.0,
1995-06-20,100.1,2.0,-0.32,-0.0032,100.39,100.69,99.98,8982320.0,170666055000.0,
1995-06-21,99.4,2.0,-0.7,-0.0069999999999999,100.02,100.02,99.4,9416520.0,164066805900.0,
1995-06-22,98.64,2.0,-0.76,-0.0076,99.28,99.53,98.32,8246550.0,155258823400.0,
1995-06-23,98.84,1.0,0.2,0.002,98.67,98.95,98.08,9524620.0,180490958800.0,
1995-06-24,98.89,1.0,0.05,0.0005,98.87,99.13,98.42,7097750.0,138196811900.0,
1995-06-26,98.52,2.0,-0.37,-0.0037,98.85,98.94,98.37,12566890.0,266270585800.0,
1995-06-28,99.19,1.0,0.67,0.0068,98.3,100.89,97.42,11046700.0,250346053000.0,
1995-06-29,100.22,1.0,1.03,0.0104,99.21,100.22,99.11,10008650.0,193159731300.0,
1995-06-30,101.3,1.0,1.08,0.0108,99.87,101.3,99.68,12263510.0,238356057400.0,
1995-07-01,102.87,1.0,1.57,0.0155,101.37,103.0,101.37,20066290.0,491807458900.0,
1995-07-03,103.26,1.0,0.39,0.0038,102.88,103.26,102.33,19133710.0,450958127600.0,
1995-07-04,102.24,2.0,-1.02,-0.0098999999999999,103.26,103.26,102.05,14668730.0,263370619200.0,
1995-07-05,101.65,2.0,-0.59,-0.0058,102.24,102.69,101.61,15665800.0,293459973300.0,
1995-07-06,102.91,1.0,1.26,0.0124,101.7,102.91,101.52,21246690.0,205594418600.0,
1995-07-07,106.37,1.0,3.46,0.0336,102.94,106.37,102.94,29454710.0,283167220200.0,
1995-07-08,106.91,1.0,0.54,0.0051,106.41,107.64,106.41,23818680.0,171380297400.0,
1995-07-10,108.8,1.0,1.89,0.0177,106.91,109.4,106.9,33193330.0,287481421100.0,
1995-07-11,108.77,2.0,-0.03,-0.0003,108.79,111.0,108.19,38505610.0,366799688200.0,
1995-07-12,108.98,1.0,0.21,0.0019,108.82,109.75,108.06,26368260.0,256610402500.0,
1995-07-13,110.85,1.0,1.87,0.0172,108.99,111.64,108.99,40566340.0,372749844500.0,
1995-07-14,110.08,2.0,-0.77,-0.0069,110.87,111.87,109.63,48939110.0,369720645900.0,
1995-07-15,109.36,2.0,-0.72,-0.0065,110.08,110.09,109.36,21886350.0,175536710600.0,
1995-07-18,108.72,2.0,-0.64,-0.0059,109.36,110.39,108.72,31507710.0,250559294200.0,
1995-07-19,107.54,2.0,-1.18,-0.0109,108.72,108.72,107.32,24979470.0,193282197200.0,
1995-07-20,108.48,1.0,0.94,0.0087,107.62,108.89,107.47,26478540.0,244575235600.0,
1995-07-21,108.76,1.0,0.28,0.0026,108.5,109.46,108.06,27517840.0,240654371900.0,
1995-07-22,108.65,2.0,-0.11,-0.001,108.74,109.28,108.25,13969770.0,141440351200.0,
1995-07-24,108.89,1.0,0.24,0.0022,108.6,109.15,108.56,19873450.0,189332127000.0,
1995-07-25,107.66,2.0,-1.23,-0.0113,108.8,109.22,107.62,18672960.0,170821994700.0,
1995-07-26,106.92,2.0,-0.74,-0.0069,107.66,108.16,106.65,18058530.0,150817714000.0,
1995-07-27,106.16,2.0,-0.76,-0.0070999999999999,106.93,107.4,106.16,14986460.0,136871885200.0,
1995-07-28,105.38,2.0,-0.78,-0.0073,106.15,106.22,105.27,13935740.0,120024066900.0,
1995-07-29,105.0,2.0,-0.38,-0.0036,105.37,105.76,105.0,9276660.0,146037221700.0,
1995-07-31,105.69,1.0,0.69,0.0066,104.98,105.69,104.91,11811320.0,155346798000.0,
1995-08-01,106.84,1.0,1.15,0.0109,105.65,106.93,105.58,14931750.0,134385137500.0,
1995-08-02,105.64,2.0,-1.2,-0.0112,106.82,106.87,105.4,16768240.0,124579342200.0,
1995-08-03,103.92,2.0,-1.72,-0.0163,105.63,105.63,103.79,11895000.0,105104530400.0,
1995-08-04,103.24,2.0,-0.68,-0.0065,103.91,103.91,102.51,11979500.0,106026074200.0,
1995-08-05,102.84,2.0,-0.4,-0.0039,103.26,103.75,102.82,9651270.0,78217734500.0,
1995-08-07,102.29,2.0,-0.55,-0.0053,102.82,103.01,102.15,13754770.0,110351999500.0,
1995-08-08,101.57,2.0,-0.72,-0.0069999999999999,102.24,102.78,101.17,13991030.0,106517510500.0,
