Date,Value
1987-01-01,11.580
1987-02-01,11.500
1987-03-01,11.530
1987-04-01,11.760
1987-05-01,11.630
1987-06-01,11.550
1987-07-01,11.550
1987-08-01,12.080
1987-09-01,12.360
1987-10-01,12.530
1987-11-01,12.510
1987-12-01,12.320
1988-01-01,12.270
1988-02-01,12.160
1988-03-01,12.140
1988-04-01,12.120
1988-05-01,12.060
1988-06-01,11.970
1988-07-01,11.930
1988-08-01,11.940
1988-09-01,13.200
1988-10-01,13.710
1988-11-01,12.750
1988-12-01,12.210
1989-01-01,12.240
1989-02-01,12.540
1989-03-01,12.810
1989-04-01,13.150
1989-05-01,14.730
1989-06-01,15.380
1989-07-01,15.840
1989-08-01,15.830
1989-09-01,15.200
1989-10-01,15.190
1989-11-01,14.900
1989-12-01,14.760
1990-01-01,14.650
1990-02-01,14.310
1990-03-01,14.000
1990-04-01,14.300
1990-05-01,14.890
1990-06-01,14.910
1990-07-01,14.720
1990-08-01,14.620
1990-09-01,15.600
1990-10-01,16.330
1990-11-01,16.020
1990-12-01,16.040
1991-01-01,16.030
1991-02-01,15.990
1991-03-01,15.980
1991-04-01,16.250
1991-05-01,16.180
1991-06-01,16.440
1991-07-01,16.440
1991-08-01,16.560
1991-09-01,16.940
1991-10-01,17.000
1991-11-01,16.940
1991-12-01,16.790
1992-01-01,16.680
1992-02-01,16.190
1992-03-01,16.200
1992-04-01,16.210
1992-05-01,16.140
1992-06-01,16.110
1992-07-01,15.710
1992-08-01,14.470
1992-09-01,14.340
1992-10-01,13.330
1992-11-01,12.400
1992-12-01,13.170
1993-01-01,12.810
1993-02-01,12.340
1993-03-01,11.460
1993-04-01,11.090
1993-05-01,11.260
1993-06-01,11.820
1993-07-01,12.190
1993-08-01,12.190
1993-09-01,13.050
1993-10-01,12.390
1993-11-01,12.290
1993-12-01,11.960
1994-01-01,11.890
1994-02-01,11.890
1994-03-01,12.090
1994-04-01,12.080
1994-05-01,11.970
1994-06-01,11.940
1994-07-01,11.990
1994-08-01,12.230
1994-09-01,12.410
1994-10-01,12.710
1994-11-01,12.870
1994-12-01,13.460
1995-01-01,13.850
1995-02-01,14.210
1995-03-01,13.980
1995-04-01,13.530
1995-05-01,13.470
1995-06-01,13.150
1995-07-01,12.790
1995-08-01,12.120
1995-09-01,11.230
1995-10-01,10.800
1995-11-01,10.380
1995-12-01,9.240
1996-01-01,9.950
1996-02-01,10.710
1996-03-01,10.770
1996-04-01,10.290
1996-05-01,10.270
1996-06-01,10.700
1996-07-01,11.050
1996-08-01,11.530
1996-09-01,11.360
1996-10-01,11.260
1996-11-01,11.320
1996-12-01,11.440
1997-01-01,11.260
1997-02-01,11.100
1997-03-01,11.400
1997-04-01,11.460
1997-05-01,11.360
1997-06-01,11.040
1997-07-01,11.170
1997-08-01,11.680
1997-09-01,11.250
1997-10-01,11.250
1997-11-01,12.110
1997-12-01,15.320
1998-01-01,16.580
1998-02-01,15.250
1998-03-01,15.200
1998-04-01,15.200
1998-05-01,15.200
1998-06-01,14.270
1998-07-01,12.240
1998-08-01,11.690
1998-09-01,11.850
1998-10-01,9.780
1998-11-01,8.720
1998-12-01,7.590
1999-01-01,7.530
1999-02-01,8.560
1999-03-01,8.230
1999-04-01,7.280
1999-05-01,8.150
1999-06-01,8.190
1999-07-01,8.370
1999-08-01,9.210
1999-09-01,9.780
1999-10-01,9.310
1999-11-01,9.920
1999-12-01,10.070
2000-01-01,9.910
2000-02-01,8.750
2000-03-01,9.210
2000-04-01,9.100
2000-05-01,9.180
2000-06-01,8.830
2000-07-01,8.060
2000-08-01,8.040
2000-09-01,8.220
2000-10-01,8.130
2000-11-01,7.570
2000-12-01,7.040
2001-01-01,6.480
2001-02-01,6.160
2001-03-01,6.900
2001-04-01,7.580
2001-05-01,7.430
2001-06-01,6.910
2001-07-01,6.600
2001-08-01,6.070
2001-09-01,6.000
2001-10-01,6.210
2001-11-01,6.650
2001-12-01,6.940
2002-01-01,6.980
2002-02-01,6.860
2002-03-01,7.070
2002-04-01,7.140
2002-05-01,6.960
2002-06-01,6.640
2002-07-01,6.390
2002-08-01,6.090
2002-09-01,6.070
2002-10-01,6.000
2002-11-01,5.690
2002-12-01,5.720
2003-01-01,5.320
2003-02-01,5.020
2003-03-01,5.060
2003-04-01,4.950
2003-05-01,4.610
2003-06-01,4.460
2003-07-01,4.860
2003-08-01,5.100
2003-09-01,4.660
2003-10-01,4.680
2003-11-01,5.160
2003-12-01,5.260
2004-01-01,5.280
2004-02-01,5.210
2004-03-01,4.940
2004-04-01,4.950
2004-05-01,4.850
2004-06-01,4.710
2004-07-01,4.590
2004-08-01,4.100
2004-09-01,3.860
2004-10-01,3.780
2004-11-01,3.640
2004-12-01,3.530
2005-01-01,4.000
2005-02-01,4.610
2005-03-01,4.440
2005-04-01,4.240
2005-05-01,3.990
2005-06-01,4.080
2005-07-01,4.500
2005-08-01,4.810
2005-09-01,4.980
2005-10-01,5.220
2005-11-01,5.580
2005-12-01,5.500
2006-01-01,5.460
2006-02-01,5.170
2006-03-01,5.220
2006-04-01,5.250
2006-05-01,5.040
2006-06-01,5.130
2006-07-01,5.070
2006-08-01,4.910
2006-09-01,4.850
2006-10-01,4.790
2006-11-01,4.910
2006-12-01,4.990
2007-01-01,5.120
2007-02-01,5.000
2007-03-01,4.980
2007-04-01,5.110
2007-05-01,5.230
2007-06-01,5.430
2007-07-01,5.540
2007-08-01,5.450
2007-09-01,5.580
2007-10-01,5.640
2007-11-01,5.820
2007-12-01,6.250
2008-01-01,5.800
2008-02-01,5.330
2008-03-01,5.420
2008-04-01,5.300
2008-05-01,5.640
2008-06-01,6.030
2008-07-01,6.290
2008-08-01,6.190
2008-09-01,6.300
2008-10-01,5.850
2008-11-01,6.050
2008-12-01,5.290
2009-01-01,4.570
2009-02-01,5.170
2009-03-01,4.960
2009-04-01,4.770
2009-05-01,4.910
2009-06-01,5.130
2009-07-01,5.130
2009-08-01,5.350
2009-09-01,5.330
2009-10-01,5.350
2009-11-01,5.290
2009-12-01,5.250
2010-01-01,5.270
2010-02-01,5.090
2010-03-01,4.680
2010-04-01,4.630
2010-05-01,4.680
2010-06-01,4.760
2010-07-01,4.820
2010-08-01,4.630
2010-09-01,4.150
2010-10-01,3.870
2010-11-01,4.240
2010-12-01,4.210
2011-01-01,4.500
2011-02-01,4.590
2011-03-01,4.270
2011-04-01,4.290
2011-05-01,4.160
2011-06-01,4.110
2011-07-01,4.150
2011-08-01,3.920
2011-09-01,3.780
2011-10-01,3.880
2011-11-01,3.820
2011-12-01,3.800
2012-01-01,3.780
2012-02-01,3.790
2012-03-01,3.890
2012-04-01,3.850
2012-05-01,3.710
2012-06-01,3.630
2012-07-01,3.330
2012-08-01,3.070
2012-09-01,3.040
2012-10-01,3.010
2012-11-01,3.010
2012-12-01,3.090
2013-01-01,3.000
2013-02-01,2.940
2013-03-01,2.830
2013-04-01,2.760
2013-05-01,2.800
2013-06-01,3.190
2013-07-01,3.340
2013-08-01,3.430
2013-09-01,3.390
2013-10-01,3.310
2013-11-01,3.460
2013-12-01,3.528
2014-01-01,3.493
2014-02-01,3.364
2014-03-01,3.322
2014-04-01,3.327
2014-05-01,3.234
2014-06-01,3.086
2014-07-01,2.885
2014-08-01,2.891
2014-09-01,2.774
2014-10-01,2.537
2014-11-01,2.417
2014-12-01,2.436
2015-01-01,2.262
2015-02-01,2.198
2015-03-01,2.057
2015-04-01,1.951
2015-05-01,2.253
2015-06-01,2.230
2015-07-01,2.235
2015-08-01,2.104
2015-09-01,1.982
2015-10-01,1.908
2015-11-01,2.054
2015-12-01,2.058
2016-01-01,1.915
2016-02-01,1.720
2016-03-01,1.739
2016-04-01,1.689
2016-05-01,1.658
2016-06-01,1.497
2016-07-01,1.338
2016-08-01,1.352
2016-09-01,1.452
2016-10-01,1.566
2016-11-01,1.920
2016-12-01,2.062
2017-01-01,1.990
2017-02-01,2.024
2017-03-01,2.075
2017-04-01,2.031
2017-05-01,2.071
2017-06-01,2.030
2017-07-01,2.096
2017-08-01,2.155
2017-09-01,2.164
2017-10-01,2.380
2017-11-01,2.519
2017-12-01,2.461
2018-01-01,2.599
2018-02-01,2.703
2018-03-01,2.688
2018-04-01,2.612
2018-05-01,2.691
2018-06-01,2.603
2018-07-01,2.490
2018-08-01,2.356
2018-09-01,2.245
2018-10-01,2.297
2018-11-01,2.183
2018-12-01,1.988
2019-01-01,1.967
2019-02-01,1.947
2019-03-01,1.918
2019-04-01,1.847
2019-05-01,1.795
2019-06-01,1.607
2019-07-01,1.482
2019-08-01,1.258
2019-09-01,1.441
2019-10-01,1.556
2019-11-01,1.704
2019-12-01,1.612
2020-01-01,1.585
2020-02-01,1.463
2020-03-01,1.396
2020-04-01,1.412
2020-05-01,1.301
2020-06-01,1.282
2020-07-01,1.246
2020-08-01,1.231
2020-09-01,1.328
2020-10-01,1.340
2020-11-01,1.422
2020-12-01,1.463
2021-01-01,1.459
2021-02-01,1.471
2021-03-01,1.688
2021-04-01,1.736
2021-05-01,1.811
2021-06-01,1.858
2021-07-01,1.819
2021-08-01,1.785
2021-09-01,1.904
2021-10-01,2.256
2021-11-01,2.310
2021-12-01,2.144
2022-01-01,2.416
2022-02-01,2.632
2022-03-01,2.733
2022-04-01,3.222
2022-05-01,3.288
2022-06-01,3.705
2022-07-01,3.393
2022-08-01,3.385
2022-09-01,4.027
2022-10-01,4.522
2022-11-01,4.388
2022-12-01,3.929
2023-01-01,3.643
2023-02-01,3.609
