Date,PriceMonthlyAvg,DividendAnnualized
1970-01-01,90.31,3.16333
1970-02-01,87.16,3.16667
1970-03-01,88.65,3.17
1970-04-01,85.95,3.17333
1970-05-01,76.06,3.17667
1970-06-01,75.59,3.18
1970-07-01,75.72,3.18333
1970-08-01,77.92,3.18667
1970-09-01,82.58,3.19
1970-10-01,84.37,3.17333
1970-11-01,84.28,3.15667
1970-12-01,90.05,3.14
1971-01-01,93.49,3.13
1971-02-01,97.11,3.12
1971-03-01,99.6,3.11
1971-04-01,103.0,3.10667
1971-05-01,101.6,3.10333
1971-06-01,99.72,3.1
1971-07-01,99.0,3.09667
1971-08-01,97.24,3.09333
1971-09-01,99.4,3.09
1971-10-01,97.29,3.08333
1971-11-01,92.78,3.07667
1971-12-01,99.17,3.07
1972-01-01,103.3,3.07
1972-02-01,105.2,3.07
1972-03-01,107.7,3.07
1972-04-01,108.8,3.07
1972-05-01,107.7,3.07
1972-06-01,108.0,3.07
1972-07-01,107.2,3.07333
1972-08-01,111.0,3.07667
1972-09-01,109.4,3.08
1972-10-01,109.6,3.10333
1972-11-01,115.1,3.12667
1972-12-01,117.5,3.15
1973-01-01,118.4,3.15667
1973-02-01,114.2,3.16333
1973-03-01,112.4,3.17
1973-04-01,110.3,3.18667
1973-05-01,107.2,3.20333
1973-06-01,104.8,3.22
1973-07-01,105.8,3.23667
1973-08-01,103.8,3.25333
1973-09-01,105.6,3.27
1973-10-01,109.8,3.30667
1973-11-01,102.0,3.34333
1973-12-01,94.78,3.38
1974-01-01,96.11,3.4
1974-02-01,93.45,3.42
1974-03-01,97.44,3.44
1974-04-01,92.46,3.46
1974-05-01,89.67,3.48
1974-06-01,89.79,3.5
1974-07-01,79.31,3.53
1974-08-01,76.03,3.56
1974-09-01,68.12,3.59
1974-10-01,69.44,3.59333
1974-11-01,71.74,3.59667
1974-12-01,67.07,3.6
1975-01-01,72.56,3.62333
1975-02-01,80.1,3.64667
1975-03-01,83.78,3.67
1975-04-01,84.72,3.68333
