rcept_no,status,metric_rows,best_scope,usable_metric_count,document_sha256,updated_at_utc,error,parser_version
20000114000001,NO_METRICS,0,CFS,0,2b9a5240eb01395acb21dbe1d3a745d7b82fd50af13ef5751488be92485736dd,2026-09-23T10:06:35.261505+00:00,,
20000114000002,NO_METRICS,0,CFS,0,5f62d2699730225fd578c98c90136cde9488e3907998107f198a43aa8f62afaf,2026-09-23T10:06:35.263917+00:00,,
20000110000001,NO_METRICS,0,CFS,0,07350e03f6e42ea46eee901205b1fd5281f42c84ee46ac4e19d4b4af40972844,2026-09-23T10:06:35.269505+00:00,,
20000115000001,NO_METRICS,0,CFS,0,e05d841e594a6dcfc14d8112efa75202b4c995ba8646956d804cc7e8260150d4,2026-09-23T10:06:35.809172+00:00,,
20000113000001,PARSED_4F,7,OFS,4,02ae98809aac262ef6d649edaaa3e14aa875dd4aad7dc26fe554864382014d73,2026-09-23T10:06:36.153769+00:00,,
20000117000001,PARSED_PARTIAL,3,OFS,3,a5a778f7aaaf9361592aef3b71cc5db8236ef6ae90de1cf76740e6ea3a36a9fd,2026-09-23T10:06:36.333015+00:00,,
20000118000001,PARSED_4F,7,OFS,4,cabb429fe563fb5e6080891497f0955add05852c89a1b84fb06d9c427f9cf84a,2026-09-23T10:06:36.758350+00:00,,
20000120000001,PARSED_PARTIAL,2,OFS,2,09e4eeef3728fc92ecce82b55bd39f542b023c932e35ffa0822e569fcd3d5f4a,2026-09-23T10:06:36.921220+00:00,,
20000120000003,NO_METRICS,0,CFS,0,2fada45342293d1a8d05dbab554fcd00bb3cc14c3c7b5cd0395cd6d1e0c47198,2026-09-23T10:06:37.414073+00:00,,
20000118000002,PARSED_4F,7,OFS,4,06a1c47c4ae16dc8ed888ba4dc7437988e01d34230ac55cade304b7a5e58b311,2026-09-23T10:06:37.431810+00:00,,
20000120000002,PARSED_PARTIAL,3,OFS,3,70c247ce3a528535b7d79da017c7e1c0fa048e4425e7da1924443496c2fb4793,2026-09-23T10:06:37.675854+00:00,,
20000121000001,PARSED_PARTIAL,1,OFS,1,5f627cddc70f8da77b76c3caeba5e99763c4a52fc26202d4f74bb5287ce9b669,2026-09-23T10:06:37.722157+00:00,,
20000124000002,NO_METRICS,0,CFS,0,61061c12b7fe09a36ee5026be98aeda84c360b3e96e28ec3ae10b57acf03dfcb,2026-09-23T10:06:38.074237+00:00,,
20000121000002,PARSED_PARTIAL,1,OFS,1,5935e3ff509f29196a701fb64a1bd7e58694e3c7c8474b02d6647634d4218403,2026-09-23T10:06:38.239930+00:00,,
20000211000004,NO_METRICS,0,CFS,0,18a1858f5ed694972a0fae6ecbfc7f9a1df81445d2eaa7bc62ff6f89ecb88ba1,2026-09-23T10:06:38.267196+00:00,,
20000131000001,PARSED_4F,4,OFS,4,b3c540cdc9bfe015025b7ebde0e60f47e017f765f21afbe2ec1fff7a8c15b594,2026-09-23T10:06:38.916976+00:00,,
20000212000001,NO_METRICS,0,CFS,0,845130fa853027566997e5b3a5a35e6958ed407b151d78ebeae444e37489b619,2026-09-23T10:06:38.968674+00:00,,
20000212000005,PARSED_PARTIAL,2,CFS,0,968186d9711f7bb1ab2d5f4d62dea66dcdc4438f20e50f95310dd88ea5bbd959,2026-09-23T10:06:39.294616+00:00,,
20000212000003,PARSED_4F,7,OFS,4,06e154f7099a9ce5d6878f78fc9d89066d9379107b9102926d01501339bd9774,2026-09-23T10:06:39.702509+00:00,,
20000212000006,PARSED_4F,4,OFS,4,153e94da9304a30a4549dd226f93d16e052aadbc299706451379bc9cc5b70418,2026-09-23T10:06:40.235600+00:00,,
20000703000136,PARSED_PARTIAL,1,OFS,1,cac30d70acc75673524d21c06ce35c290d31131d2ed1ecb23beb4f6ae6883c4a,2026-09-23T10:10:00.929733+00:00,,legacy-v1
20000703000046,PARSED_PARTIAL,1,,0,6918f1c9f5abdbbe209cae3a12e5d98ff176ef93a08756f0389512a8dd3751a5,2026-09-23T10:10:01.247334+00:00,,legacy-v1
20000704000190,PARSED_PARTIAL,1,,0,12138158210baa07166920fa9472863184720d3890c798112903906c64b302e9,2026-09-23T10:10:01.253105+00:00,,legacy-v1
20000704000106,PARSED_PARTIAL,3,OFS,3,78f79b679e152efd8d62338aeeebe64b7a0f4751e2db9a0032bc5259c9e322e9,2026-09-23T10:10:01.567994+00:00,,legacy-v1
20000714000007,PARSED_PARTIAL,2,,0,bb60ed2131692ac1e5b52db642e91aedd33cbf14e947f376d66657934289ab84,2026-09-23T10:10:02.987741+00:00,,legacy-v1
20000713000017,PARSED_PARTIAL,2,OFS,1,9e93be68fd2a46b718e62484920a9b431861e67de17c39c2cc200baac6492b43,2026-09-23T10:10:03.391569+00:00,,legacy-v1
20000714000024,PARSED_PARTIAL,1,,0,cc32666716fbb0524f389ab6b4fe503a3832a528eaf08e0a4e1c56111f714781,2026-09-23T10:10:03.542676+00:00,,legacy-v1
20000714000105,PARSED_PARTIAL,2,OFS,2,0b5ea75ed610b5b09921761e248d96c7d568d3cf2e6d395dcf7b80c0cb5e05ed,2026-09-23T10:10:05.612574+00:00,,legacy-v1
20000715000032,PARSED_PARTIAL,2,OFS,1,77da8b8ca06c6c189f59b403103b0092cb9654c813011335d25e8d702ed61ae7,2026-09-23T10:10:05.805756+00:00,,legacy-v1
20000714000049,PARSED_PARTIAL,2,OFS,2,5d4beb8bf515345bf74172e8b9b8e12cd568befa2a4d552039532e4cb74294a9,2026-09-23T10:10:05.967892+00:00,,legacy-v1
20000706000074,PARSED_PARTIAL,3,OFS,3,d01f3b1af78f09689265f7082882ce8ea00e69f646119492db4c8edcbd45789f,2026-09-23T10:10:07.075067+00:00,,legacy-v1
20000715000068,PARSED_PARTIAL,1,,0,6406d67128797c78ef4981b168d9ea2f235fd3dadad1c91f4d2862ae03523a16,2026-09-23T10:10:07.950673+00:00,,legacy-v1
20000729000038,ERROR,0,,0,,2026-09-23T10:10:08.709893+00:00,"RuntimeError('document not zip: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",legacy-v1
20000801000049,ERROR,0,,0,,2026-09-23T10:10:09.571247+00:00,"RuntimeError('document not zip: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",legacy-v1
20000727000075,PARSED_PARTIAL,3,OFS,1,f791db95ba49c256baea00e108da9a5bf3cf7f2234191590ba95ba54a1746f86,2026-09-23T10:10:09.580825+00:00,,legacy-v1
20000725000054,PARSED_PARTIAL,3,OFS,3,832d7ae24ebf19d781d8e2e4e03413cbd4b2737919f2a2adc401902f25d8b441,2026-09-23T10:10:10.010139+00:00,,legacy-v1
20000801000099,ERROR,0,,0,,2026-09-23T10:10:10.412550+00:00,"RuntimeError('document not zip: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",legacy-v1
20000725000172,PARSED_PARTIAL,3,OFS,3,1be4a798c0e5848f286c20d2eab14682b4d38806411146dc5a5f6e4a89831de8,2026-09-23T10:10:10.759227+00:00,,legacy-v1
20000802000013,NO_METRICS,0,,0,11de8bd839acc92509b3fb2c8898f9841ce6a659d21a312be2b528b5ac513d54,2026-09-23T10:10:11.060247+00:00,,legacy-v1
