fiscal_year,period,indexed_filings,mapped_filings,processed_filings,usable_four_factor_filings,mapped_companies,processing_pct,usable_pct_of_processed,generated_at_utc
1998.0,FY,1,1,1,1,1,100.0,100.0,2026-09-25T19:46:08.333933+00:00
1999.0,FY,1192,997,884,211,898,88.67,23.87,2026-09-25T19:46:08.333933+00:00
1999.0,H1,33,31,9,1,29,29.03,11.11,2026-09-25T19:46:08.333933+00:00
2000.0,FY,1784,1413,1111,11,1204,78.63,0.99,2026-09-25T19:46:08.333933+00:00
2000.0,H1,1382,1137,999,101,1045,87.86,10.11,2026-09-25T19:46:08.333933+00:00
2000.0,Q1,1168,1011,891,96,890,88.13,10.77,2026-09-25T19:46:08.333933+00:00
2000.0,Q3,1483,1208,7,0,1021,0.58,0.0,2026-09-25T19:46:08.333933+00:00
2000.0,QX,59,53,1,1,38,1.89,100.0,2026-09-25T19:46:08.333933+00:00
2001.0,FY,2063,1603,0,0,1416,0.0,,2026-09-25T19:46:08.333933+00:00
2001.0,H1,1837,1458,545,0,1274,37.38,0.0,2026-09-25T19:46:08.333933+00:00
2001.0,Q1,1731,1383,586,6,1187,42.37,1.02,2026-09-25T19:46:08.333933+00:00
2001.0,Q3,1898,1475,0,0,1285,0.0,,2026-09-25T19:46:08.333933+00:00
2001.0,QX,86,78,0,0,44,0.0,,2026-09-25T19:46:08.333933+00:00
2002.0,FY,2245,1821,0,0,1528,0.0,,2026-09-25T19:46:08.333933+00:00
2002.0,H1,2036,1602,0,0,1459,0.0,,2026-09-25T19:46:08.333933+00:00
2002.0,Q1,1985,1571,0,0,1395,0.0,,2026-09-25T19:46:08.333933+00:00
2002.0,Q3,2044,1653,0,0,1457,0.0,,2026-09-25T19:46:08.333933+00:00
2002.0,QX,57,56,0,0,31,0.0,,2026-09-25T19:46:08.333933+00:00
2003.0,FY,3726,3338,0,0,1557,0.0,,2026-09-25T19:46:08.333933+00:00
2003.0,H1,2194,1783,0,0,1540,0.0,,2026-09-25T19:46:08.333933+00:00
2003.0,Q1,2226,1849,0,0,1495,0.0,,2026-09-25T19:46:08.333933+00:00
2003.0,Q3,3074,2727,0,0,1525,0.0,,2026-09-25T19:46:08.333933+00:00
2003.0,QX,76,66,0,0,25,0.0,,2026-09-25T19:46:08.333933+00:00
2004.0,FY,2617,2230,0,0,1586,0.0,,2026-09-25T19:46:08.333933+00:00
2004.0,H1,2171,1770,0,0,1550,0.0,,2026-09-25T19:46:08.333933+00:00
2004.0,Q1,3449,3093,0,0,1520,0.0,,2026-09-25T19:46:08.333933+00:00
2004.0,Q3,2146,1816,0,0,1537,0.0,,2026-09-25T19:46:08.333933+00:00
2004.0,QX,41,40,0,0,22,0.0,,2026-09-25T19:46:08.333933+00:00
2005.0,FY,2530,2173,0,0,1626,0.0,,2026-09-25T19:46:08.333933+00:00
2005.0,H1,2291,1904,0,0,1569,0.0,,2026-09-25T19:46:08.333933+00:00
2005.0,Q1,2144,1782,0,0,1541,0.0,,2026-09-25T19:46:08.333933+00:00
