year,period,expected_tasks,completed_tasks,ok_tasks,no_data_tasks,error_tasks,expected_codes,completed_codes,codes_with_data,remaining_tasks,task_completion_pct,code_completion_pct,data_available_pct,generated_at_utc
2015,FY,4410,4410,3202,1208,0,2205,2205,1833,0,100.0,100.0,83.13,2026-09-23T12:22:32.130048+00:00
2016,Q1,4324,4324,3121,1203,0,2162,2162,1772,0,100.0,100.0,81.96,2026-09-23T12:22:32.130048+00:00
2016,H1,4324,4324,3203,1121,0,2162,2162,1816,0,100.0,100.0,84.0,2026-09-23T12:22:32.130048+00:00
2016,Q3,4324,4324,3234,1090,0,2162,2162,1830,0,100.0,100.0,84.64,2026-09-23T12:22:32.130048+00:00
2016,FY,4568,4568,3312,1256,0,2284,2284,1867,0,100.0,100.0,81.74,2026-09-23T12:22:32.130048+00:00
2017,Q1,4508,4508,3262,1246,0,2254,2254,1836,0,100.0,100.0,81.46,2026-09-23T12:22:32.130048+00:00
2017,H1,4508,4508,3345,1163,0,2254,2254,1878,0,100.0,100.0,83.32,2026-09-23T12:22:32.130048+00:00
2017,Q3,4508,4508,3386,1122,0,2254,2254,1898,0,100.0,100.0,84.21,2026-09-23T12:22:32.130048+00:00
2017,FY,4750,4750,3488,1262,0,2375,2375,1951,0,100.0,100.0,82.15,2026-09-23T12:22:32.130048+00:00
2018,Q1,4642,4642,3480,1162,0,2321,2321,1941,0,100.0,100.0,83.63,2026-09-23T12:22:32.130048+00:00
2018,H1,4642,4642,3510,1132,0,2321,2321,1950,0,100.0,100.0,84.02,2026-09-23T12:22:32.130048+00:00
2018,Q3,4642,4642,3540,1102,0,2321,2321,1964,0,100.0,100.0,84.62,2026-09-23T12:22:32.130048+00:00
2018,FY,4882,4882,3658,1224,0,2441,2441,2037,0,100.0,100.0,83.45,2026-09-23T12:22:32.130048+00:00
2019,Q1,4774,4774,3622,1152,0,2387,2387,2011,0,100.0,100.0,84.25,2026-09-23T12:22:32.130048+00:00
2019,H1,4774,4774,3642,1132,0,2387,2387,2020,0,100.0,100.0,84.63,2026-09-23T12:22:32.130048+00:00
2019,Q3,4774,4774,3696,1078,0,2387,2387,2043,0,100.0,100.0,85.59,2026-09-23T12:22:32.130048+00:00
2019,FY,4980,2125,1582,543,0,2490,0,1582,2855,42.67,0.0,63.53,2026-09-23T12:22:32.130048+00:00
2020,Q1,4922,0,0,0,0,2461,0,0,4922,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2020,H1,4922,0,0,0,0,2461,0,0,4922,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2020,Q3,4922,0,0,0,0,2461,0,0,4922,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2020,FY,5166,0,0,0,0,2583,0,0,5166,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2021,Q1,5072,0,0,0,0,2536,0,0,5072,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2021,H1,5072,0,0,0,0,2536,0,0,5072,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2021,Q3,5072,0,0,0,0,2536,0,0,5072,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2021,FY,5338,0,0,0,0,2669,0,0,5338,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2022,Q1,5244,0,0,0,0,2622,0,0,5244,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2022,H1,5244,0,0,0,0,2622,0,0,5244,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2022,Q3,5244,0,0,0,0,2622,0,0,5244,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2022,FY,5544,0,0,0,0,2772,0,0,5544,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2023,Q1,5444,0,0,0,0,2722,0,0,5444,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2023,H1,5444,0,0,0,0,2722,0,0,5444,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2023,Q3,5444,0,0,0,0,2722,0,0,5444,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2023,FY,5726,0,0,0,0,2863,0,0,5726,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2024,Q1,5624,0,0,0,0,2812,0,0,5624,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2024,H1,5624,0,0,0,0,2812,0,0,5624,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2024,Q3,5624,0,0,0,0,2812,0,0,5624,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2024,FY,5856,0,0,0,0,2928,0,0,5856,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2025,Q1,5734,0,0,0,0,2867,0,0,5734,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2025,H1,5734,0,0,0,0,2867,0,0,5734,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2025,Q3,5734,0,0,0,0,2867,0,0,5734,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2025,FY,7036,0,0,0,0,3518,0,0,7036,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2026,Q1,6876,0,0,0,0,3438,0,0,6876,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
2026,H1,6876,0,0,0,0,3438,0,0,6876,0.0,0.0,0.0,2026-09-23T12:22:32.130048+00:00
