year,action,rows,first_date,latest_date,unique_codes,updated_at_utc
1995,backfilled_missing,198903,1995-05-02,1995-12-27,1140,2026-09-23T01:28:51.821157+00:00
1996,backfilled_missing,353896,1996-01-03,1996-12-27,1640,2026-09-23T01:28:51.821157+00:00
1997,backfilled_missing,385963,1997-01-03,1997-12-27,1435,2026-09-23T01:28:51.821157+00:00
1998,backfilled_missing,380813,1998-01-03,1998-12-28,1360,2026-09-23T01:28:51.821157+00:00
1999,backfilled_missing,319535,1999-01-04,1999-12-28,1503,2026-09-23T01:28:51.821157+00:00
2000,backfilled_missing,353843,2000-01-04,2000-12-26,1673,2026-09-23T01:28:51.821157+00:00
2001,backfilled_missing,379193,2001-01-02,2001-12-28,1729,2026-09-23T01:28:51.821157+00:00
2002,backfilled_missing,410520,2002-01-02,2002-12-30,1805,2026-09-23T01:28:51.821157+00:00
2003,backfilled_missing,428493,2003-01-02,2003-12-30,1812,2026-09-23T01:28:51.821157+00:00
2004,backfilled_missing,434124,2004-01-02,2004-12-30,1829,2026-09-23T01:28:51.821157+00:00
2005,backfilled_missing,435994,2005-01-03,2005-12-29,1863,2026-09-23T01:28:51.821157+00:00
2006,backfilled_missing,449353,2006-01-02,2006-12-28,1880,2026-09-23T01:28:51.821157+00:00
2007,backfilled_missing,465261,2007-01-02,2007-12-28,1967,2026-09-23T01:28:51.821157+00:00
2008,backfilled_missing,486610,2008-01-02,2008-12-30,2008,2026-09-23T01:28:51.821157+00:00
2009,backfilled_missing,495858,2009-01-02,2009-12-30,2058,2026-09-23T01:28:51.821157+00:00
2010,backfilled_missing,489223,2010-01-04,2010-12-30,2073,2026-09-23T01:28:51.821157+00:00
2011,backfilled_missing,487308,2011-01-03,2011-12-29,2052,2026-09-23T01:28:51.821157+00:00
2012,backfilled_missing,485169,2012-01-02,2012-12-28,2014,2026-09-23T01:28:51.821157+00:00
2013,backfilled_missing,474866,2013-01-02,2013-12-30,1990,2026-09-23T01:28:51.821157+00:00
2014,backfilled_missing,470960,2014-01-02,2014-12-30,2010,2026-09-23T01:28:51.821157+00:00
2015,backfilled_missing,490187,2015-01-02,2015-12-30,2094,2026-09-23T01:28:51.821157+00:00
2016,backfilled_missing,507498,2016-01-04,2016-12-29,2129,2026-09-23T01:28:51.821157+00:00
2017,backfilled_missing,515693,2017-01-02,2017-12-28,2206,2026-09-23T01:28:51.821157+00:00
2018,backfilled_missing,530999,2018-01-02,2018-12-28,2268,2026-09-23T01:28:51.821157+00:00
2019,backfilled_missing,555287,2019-01-02,2019-12-30,2341,2026-09-23T01:28:51.821157+00:00
2020,backfilled_missing,580252,2020-01-02,2020-12-30,2426,2026-09-23T01:28:51.821157+00:00
2021,backfilled_missing,603794,2021-01-04,2021-12-30,2516,2026-09-23T01:28:51.821157+00:00
2022,backfilled_missing,616278,2022-01-03,2022-12-29,2603,2026-09-23T01:28:51.821157+00:00
2023,backfilled_missing,625422,2023-01-02,2023-12-28,2655,2026-09-23T01:28:51.821157+00:00
2024,backfilled_missing,645711,2024-01-02,2024-12-30,2758,2026-09-23T01:28:51.821157+00:00
2025,backfilled_missing,655753,2025-01-02,2025-12-30,2819,2026-09-23T01:28:51.821157+00:00
2026,overwritten_current,481185,2026-01-02,2026-09-21,2800,2026-09-23T01:28:51.821157+00:00
