Period,Cost_bps_per_gross_dollar,CAGR,MDD,Final_Asset_USD,Avg_Annual_Gross_Turnover,Total_Cost_NAV_Units
book_validation,0.0,0.1015230267526559,-0.297822683713023,1526392.3276030037,0.06853485410349539,0.0
from_2000,0.0,0.07401309007317525,-0.2978226837130229,67130.82566217962,0.08176819862279888,0.0
from_2021,0.0,0.08457901346838304,-0.21472637029462505,15842.1254289694,0.07104514824441654,0.0
longest,0.0,0.09248824596549365,-0.297822683713023,3049893.4076819625,0.06963999819642884,0.0
book_validation,5.0,0.10148527996119672,-0.2979392604591594,1523674.783936764,0.06853485410349545,0.07541032107914568
from_2000,5.0,0.07396863053604341,-0.2979392604591593,67056.7602602665,0.08176819862279884,0.11303274437481163
from_2021,5.0,0.08453821992102961,-0.2147784632017441,15838.74918924337,0.07104514824441632,0.048994051467529005
longest,5.0,0.09245059731780869,-0.2979392604591593,3043104.1640083254,0.06963999819642883,0.12135763109557107
book_validation,15.0,0.10140978378877397,-0.29817240682080115,1518253.7389253874,0.06853485410349545,0.22551517576132654
from_2000,15.0,0.0738797078395308,-0.29817240682080126,66908.85932347125,0.08176819862279891,0.3378501145030518
from_2021,15.0,0.08445663155068828,-0.21488264901598386,15831.998381925623,0.07104514824441632,0.14636512941379679
longest,15.0,0.09237529775742526,-0.29817240682080126,3029569.878524225,0.06963999819642885,0.3627804576534287
