,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1962-01-31,0.981392736794189,0.981392736794189,0.964484731817306
1962-02-28,0.9973697840434975,0.9973697840434975,0.9825505645623936
1962-03-31,0.9993431139872968,0.9993431139872968,0.9791799493455369
1962-04-30,0.9647162911038305,0.9647162911038305,0.9209015074853444
1962-05-31,0.9202177527031224,0.9202177527031224,0.8441283859980001
1962-06-30,0.8781542504430326,0.8781542504430326,0.7774767232791516
1962-07-31,0.9121397561052449,0.9121397561052449,0.8293400589175396
1962-08-31,0.9237417029836832,0.9237417029836832,0.8444766458204266
1962-09-30,0.9028122758917108,0.9028122758917108,0.8062428629904134
1962-10-31,0.9092740257013785,0.9092740257013785,0.8123283344929608
1962-11-30,0.9631393764522895,0.9631393764522895,0.8973570444339521
1962-12-31,0.9718746862006369,0.9718746862006369,0.9120223344109369
1963-01-31,1.002311645057994,1.0022746089812027,0.9594020303569305
1963-02-28,0.9865258341323013,0.9864893813516422,0.9343099676372923
1963-03-31,1.0091142281327818,1.0090769406960562,0.9700483834922503
1963-04-30,1.0426586508861315,1.0426201239608466,1.0197465575141789
1963-05-31,1.0537183300160207,1.0536793944282925,1.037014228606987
1963-06-30,1.0407401689823375,1.0407017129462246,1.0187541815422931
1963-07-31,1.0412676185881844,1.0412291430624605,1.0179259806861332
1963-08-31,1.0747144904339163,1.074674779024203,1.07025635902825
1963-09-30,1.0696764216954655,1.0696368964457168,1.0611652858220093
1963-10-31,1.0938196303225962,1.0937792129653545,1.098107988532139
1963-11-30,1.0893318452662886,1.0892915937356666,1.0893251583839012
1963-12-31,1.1085445108512704,1.1085035493999749,1.1187783387917123
1964-01-31,1.130223288024829,1.1301303529983486,1.1517570003335351
1964-02-29,1.1374708409571792,1.1373773099851623,1.166001167038579
1964-03-31,1.1513440091434957,1.1512493374205612,1.1865960286078183
1964-04-30,1.161130330760502,1.1610348543363478,1.196745519177154
1964-05-31,1.1737123234368192,1.1736158124314147,1.2134172391501632
1964-06-30,1.1887151275750787,1.1886173829320255,1.2363408600080847
1964-07-31,1.2047440958634024,1.2046450332041585,1.2619182054559754
1964-08-31,1.1955640736010609,1.1954657657887755,1.2444969406285296
1964-09-30,1.2202434484338935,1.2201431113072434,1.28332883054443
1964-10-31,1.2302432195722048,1.2301420601929918,1.2968207098805142
1964-11-30,1.2286970883498232,1.2285960561045557,1.293254899568422
1964-12-31,1.2347641392816964,1.2346626081601935,1.3015018150401545
1965-01-31,1.2618077558025425,1.261670383717378,1.347875515775379
1965-02-28,1.2636681026018106,1.263530527982054,1.3491241568373153
1965-03-31,1.2563062799004776,1.2561695067569605,1.3328060250509774
1965-04-30,1.2856236580884435,1.28548369318346,1.381752359208622
1965-05-31,1.2831744075785592,1.2830347093216827,1.3743998254968952
1965-06-30,1.2492647648157176,1.2491287582767847,1.3109415455563447
1965-07-31,1.2610181666743114,1.2608808805511371,1.3319628388345086
1965-08-31,1.280723406446032,1.2805839750278527,1.365402928641037
1965-09-30,1.306515876047612,1.3063736366221788,1.4125767249378798
1965-10-31,1.3292378601384418,1.3290931469872613,1.454711150875728
1965-11-30,1.319012745746642,1.3188691457961683,1.445503160301494
1965-12-31,1.3238989897913522,1.323754857879072,1.462018382693583
1966-01-31,1.3274004024031645,1.3272179027154016,1.4727479222157422
1966-02-28,1.3196668207386055,1.319485384314223,1.450073247919984
1966-03-31,1.309273908495281,1.309093900956437,1.4221220420941774
1966-04-30,1.328288623344212,1.3281060015380253,1.4550023381609813
1966-05-31,1.2875372553609366,1.2873602363193117,1.37997438578527
1966-06-30,1.2735039345188792,1.2733288448699733,1.3614823429954588
1966-07-31,1.2568707196280209,1.25669791682227,1.346982260213666
1966-08-31,1.2023057402946102,1.2021404394390425,1.2461062842800843
1966-09-30,1.2121595553026805,1.2119928996801868,1.2412710753133476
1966-10-31,1.2466479425915256,1.2464765452800135,1.3041821988870168
1966-11-30,1.2617919520851077,1.2616184726761372,1.3121458820688334
1966-12-31,1.2780344749430368,1.277858762405807,1.3140895795694536
1967-01-31,1.3404666596026604,1.3402269356795151,1.4207478922723362
