Period,Strategy,Start,End,Months,Final_Multiple,Final_Asset_USD,Cumulative_Return,CAGR,Annualized_Vol,MDD,Sharpe_rf0,MDD_Source,Max_Recovery_Months,Max_Recovery_Days,MDD_Peak,MDD_Trough,MDD_Recovery,Max_Recovery_Start,Max_Recovery_End
book_validation,60/40 비용전,1970-01-31,2021-12-31,624,152.63923276030036,1526392.3276030037,151.63923276030036,0.1015230267526559,0.09421252983758634,-0.297822683713023,1.0773911276902248,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-12,2000-09-04,2003-12-11
book_validation,60/40 비용후(5bp),1970-01-31,2021-12-31,624,152.3674783936764,1523674.783936764,151.3674783936764,0.10148527996119672,0.09421350483020965,-0.2979392604591594,1.0770146418379023,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
book_validation,S&P500 100%,1970-01-31,2021-12-31,624,230.19972423931796,2301997.24239318,229.19972423931796,0.11026101946710565,0.15230782922341868,-0.5525336839969339,0.7663512451939655,daily,73.6,2240,2007-10-09,2009-03-09,2012-04-02,2000-09-04,2006-10-23
from_2000,60/40 비용전,2000-01-31,2026-08-31,320,6.713082566217961,67130.82566217962,5.713082566217961,0.07401309007317525,0.08883346893173677,-0.2978226837130229,0.8505668073350904,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-12,2000-09-04,2003-12-11
from_2000,60/40 비용후(5bp),2000-01-31,2026-08-31,320,6.70567602602665,67056.7602602665,5.70567602602665,0.07396863053604341,0.0888401309955782,-0.2979392604591593,0.8500412752759876,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
from_2000,S&P500 100%,2000-01-31,2026-08-31,320,8.518818267115043,85188.18267115043,7.5188182671150425,0.08365047515832758,0.15173347375126167,-0.5525336839969338,0.6075540323120909,daily,73.6,2240,2007-10-09,2009-03-09,2012-04-02,2000-09-04,2006-10-23
from_2021,60/40 비용전,2021-01-31,2026-08-31,68,1.58421254289694,15842.1254289694,0.58421254289694,0.08457901346838304,0.1090982023271809,-0.21472637029462505,0.8006400400014567,daily,25.9,788,2021-12-27,2022-10-14,2024-02-23,2021-12-27,2024-02-23
from_2021,60/40 비용후(5bp),2021-01-31,2026-08-31,68,1.583874918924337,15838.74918924337,0.5838749189243371,0.08453821992102961,0.10910162381708961,-0.2147784632017441,0.8002712995018751,daily,25.9,788,2021-12-27,2022-10-14,2024-02-23,2021-12-27,2024-02-23
from_2021,S&P500 100%,2021-01-31,2026-08-31,68,2.219250225392768,22192.502253927683,1.2192502253927682,0.1510527442269627,0.15112296247537207,-0.24504897869991782,1.010752097408716,daily,23.3,709,2022-01-03,2022-10-12,2023-12-13,2022-01-03,2023-12-13
longest,60/40 비용전,1962-01-31,2026-08-31,776,304.98934076819626,3049893.4076819625,303.98934076819626,0.09248824596549365,0.09372263712252973,-0.297822683713023,0.9940253863789749,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-12,2000-09-04,2003-12-11
longest,60/40 비용후(5bp),1962-01-31,2026-08-31,776,304.31041640083254,3043104.1640083254,303.31041640083254,0.09245059731780869,0.09372322187281595,-0.2979392604591593,0.9936496702386136,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
longest,S&P500 100%,1962-01-31,2026-08-31,776,656.7166965084756,6567166.965084756,655.7166965084756,0.10552279529190378,0.14942265809422195,-0.5525336839969339,0.7492619582771279,daily,73.6,2240,2007-10-09,2009-03-09,2012-04-02,2000-09-04,2006-10-23
