Period,Cost_bps,CAGR,MDD,Final_Asset_USD,Avg_Annual_Gross_Turnover
book_validation,0,0.10104684338974779,-0.2976208348388395,1492455.534138731,0.06830786196054074
from_2000,0,0.07343463393030114,-0.2976208348388396,66173.29501153142,0.08150000883377174
from_2021,0,0.08404884813637947,-0.2143065431411666,15798.292962679549,0.07082206840587452
longest,0,0.09205929846202143,-0.2976208348388395,2973415.687188708,0.06943851020523616
book_validation,5,0.10100923788474403,-0.2977374489722061,1489807.2036419546,0.0683078619605407
from_2000,5,0.0733903440888497,-0.2977374489722061,66100.5253974407,0.0815000088337717
from_2021,5,0.08400820255747732,-0.21435869563674903,15794.936635452166,0.07082206840587468
longest,5,0.09202177348409801,-0.2977374489722061,2966815.8175464277,0.06943851020523617
book_validation,15,0.10093402431155352,-0.2979706696230672,1484524.1826285755,0.06830786196054071
from_2000,15,0.07330176083784234,-0.29797066962306706,65955.21132119719,0.08150000883377152
from_2021,15,0.08392691012672815,-0.21446300062791435,15788.22563756131,0.07082206840587434
longest,15,0.09194672128473647,-0.2979706696230672,2953658.9244010253,0.06943851020523616
