Period,Strategy,Start,End,Months,Final_Multiple,Final_Asset_USD,Cumulative_Return,CAGR,Annualized_Vol,MDD,Sharpe_rf0,MDD_Source,Max_Recovery_Months,Max_Recovery_Days,MDD_Peak,MDD_Trough,MDD_Recovery,Max_Recovery_Start,Max_Recovery_End
book_validation,60/40 비용전,1970-01-31,2021-12-31,624,149.2455534138731,1492455.534138731,148.2455534138731,0.10104684338974779,0.0941173853808385,-0.2976208348388395,1.073748658733704,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
book_validation,60/40 비용후(5bp),1970-01-31,2021-12-31,624,148.98072036419546,1489807.2036419546,147.98072036419546,0.10100923788474403,0.09411815898275011,-0.2977374489722061,1.0733751498631139,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
book_validation,S&P500 100%,1970-01-31,2021-12-31,624,222.35589297973428,2223558.929797343,221.35589297973428,0.10952106199776024,0.15201331226635734,-0.5518943082325594,0.7630824977643991,daily,79.1,2407,2007-10-09,2009-03-09,2012-08-16,2000-03-24,2006-10-26
from_2000,60/40 비용전,2000-01-31,2026-08-31,320,6.617329501153141,66173.29501153142,5.617329501153141,0.07343463393030114,0.08877768585908373,-0.2976208348388396,0.8449358226457754,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
from_2000,60/40 비용후(5bp),2000-01-31,2026-08-31,320,6.6100525397440695,66100.5253974407,5.6100525397440695,0.0733903440888497,0.08878396066854688,-0.2977374489722061,0.8444152292560612,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
from_2000,S&P500 100%,2000-01-31,2026-08-31,320,8.334464974137893,83344.64974137893,7.334464974137893,0.08276177338163881,0.1515058660751207,-0.5518943082325594,0.6027398173237618,daily,79.1,2407,2007-10-09,2009-03-09,2012-08-16,2000-03-24,2006-10-26
from_2021,60/40 비용전,2021-01-31,2026-08-31,68,1.5798292962679548,15798.292962679549,0.5798292962679548,0.08404884813637947,0.10922847509537176,-0.2143065431411666,0.7953081314352087,daily,26.1,794,2021-12-27,2022-10-14,2024-02-29,2021-12-27,2024-02-29
from_2021,60/40 비용후(5bp),2021-01-31,2026-08-31,68,1.5794936635452166,15794.936635452166,0.5794936635452166,0.08400820255747732,0.10923201873638692,-0.21435869563674903,0.7949403401826652,daily,26.1,794,2021-12-27,2022-10-14,2024-02-29,2021-12-27,2024-02-29
from_2021,S&P500 100%,2021-01-31,2026-08-31,68,2.209479295823739,22094.792958237387,1.2094792958237388,0.15015678982741765,0.1514034550806814,-0.24496388734674468,1.0039531332424647,daily,23.3,709,2022-01-03,2022-10-12,2023-12-13,2022-01-03,2023-12-13
longest,60/40 비용전,1962-01-31,2026-08-31,776,297.3415687188708,2973415.687188708,296.3415687188708,0.09205929846202143,0.09365163926263256,-0.2976208348388395,0.9904797746395511,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
longest,60/40 비용후(5bp),1962-01-31,2026-08-31,776,296.68158175464276,2966815.8175464277,295.68158175464276,0.09202177348409801,0.09365207444337825,-0.2977374489722061,0.9901063094575865,daily,39.2,1193,2007-10-09,2009-03-09,2010-04-13,2000-09-04,2003-12-11
longest,S&P500 100%,1962-01-31,2026-08-31,776,631.4320502265128,6314320.502265128,630.4320502265128,0.1048517805829785,0.14919156838054,-0.5518943082325594,0.746059702692849,daily,79.1,2407,2007-10-09,2009-03-09,2012-08-16,2000-03-24,2006-10-26
