Year,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1962,-0.14852137553516054,-0.14852137553516054,-0.2573626656812833
1963,-0.04040004855216839,-0.040400048552168055,-0.09379300552833747
1964,-0.021708036339981307,-0.021708036339981196,-0.03365952533553507
1965,-0.054553528502888415,-0.05455352850288819,-0.09270486008276224
1966,-0.12583964906825496,-0.1258396490682554,-0.2044435334767426
1967,-0.047042977061870994,-0.047082386900850204,-0.1197402121464286
1968,-0.06378384603691722,-0.06378384603691722,-0.08883915396861908
1969,-0.11275555705237739,-0.11277363535200591,-0.1573311587527163
1970,-0.2089955524550361,-0.2090210738392726,-0.3280236117420796
1971,-0.07046000037329891,-0.07046000037329803,-0.12357057241924008
1972,-0.027919939892416812,-0.02791993989241648,-0.047312215480470377
1973,-0.11675385025919516,-0.1167538502591946,-0.21241056161762306
1974,-0.27455053162109466,-0.27458450117632793,-0.4491869291789704
1975,-0.21442026785096036,-0.214525862456871,-0.38622930072176653
1976,-0.04041053875987388,-0.04041053875987366,-0.15766587622563333
1977,-0.06779493842124307,-0.06781342390720446,-0.12391505939006864
1978,-0.09050368922407237,-0.09050368922407204,-0.14590173363463455
1979,-0.08558921368999006,-0.08558921368999006,-0.09879950439621954
1980,-0.10073435286724741,-0.10073435286724752,-0.16523869497209676
1981,-0.11250187845079052,-0.11250187845078996,-0.16472019500671986
1982,-0.08077103637070238,-0.08079433469229225,-0.20189364531704224
1983,-0.050158820175866814,-0.05015882017586659,-0.0651975381877743
1984,-0.08749084962607656,-0.08749084962607634,-0.11274935172419465
1985,-0.041463845378988506,-0.041463845378988395,-0.06902534527313553
1986,-0.06337170687711002,-0.06337170687710991,-0.09206295321083036
1987,-0.2396942828351335,-0.2396942828351335,-0.32944946791510865
1988,-0.17013206159335148,-0.17014159976564835,-0.26972547350440845
1989,-0.06818616952016177,-0.06822186681134412,-0.14072808335358056
1990,-0.10804768823415711,-0.10804768823415734,-0.19194624958749718
1991,-0.05785420602937774,-0.05788508073422871,-0.140058469813228
1992,-0.04081347979491401,-0.04081347979491445,-0.05595417215182119
1993,-0.03270284115605293,-0.032702841156052376,-0.04674830562024057
1994,-0.09528914906848851,-0.09529035850884038,-0.08536922761475962
1995,-0.06156819533181468,-0.061589075251109016,-0.036311560188874825
1996,-0.05963950619805303,-0.05963950619805325,-0.0762497850918602
1997,-0.07795981168245525,-0.07795981168245514,-0.11203012200656759
1998,-0.10394073589383368,-0.10394073589383357,-0.19030062381791102
1999,-0.08161655134219281,-0.08161655134219281,-0.11695615349354249
2000,-0.0695462888865852,-0.0695462888865852,-0.17131954453875553
2001,-0.15333722995625865,-0.15339196446457182,-0.355523327658851
2002,-0.20608563168929894,-0.2061783719577266,-0.47515865813319413
2003,-0.17327031182217334,-0.17344825817812037,-0.456237086598138
2004,-0.06045921053634329,-0.060459210536342955,-0.2614031986681773
2005,-0.04060710604295614,-0.04060710604295592,-0.20087675696409257
2006,-0.042089488288889476,-0.0420894882888897,-0.12421303628307556
2007,-0.0469256367809473,-0.04692563678094708,-0.09924592390836862
2008,-0.2518238449249277,-0.2518326065043863,-0.5076005268485635
2009,-0.2976208348388395,-0.2977374489722061,-0.5518943082325594
2010,-0.06998237223302961,-0.07020174462904682,-0.3059260141112289
2011,-0.08268195754569996,-0.08268195754569996,-0.2345101636492385
2012,-0.04385917141824991,-0.0438591714182498,-0.12054716278698496
2013,-0.05299751339544567,-0.05299751339544556,-0.055506128791589004
2014,-0.03386132122262708,-0.03386132122262708,-0.07273449016423728
2015,-0.06930799658593734,-0.06930799658593689,-0.1191022857032662
2016,-0.06211160297261964,-0.0621122107072859,-0.13022871495652133
2017,-0.01503830922340299,-0.015038309223403212,-0.026101249333640775
2018,-0.10987473903561551,-0.10987473903561529,-0.19348889949728554
2019,-0.08232298190736365,-0.08233551436409536,-0.15952022468928762
2020,-0.17868416478733729,-0.17868416478733695,-0.33717256183427224
2021,-0.03868968350459434,-0.03868968350459423,-0.051141372289514986
2022,-0.2143065431411666,-0.21435869563674903,-0.24496388734674468
2023,-0.1732045032220716,-0.17326660101277247,-0.1929520799800607
2024,-0.04573475953721917,-0.045734759537219394,-0.08405587612648246
2025,-0.10374303943351493,-0.10379090860687501,-0.18755234489427297
2026,-0.05976986474824031,-0.05976986474824042,-0.08884968175523744
