Date,60/40 비용전,60/40 비용후(5bp),S&P500 100%
2000-01-03,0.0,0.0,0.0
2000-01-04,-0.021230534067616325,-0.021230534067616436,-0.0391068701778825
2000-01-05,-0.023040277453659552,-0.023040277453659663,-0.03738748392627522
2000-01-06,-0.03122754503265901,-0.031227545032659232,-0.0528581929114873
2000-01-07,0.0,0.0,0.0
2000-01-10,0.0,0.0,0.0
2000-01-11,-0.010010486001774677,-0.010010486001774677,-0.011965932503718801
2000-01-12,-0.01650319335584105,-0.01650319335584105,-0.02179427963639413
2000-01-13,-0.006354363427568344,-0.006354363427568233,-0.008547011393240211
2000-01-14,0.0,0.0,0.0
2000-01-17,0.0,0.0,0.0
2000-01-18,-0.006449367431865083,-0.006449367431865083,-0.007867719517857807
2000-01-19,-0.0010543847487513025,-0.0010543847487515245,0.0
2000-01-20,-0.011433522886018621,-0.011433522886018621,-0.015306279652256838
2000-01-21,-0.012749359484025002,-0.012749359484025224,-0.017431385671499267
2000-01-24,-0.026801632032144584,-0.026801632032144806,-0.04528040433088609
2000-01-25,-0.020854259358787375,-0.020854259358787597,-0.03443910851069465
2000-01-26,-0.024947970942026387,-0.0249479709420265,-0.042091875612923824
2000-01-27,-0.02784843220205835,-0.02784843220205868,-0.04591867330170418
2000-01-28,-0.04527783161304366,-0.045277831613044106,-0.07568034535768242
2000-01-31,-0.028840223290108158,-0.028840223290108602,-0.05059536430862199
2000-02-01,-0.022112999491277985,-0.02211299949127854,-0.04124123684698777
2000-02-02,-0.02163634597483932,-0.021636345974839766,-0.0403911778737841
2000-02-03,-0.01014946270420225,-0.010149462704202805,-0.025934791539664603
2000-02-04,-0.01430591820873428,-0.014305918208734614,-0.029974290333695586
2000-02-07,-0.017484203049591973,-0.01748420304959264,-0.03146253545018418
2000-02-08,-0.009009467855603859,-0.009009467855604303,-0.018282107264968595
2000-02-09,-0.022602989107593507,-0.022602989107594063,-0.0389026842746959
2000-02-10,-0.02316383823101542,-0.023163838231015976,-0.0369896995679716
2000-02-11,-0.03387765637326712,-0.03387765637326756,-0.05654718518911184
2000-02-14,-0.028342395886538085,-0.02834239588653842,-0.05102043520899047
2000-02-15,-0.023022771429201616,-0.02302277142920195,-0.04028408187336008
2000-02-16,-0.03158614641005342,-0.03158614641005375,-0.0544213337220707
2000-02-17,-0.03569003634761814,-0.03569003634761847,-0.05931105714437179
2000-02-18,-0.04567152219078108,-0.04567152219078141,-0.079507143046463
2000-02-21,-0.04567152219078108,-0.04567152219078141,-0.079507143046463
2000-02-22,-0.043198345218328105,-0.04319834521832833,-0.08184486734342278
2000-02-23,-0.03950220411406813,-0.03950220411406857,-0.07100324021309878
2000-02-24,-0.04802239903428762,-0.048022399034287955,-0.08971099817116812
2000-02-25,-0.05004685872337178,-0.05004685872337222,-0.09300604309682203
2000-02-28,-0.040852786351905035,-0.04085278635190537,-0.07397973044607586
2000-02-29,-0.03268757440170267,-0.032687574401703,-0.06505083953987645
2000-03-01,-0.027493374671773485,-0.02749337467177393,-0.05824821423838422
2000-03-02,-0.027145385250021414,-0.02714538525002186,-0.05761019375016563
2000-03-03,-0.015975047125255548,-0.01597504712525588,-0.03996610697341563
2000-03-06,-0.022218805391837404,-0.02221880539183796,-0.04931965464231758
2000-03-07,-0.032782955866814234,-0.03278295586681479,-0.06770827811497793
2000-03-08,-0.03352530828652067,-0.033525308286521005,-0.06887730591852415
2000-03-09,-0.01658610246036374,-0.01658610246036407,-0.041666721885022184
2000-03-10,-0.02082964746166438,-0.020829647461664602,-0.04676864944737469
2000-03-13,-0.026585793777375244,-0.026585793777375688,-0.05718545415993015
2000-03-14,-0.03357339035339846,-0.03357339035339901,-0.07057816931273031
2000-03-15,-0.019966600733034134,-0.019966600733034467,-0.048894583741949105
2000-03-16,0.0,0.0,-0.004464155556733518
2000-03-17,0.0,0.0,0.0
2000-03-20,-0.003081470994095614,-0.003081470994095392,-0.005104300271315587
2000-03-21,0.0,0.0,0.0
2000-03-22,0.0,0.0,0.0
2000-03-23,0.0,0.0,0.0
2000-03-24,0.0,0.0,0.0
2000-03-27,-0.007015325269277839,-0.007015325269277728,-0.01058205954054503
2000-03-28,-0.009972261479036515,-0.009972261479036404,-0.016280742546557425
2000-03-29,-0.009389825402163932,-0.009389825402163599,-0.015262973705595373
2000-03-30,-0.016729843338750383,-0.016729843338750272,-0.031745862274182524
2000-03-31,-0.005975994329954881,-0.00597599432995477,-0.020757296257412072
2000-04-03,-0.0014499155378733253,-0.0014499155378732143,-0.015059166859440754
2000-04-04,-0.002092894492466413,-0.002092894492466413,-0.02238506207330182
2000-04-05,-0.007496594276593216,-0.007496594276592994,-0.02849009338181352
2000-04-06,-0.002948893254461904,-0.002948893254461682,-0.020044960881660523
2000-04-07,0.0,0.0,-0.013837907519776538
