Month,60/40 비용전,60/40 비용후(5bp),S&P500 100%
2021-01,-0.02404716803980933,-0.024047168039809552,-0.03725392405212635
2021-02,-0.026150731522460946,-0.026150731522460835,-0.03127564527745208
2021-03,-0.03524417405794056,-0.03524417405794,-0.04059684041811262
2021-04,-0.007080088187140232,-0.007080088187140232,-0.01219848158047021
2021-05,-0.028376354275442273,-0.028376354275442495,-0.03958594669867743
2021-06,-0.012606463836445592,-0.01260646383644548,-0.021122537338991276
2021-07,-0.012935872585995045,-0.012935872585994823,-0.02770662551721914
2021-08,-0.011639688927629455,-0.011639688927629677,-0.017428361999150654
2021-09,-0.03868968350459434,-0.03868968350459423,-0.05003469533132909
2021-10,-0.03842581017562674,-0.03842581017562652,-0.051141372289514986
2021-11,-0.018050016336604413,-0.018050016336604302,-0.030166301610632607
2021-12,-0.024556639573955596,-0.024556639573955374,-0.04093852071132609
2022-01,-0.06856475412525043,-0.06862658062020488,-0.09727641226820616
2022-02,-0.08570132216169479,-0.08576201117130922,-0.11672338445617747
2022-03,-0.0966829296543611,-0.09674288973053302,-0.12865533723078448
2022-04,-0.1229941332441391,-0.12305234684410304,-0.1348726923651673
2022-05,-0.14908757448864896,-0.14914405606696068,-0.18220277849387434
2022-06,-0.18852857660940647,-0.18858244018616688,-0.23009971436177534
2022-07,-0.16395396715595856,-0.16400946193786625,-0.2030278018444308
2022-08,-0.14654375438660483,-0.14660040481775005,-0.16660731570882592
2022-09,-0.20953836579529028,-0.209590834791342,-0.24365101473843265
2022-10,-0.2143065431411666,-0.21435869563674903,-0.24496388734674468
2022-11,-0.1988881577939604,-0.19894133372593104,-0.21436513609995012
2022-12,-0.18082720305685795,-0.1808815778327979,-0.19873837402998518
2023-01,-0.1732045032220716,-0.17326660101277247,-0.1929520799800607
2023-02,-0.15599245819427565,-0.15605584872299239,-0.15704365286146404
2023-03,-0.1619278142743067,-0.16199075901866555,-0.18023105933278483
2023-04,-0.12729901667739163,-0.1273645622726668,-0.13652972131890706
2023-05,-0.12564446131466456,-0.12571013117795127,-0.1348855922873673
2023-06,-0.10828536484879547,-0.10835233849462977,-0.09924568723351046
2023-07,-0.09583764726403021,-0.09590555581548998,-0.06004194104178817
2023-08,-0.10240772099324746,-0.10247513608887138,-0.06488559025053753
2023-09,-0.12002329264266998,-0.12008938469276986,-0.08397801826099394
2023-10,-0.14371467579977548,-0.143778988470865,-0.11667171687305067
2023-11,-0.12609116845893065,-0.1261568047715672,-0.09090378280713296
2023-12,-0.06897478845241967,-0.06904471458161265,-0.021860208159933947
2024-01,-0.04459726257597063,-0.04471311164451208,-0.019740265050602668
2024-02,-0.018881555636528158,-0.019000522909130457,-0.014205899228039165
2024-03,-0.010727710964627546,-0.010727710964627435,-0.011055750894472971
2024-04,-0.04434622520027531,-0.044346225200275424,-0.05353901643025005
2024-05,-0.03792674665045748,-0.03792674665045748,-0.04361882806786044
2024-06,-0.0064579395549899665,-0.0064579395549896335,-0.007290973484782137
2024-07,-0.03195494923683817,-0.03195494923683828,-0.04682544080668616
2024-08,-0.04573475953721917,-0.045734759537219394,-0.08405587612648246
2024-09,-0.021277014399854854,-0.021277014399854965,-0.043373362574622765
2024-10,-0.022862477073021026,-0.022862477073021248,-0.027284245502163462
2024-11,-0.02227777667979025,-0.022277776679790362,-0.025282673439655512
2024-12,-0.03315640540100151,-0.03315640540100162,-0.03571834103649352
2025-01,-0.040645786665865824,-0.0406970258697692,-0.04173387716619359
2025-02,-0.020292802023688328,-0.02034512828252477,-0.04548659266782029
2025-03,-0.05247831332889463,-0.052528920556372594,-0.10035401835085767
2025-04,-0.10374303943351493,-0.10379090860687501,-0.18755234489427297
2025-05,-0.041062099776873806,-0.041113316745452044,-0.08611083905073691
2025-06,-0.009514073145727275,-0.009566975097543784,-0.03007996279226921
2025-07,-0.007095599923783058,-0.00709559992378328,-0.007995625508040782
2025-08,-0.010836858144026573,-0.010836858144026573,-0.02414078849422041
2025-09,-0.009626514577859346,-0.009626514577859346,-0.013329794393760586
2025-10,-0.016356009415951722,-0.016356009415951722,-0.02984653787017766
2025-11,-0.032748019408880946,-0.032748019408880946,-0.05071345962427887
2025-12,-0.015963238036119876,-0.015963238036119987,-0.02578460380073111
2026-01,-0.017878898350003558,-0.017878898350003447,-0.025289130990863273
2026-02,-0.014417400222088594,-0.014417400222088261,-0.025694082722464207
2026-03,-0.05976986474824031,-0.05976986474824042,-0.08884968175523744
2026-04,-0.03828872171426456,-0.03828872171426445,-0.05529987987301266
2026-05,-0.016633294065319992,-0.016633294065319992,-0.019300423939143885
2026-06,-0.03036482739166435,-0.030364827391664462,-0.04494652583696346
2026-07,-0.02632669631670448,-0.026326696316704923,-0.03716674466400338
2026-08,-0.013631996902906396,-0.013631996902906174,-0.01964317015601491
