Date,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1962-01-01,0.0,0.0,0.0
1962-01-02,-0.004898958650673357,-0.004898958650673357,-0.008135569509691742
1962-01-03,-0.002918802745700888,-0.002918802745700888,-0.005648625289034315
1962-01-04,-0.006474288700715203,-0.006474288700715203,-0.012388484874390593
1962-01-05,-0.015150961498749171,-0.015150961498749171,-0.0259812376308014
1962-01-08,-0.019763579477333426,-0.019763579477333426,-0.033424132132179984
1962-01-09,-0.019714368394134985,-0.019714368394134985,-0.0328969187828233
1962-01-10,-0.021259484545949503,-0.021259484545949503,-0.035446788010946806
1962-01-11,-0.01751748407034448,-0.01751748407034448,-0.02960393267312733
1962-01-12,-0.01545280613874378,-0.01545280613874378,-0.026138212468261313
1962-01-15,-0.016455345222309514,-0.016455345222309514,-0.027988583566615932
1962-01-16,-0.020014161917708106,-0.020014161917708106,-0.03347768600573042
1962-01-17,-0.025758637270333895,-0.025758637270333895,-0.04386622827345721
1962-01-18,-0.02461757666265585,-0.02461757666265585,-0.04277997833306435
1962-01-19,-0.021040048924471755,-0.021040048924471755,-0.03763405090088179
1962-01-22,-0.01960677509819342,-0.01960677509819342,-0.036686914511331103
1962-01-23,-0.0239252658116349,-0.0239252658116349,-0.04386017573455325
1962-01-24,-0.022445447342546943,-0.022445447342546943,-0.042213366575007405
1962-01-25,-0.022815905030575623,-0.022815905030575623,-0.04280693977555938
1962-01-26,-0.02512085680659737,-0.02512085680659737,-0.04578162557402121
1962-01-29,-0.026879965389954186,-0.026879965389954186,-0.048896983055224386
1962-01-30,-0.024307827058586362,-0.024307827058586362,-0.045008669213699615
1962-01-31,-0.01862499914862692,-0.01862499914862692,-0.035515268182694015
1962-02-01,-0.015033816982252146,-0.015033816982252146,-0.029507209351627428
1962-02-02,-0.009651963742345337,-0.009651963742345337,-0.021675949013257645
1962-02-05,-0.00868752866606548,-0.00868752866606548,-0.020570273128238226
1962-02-06,-0.00801581282583086,-0.00801581282583086,-0.019324124936677345
1962-02-07,-0.0038940407098499996,-0.0038940407098499996,-0.012750322609123343
1962-02-08,-0.0020415937861588684,-0.0020415937861588684,-0.010381168592303203
1962-02-09,-0.0023759632824522647,-0.0023759632824522647,-0.011657442648159155
1962-02-12,-0.0024687904334976807,-0.0024687904334976807,-0.011812154566568145
1962-02-13,-0.002371551422298168,-0.002371551422298168,-0.011826626016171016
1962-02-14,-0.002371508107289255,-0.002371508107289255,-0.012121637650867934
1962-02-15,0.0,0.0,-0.00750620431488791
1962-02-16,-0.0007554282749838714,-0.0007554282749838714,-0.009484645641279155
1962-02-19,-0.0016425426431603274,-0.0016425426431603274,-0.011884494804171197
1962-02-20,-5.1740612802553265e-05,-5.1740612802553265e-05,-0.00824979850206875
1962-02-21,-0.0024065898940195396,-0.0024065898940195396,-0.012896262067421671
1962-02-22,-0.0024065898940195396,-0.0024065898940195396,-0.012896262067421671
1962-02-23,-0.0029300105802543275,-0.0029300105802543275,-0.015016775785816838
1962-02-26,-0.005413852968642385,-0.005413852968642385,-0.020507735374787783
1962-02-27,-0.004323122035534643,-0.004323122035534643,-0.01855750906554543
1962-02-28,-0.0029670262365186773,-0.0029670262365186773,-0.017449435437606353
1962-03-01,0.0,0.0,-0.013969382456156643
1962-03-02,-0.0005545605608584525,-0.0005545605608584525,-0.014421767130055718
1962-03-05,-0.00217558853980393,-0.00217558853980393,-0.01641978534666877
1962-03-06,-0.004071845119003603,-0.004071845119003603,-0.01954234069632932
