Date,NAV_Gross,NAV_Net,NAV_SPY,Turnover,TradedFraction,Cost
2000-12-29,10000.0,10000.0,9810.7051061117,0.0,0.0,0.0
2001-01-02,10050.81285022218,10050.724655197648,9633.092523636069,0.008774914611173017,0.017549829222346033,0.08819502453358012
2001-01-03,10030.944961116611,10030.856940431107,10095.819282346554,0.0,0.0,0.0
2001-01-04,10148.595437860164,10148.506384801774,9987.149907978708,0.0,0.0,0.0
2001-01-05,10170.01305675671,10169.923815760545,9661.135477418178,0.0,0.0,0.0
2001-01-08,10162.34211072137,10162.252937037101,9735.923896026077,0.0,0.0,0.0
2001-01-09,10142.071060245798,10141.982064438267,9710.21289920008,0.0,0.0,0.0
2001-01-10,10085.593240875734,10085.504740656243,9880.816995893396,0.0,0.0,0.0
2001-01-11,10064.984582134326,10064.896262754055,9890.160141827677,0.0,0.0,0.0
2001-01-12,10039.979321619889,10039.891221658643,9871.467542502125,0.0,0.0,0.0
2001-01-16,10046.916181407172,10046.828020575578,9934.563737979228,0.0,0.0,0.0
2001-01-17,10084.337458025877,10084.248968825774,9980.137817935258,0.0,0.0,0.0
2001-01-18,10186.296303489496,10186.206919609227,10079.458639977116,0.0,0.0,0.0
2001-01-19,10177.62728511524,10177.537977304872,10022.19594115143,0.0,0.0,0.0
2001-01-22,10165.657717461007,10165.568514682569,10088.80629123782,0.0,0.0,0.0
2001-01-23,10152.813436299779,10152.72434622881,10168.265832280218,0.0,0.0,0.0
2001-01-24,10117.128760552041,10117.039983611056,10198.647050475429,0.0,0.0,0.0
2001-01-25,10150.512461103322,10150.423391223216,10172.93785578,0.0,0.0,0.0
2001-01-26,10136.53451464771,10136.44556742289,10161.253742236764,0.0,0.0,0.0
2001-01-29,10100.089414697957,10100.00078727578,10215.471741466354,0.0,0.0,0.0
2001-01-30,10173.499426981129,10173.41015539236,10305.215140599978,0.0,0.0,0.0
2001-01-31,10249.385509771886,10249.295572289222,10246.882877281669,0.0,0.0,0.0
2001-02-01,10361.166863192018,10361.075944837521,10314.935832888434,0.0,0.0,0.0
2001-02-02,10286.301078935427,10286.210817521793,10080.85619223327,0.0,0.0,0.0
2001-02-05,10267.211405093503,10267.12131119013,10154.895825589805,0.0,0.0,0.0
2001-02-06,10237.430349890425,10237.340517313269,10124.984963473067,0.0,0.0,0.0
2001-02-07,10219.042599644969,10218.952928418748,10072.636674708674,0.0,0.0,0.0
2001-02-08,10219.601716959534,10219.512040827109,9955.22426388598,0.0,0.0,0.0
2001-02-09,10228.832778529799,10228.743021395594,9859.49959339429,0.0,0.0,0.0
2001-02-12,10232.711627216242,10232.621836045473,9972.425600165798,0.0,0.0,0.0
2001-02-13,10212.255978522204,10212.166366848005,9890.909828144324,0.0,0.0,0.0
2001-02-14,10177.194169447022,10177.104865437206,9875.95124335746,0.0,0.0,0.0
2001-02-15,10135.85833541645,10135.769394125045,9971.675913849149,0.0,0.0,0.0
2001-02-16,10121.457283203103,10121.368468279703,9751.811479121192,0.0,0.0,0.0
2001-02-20,10061.571026656244,10061.48273722963,9601.50027369858,0.0,0.0,0.0
2001-02-21,9958.719080676985,9958.631693767415,9394.34626587283,0.0,0.0,0.0
2001-02-22,9927.667449209233,9927.580334775077,9408.555164343046,0.0,0.0,0.0
2001-02-23,9954.822425389679,9954.735072672926,9344.986810656901,0.0,0.0,0.0
2001-02-26,10030.924575356186,10030.836554849562,9543.91499350107,0.0,0.0,0.0
2001-02-27,10103.006640703243,10102.917987682653,9455.66916487017,0.0,0.0,0.0
2001-02-28,10065.97624563579,10065.887917553755,9269.456815319916,0.0,0.0,0.0
2001-03-01,10124.763378296238,10124.674534362135,9318.065683153913,0.0,0.0,0.0
2001-03-02,10062.476289084047,10062.387991713831,9244.033258319652,0.0,0.0,0.0
2001-03-05,10096.79179046984,10096.70319198403,9328.535160693735,0.0,0.0,0.0
2001-03-06,10120.640016291698,10120.551208539742,9428.743532040759,0.0,0.0,0.0
2001-03-07,10181.288383788247,10181.199043852048,9496.051306657298,0.0,0.0,0.0
2001-03-08,10205.55651732536,10205.46696443836,9506.523487392973,0.0,0.0,0.0
2001-03-09,10148.312058878564,10148.223008306797,9225.33885686353,0.0,0.0,0.0
2001-03-12,10028.226128372356,10028.138131544376,8830.480335376502,0.0,0.0,0.0
2001-03-13,9977.330880360287,9977.243330133762,8975.558153627127,0.0,0.0,0.0
