Date,NAV_Gross,NAV_Net,NAV_SPY
2000-12-31,10000.0,10000.0,9810.7051061117
2001-01-31,10249.385509771886,10249.295572289222,10246.882877281669
2001-02-28,10065.97624563579,10065.887917553755,9269.456815319916
2001-03-31,9678.654738250509,9678.56980888163,8750.019710803102
2001-04-30,9897.275165991785,9897.188318247321,9497.62726983978
2001-05-31,9942.775489348513,9942.688242342596,9444.387827509088
2001-06-30,9833.985859890525,9833.899567504315,9219.327850351096
2001-07-31,9883.426087286098,9883.339361066113,9125.33502733609
2001-08-31,9922.556872377032,9922.46980278775,8583.906523487414
2001-09-30,9564.518755315803,9564.434827480425,7883.198511440168
2001-10-31,9982.006319312552,9981.918728059447,7985.850571838574
2001-11-30,9805.37929597409,9805.293254608034,8608.56417499591
2001-12-31,9704.757776562217,9704.672618141403,8657.10636399886
2002-01-31,9730.27264460383,9729.765400443735,8572.278275991812
2002-02-28,9950.540637304499,9950.021910459687,8418.524100117385
2002-03-31,10000.82812323569,10000.306774878156,8698.616639522097
2002-04-30,10259.58726782207,10259.052430216112,8192.744171797132
2002-05-31,10342.220513517424,10341.681368197505,8144.130798636712
2002-06-30,10116.840429995604,10116.313033856348,7543.032850587632
2002-07-31,9987.483551477499,9986.96289877942,6948.492405146007
2002-08-31,10560.18836629768,10559.637858200536,6995.75057611864
2002-09-30,10568.048286858315,10567.49736901944,6262.231172804066
2002-10-31,10359.594381184734,10359.054330156088,6777.512113696439
2002-11-30,10534.8951214215,10534.345931874332,7195.554143886631
2002-12-31,10823.001300804339,10822.437092132597,6788.506461764438
2003-01-31,10827.115101920004,10825.695080680156,6621.544020418158
2003-02-28,11108.605642834733,11107.148702938055,6532.290350266622
2003-03-31,10791.34850315543,10789.933172853976,6546.269477089304
2003-04-30,11221.672859646083,11220.201090513005,7100.161966484888
2003-05-31,12221.928680217985,12220.325723368038,7489.503265235337
2003-06-30,12100.077244979491,12098.49026945278,7569.282684453708
2003-07-31,11443.747995488642,11442.247100276565,7705.73911006288
2003-08-31,11959.6830581237,11958.114495879321,7864.674411322794
2003-09-30,12453.807119146051,12452.173750473075,7778.898402636523
2003-10-31,12732.92454935458,12731.254573268126,8195.27706631165
2003-11-30,12890.317405131813,12888.626786316796,8284.781683144902
2003-12-31,13530.371840618804,13528.597275998787,8701.611780527533
2004-01-31,13805.143443259514,13802.606045183671,8873.64316463139
2004-02-29,14272.996443684231,14270.373053796138,8994.067836699945
2004-03-31,14581.53478882458,14578.854689304562,8874.930786922847
2004-04-30,13413.418347292296,13410.952948649763,8707.003755189584
2004-05-31,13587.738911478082,13585.241472555344,8856.098522478213
2004-06-30,13688.253815490472,13685.737901835832,9019.948233799421
2004-07-31,13697.565654978675,13695.04802979936,8729.336658264245
2004-08-31,14280.190689576715,14277.56597737959,8750.60179897685
2004-09-30,14599.802846923452,14597.119389717525,8838.43133544634
2004-10-31,14953.447821253829,14950.699363776006,8952.310669288774
2004-11-30,15172.19347443663,15169.404811306344,9350.849141397428
2004-12-31,15665.482432947314,15662.603102852265,9632.50773226648
2005-01-31,15723.018756497804,15719.821362519131,9416.539503828411
2005-02-28,15997.804224862472,15994.550951194558,9613.379918408555
2005-03-31,15687.49878145336,15684.308610728442,9437.523512172285
2005-04-30,15917.567870206796,15914.33091320435,9260.70747140809
2005-05-31,16218.632319907481,16215.334139187533,9559.131282959299
2005-06-30,16561.361728214433,16557.99385089465,9573.612303145417
2005-07-31,16473.359192237775,16470.009210894772,9939.916966834064
2005-08-31,17074.94209182386,17071.469774079018,9846.730597248621
2005-09-30,17238.5848404656,17235.0792447385,9925.755824823924
2005-10-31,16556.01115884448,16552.64436960317,9691.007593727712
2005-11-30,16949.821022167092,16946.3741487317,10116.946560070666
2005-12-31,17560.893685021823,17557.32254536993,10097.587172434634
2006-01-31,18090.039644189932,18085.622216514148,10340.071048997703
2006-02-28,18015.18514187943,18010.78599301102,10399.274642446055
2006-03-31,17742.668914443246,17738.336311627187,10570.897843976061
2006-04-30,18089.990492105895,18085.573076432614,10704.433916998389
2006-05-31,17587.55167692946,17583.256952370793,10382.012934792176
2006-06-30,17543.944444978566,17539.660368920242,10409.08544126295
2006-07-31,17971.55370143814,17967.165206981575,10455.702954818353
2006-08-31,18391.55943050325,18387.06837436257,10683.865299750654
2006-09-30,18422.52585289049,18418.02723502336,10972.350361214567
2006-10-31,18815.470451849083,18810.87588038646,11318.161196074074
2006-11-30,19509.828335335227,19505.064207819007,11543.226579623773
2006-12-31,19288.774959996754,19284.064811759592,11697.575458585925
2007-01-31,19262.291475669346,19256.62268803954,11873.510257501946
2007-02-28,19686.74187917201,19680.94817809669,11640.579475084429
2007-03-31,19773.940402291715,19768.121039165242,11775.477057751532
2007-04-30,20220.10424664512,20214.153579925558,12297.08843279969
2007-05-31,20111.16963463456,20105.251026778908,12714.20506894279
2007-06-30,19984.633566674467,19978.752197695496,12528.31620182965
2007-07-31,20277.948533003597,20271.98084302512,12136.0464409048
2007-08-31,20531.7519368488,20525.709553908797,12291.790168927257
2007-09-30,21525.66453234986,21519.32964633806,12767.657162680625
2007-10-31,22530.90086902766,22524.270147428626,12940.872546568231
2007-11-30,22804.942611478153,22798.231240884597,12439.638762927523
2007-12-31,22798.96104492489,22792.251434673835,12299.559153809632
2008-01-31,23032.36065828706,23024.529865762775,11555.917183089749
2008-02-29,23245.847738450593,23237.944362266466,11257.27891800085
2008-03-31,23247.60510772111,23239.701134047453,11156.61280548933
