symbol,first,last,rows
DBC,2006-02-06,2026-09-18,5187
EDV,2008-01-29,2026-09-18,4690
EEM,2003-04-14,2026-09-18,5896
EFA,2001-08-27,2026-09-18,6302
EMLC,2010-07-23,2026-09-18,4064
FNMIX,2000-12-01,2026-09-17,6485
GLD,2004-11-18,2026-09-18,5492
LQD,2002-07-30,2026-09-18,6074
LTPZ,2009-09-08,2026-09-18,4284
PCRIX,2002-07-01,2026-09-17,6093
SPY,2000-12-01,2026-09-18,6486
VEIEX,2000-12-01,2026-09-17,6485
VFICX,2000-12-01,2026-09-17,6485
VGTSX,2000-12-01,2026-09-17,6485
VIPSX,2000-12-01,2026-09-17,6485
^SPGSCI,2000-12-01,2026-09-18,6486
