,닻과 돛(해자기업),닻과 돛(NASDAQ 40%),S&P500 100%
1990-01-02,10000.0,10000.0,10000.0
1990-01-03,9984.478773893337,9984.478773893337,9974.144605925412
1990-01-04,9983.317415112868,9983.317415112868,9888.237399249741
1990-01-05,10037.397383521557,10037.397383521555,9791.765403999654
1990-01-08,10040.595192905834,10040.595192905832,9835.970033739111
1990-01-09,10016.018656192262,10016.018656192262,9720.03649654235
1990-01-10,10005.99389390423,10005.993893904228,9655.814595935866
1990-01-11,10013.488344487376,10013.488344487378,9689.732725781634
1990-01-12,9965.187981352225,9965.187981352225,9450.637781659116
1990-01-15,9935.146981825195,9935.146981825197,9369.178951669574
1990-01-16,9945.685398968526,9945.685398968526,9473.435394010108
1990-01-17,9915.578339504795,9915.578339504795,9380.299469164343
1990-01-18,9928.315979465646,9928.315979465644,9402.263063914257
1990-01-19,9922.84972651791,9922.84972651791,9428.952475589927
1990-01-22,9826.4493410496,9826.4493410496,9185.131714541656
1990-01-23,9830.93759617521,9830.937596175208,9219.327284627048
1990-01-24,9884.620481578206,9884.620481578206,9181.795644137335
1990-01-25,9842.549913378672,9842.549913378672,9065.583818259847
1990-01-26,9826.885637156847,9826.885637156847,9057.799371169398
1990-01-29,9806.549251363327,9806.549251363325,9041.119019147793
1990-01-30,9738.228185318072,9738.22818531807,8979.39917134455
1990-01-31,9759.97130870273,9759.971308702732,9148.988972132276
1990-02-01,9783.66454149015,9783.66454149015,9140.927084802199
1990-02-02,9838.787423611979,9838.787423611979,9200.1448798022
1990-02-05,9900.45675616917,9900.45675616917,9226.000273876789
1990-02-06,9880.342224859947,9880.342224859949,9165.114443674627
1990-02-07,9925.671404409359,9925.671404409359,9278.823368307774
1990-02-08,9887.435702983557,9887.435702983556,9256.859773557859
1990-02-09,9882.345133624623,9882.345133624625,9275.209009222726
1990-02-12,9888.549668794854,9888.549668794856,9176.79069008975
1990-02-13,9877.946372479277,9877.946372479277,9202.924372845067
1990-02-14,9859.598932697829,9859.598932697829,9230.448650562916
1990-02-15,9901.766867460956,9901.766867460956,9310.517734031024
1990-02-16,9896.049567585032,9896.049567585034,9250.187632749215
1990-02-20,9879.241519577166,9879.241519577166,9118.685201371556
1990-02-21,9860.23096116483,9860.230961164832,9109.7892964404
1990-02-22,9854.523219448347,9854.523219448347,9055.019878126526
1990-02-23,9812.888578593687,9812.888578593687,9011.926706227778
1990-02-26,9793.645466157914,9793.645466157916,9137.591014397876
1990-02-27,9780.02166499915,9780.021664999149,9181.79564413733
1990-02-28,9809.656965152688,9809.656965152688,9227.112580158591
1990-03-01,9811.96585501881,9811.96585501881,9250.743361669567
1990-03-02,9836.30700132618,9836.30700132618,9328.58868101516
1990-03-05,9817.356575508304,9817.356575508304,9278.545079627043
1990-03-06,9852.457746273509,9852.457746273507,9395.03434574416
1990-03-07,9818.387375274973,9818.387375274973,9367.789205148136
1990-03-08,9855.381615286762,9855.381615286762,9460.09026395172
1990-03-09,9848.12286602289,9848.122866022888,9395.03434574416
1990-03-12,9863.028262310789,9863.028262310789,9415.60819397264
1990-03-13,9816.197339988985,9816.197339988987,9341.377233712092
1990-03-14,9842.071243328846,9842.071243328845,9365.56459258452
1990-03-15,9864.916317249124,9864.916317249124,9398.926993509933
1990-03-16,9909.927936352005,9909.927936352005,9505.68548865371
1990-03-19,9928.897549747195,9928.897549747195,9550.724135994245
