Period,Strategy,CAGR_or_PeriodReturn
1990-2024,닻과 돛(해자기업),0.1486419266024992
1990-2024,닻과 돛(NASDAQ 40%),0.08069443268725984
1990-2024,S&P500 100%,0.08312394357571629
2005-2024,닻과 돛(해자기업),0.16572894711096176
2005-2024,닻과 돛(NASDAQ 40%),0.08703998418995473
2005-2024,S&P500 100%,0.08266072406558611
2020-2024,닻과 돛(해자기업),0.2405814573079481
2020-2024,닻과 돛(NASDAQ 40%),0.11703640687117112
2020-2024,S&P500 100%,0.12550768574675786
2023-2024,닻과 돛(해자기업),0.41171601187792484
2023-2024,닻과 돛(NASDAQ 40%),0.2196313292011851
2023-2024,S&P500 100%,0.24108916362049215
2025 only,닻과 돛(해자기업),0.41837269933757604
2025 only,닻과 돛(NASDAQ 40%),0.2917881709029193
2025 only,S&P500 100%,0.1675860318098099
2026 YTD,닻과 돛(해자기업),1.0867453904076965
2026 YTD,닻과 돛(NASDAQ 40%),0.4638558175931611
2026 YTD,S&P500 100%,0.08970061317208144
1990-full,닻과 돛(해자기업),0.15903503496731486
1990-full,닻과 돛(NASDAQ 40%),0.08740416060537615
1990-full,S&P500 100%,0.08535294316808284
