Year,Annual_Return,Annual_MDD,Year_End_NAV
1990,-0.06101895226068754,-0.12747216243107662,9389.810477393125
1991,0.22047705881560997,-0.03212109823456166,11460.04827428476
1992,0.055416329481801974,-0.07158992408792164,12095.12208532988
1993,0.12171516163590801,-0.037894420958387576,13567.281824951846
1994,-0.006485100943800282,-0.060815342690440866,13479.296632784046
1995,0.18035576395809572,-0.03681062156996029,15910.3654746076
1996,0.11941883045323931,-0.08618928003631654,17810.362711668837
1997,0.18728371500925078,-0.18657942473833333,21145.95360597241
1998,0.09630687236254643,-0.2011314837485335,23182.45426088712
1999,0.735524263042612,-0.07212526927154173,40233.71184664518
2000,-0.07790756626905093,-0.3184868750987824,37099.20127470277
2001,0.33161928582629163,-0.23472098454327994,49402.01190614555
2002,-0.1375663409283936,-0.2576766670986279,42605.95789371617
2003,0.383741515385138,-0.0806991831423951,58955.63274028619
2004,0.005987755585804555,-0.17824096953758772,59308.64465954148
2005,0.2833740033023875,-0.07398575897900606,76115.17272715451
2006,0.24031929427838228,-0.13429195279968464,94407.11732082145
2007,0.21227595733331328,-0.07516922230097478,114447.47852917724
2008,-0.17561979194660804,-0.2759465208977504,94348.23616106925
2009,0.43413186900436695,-0.06942473716054165,135307.81226293964
2010,0.092186486806904,-0.0891684417475388,147781.36411298817
2011,0.0429139610511704,-0.08182964738014031,154123.2478166218
2012,0.1037800979542376,-0.07986537583814524,170118.17357205602
2013,0.061888688903367406,-0.06641303418711275,180646.56429306607
2014,0.06821971973728447,-0.06282823926068393,192970.22228064237
2015,0.06435197338324783,-0.06429404615651602,205388.2368886057
2016,0.3144590731332033,-0.03996395917117679,269974.43149305944
2017,0.24844242143298034,-0.05220824515258338,337047.5329781874
2018,-0.03897981268986239,-0.1396808941753318,323909.4832751174
2019,0.3234850368508275,-0.07183882963323496,428689.3544087013
2020,0.3866598950861291,-0.15176984701091312,594446.3352089102
2021,0.25758344594026905,-0.09082956494847638,747565.8706585856
2022,-0.145578699360853,-0.22030702921399303,638736.203521545
2023,0.4467263158401782,-0.07257598284976208,924076.4745144672
2024,0.3818693424255519,-0.1226596155733587,1276952.950188229
2025,0.4343913609728618,-0.0929350223808123,1831650.280118805
2026,0.1326873021038364,-0.05670317564826299,2074687.0141855052
