Year,Gross,Net,SPY
2007,0.11937728394042302,0.11935095386225769,0.05146210812867724
2008,0.030857807819352212,0.03082380810691121,-0.367949771201767
2009,4.790887855743442e-05,-8.167078779430792e-05,0.26351744891942586
2010,0.12782753376590872,0.12771969459110322,0.15056142133106576
2011,0.1715557154198013,0.1715359699889174,0.018949851310712695
2012,0.06811854416332008,0.06806093706610872,0.15990346117539223
2013,0.005209347658374108,0.0051813604266959246,0.323077720148532
2014,0.13869276857586277,0.13859786394411633,0.13463792111125117
2015,-0.029415952531400835,-0.02946201118568892,0.012342923968451158
2016,0.06259786858580907,0.06257299553226581,0.11997874991133206
2017,0.11865703184344945,0.11862306289999203,0.21705404542452467
2018,-0.02834172396901502,-0.028369962342169708,-0.0456899742594723
2019,0.18460147249639758,0.18458248411253186,0.31223852302976574
2020,0.155246776351335,0.1552084351481624,0.1833162792386187
2021,0.09201578777182196,0.09199291082692662,0.28728780803321574
2022,-0.18757501502757035,-0.18764510035767534,-0.18175368123865743
2023,0.09881693664117952,0.09875606198580145,0.26175796706932997
2024,0.0630989405200677,0.06304648204522101,0.24886454815309933
2025,0.13559295550186556,0.1355179648602869,0.17719067981214565
2026,0.06136586718691661,0.0613179393121559,0.13544551198329025
