entry_year,horizon_trading_days,n,up_n,up_probability,mean_return,median_return
1998,1,71219,28898,0.4057625071961134,0.012159011035885728,0.0
1999,1,316959,128939,0.40680024861259656,0.0036965148984520672,0.0
2000,1,351055,148864,0.4240475139223199,-0.0001328602157201099,0.0
2001,1,377454,169179,0.44821090781923095,0.0029533164461057046,0.0
2002,1,409691,171409,0.41838605192694006,0.0001443966601669856,0.0
2003,1,427700,180027,0.4209188683656769,0.00149846713396476,0.0
2004,1,433349,180304,0.41607111127520774,0.0018204039366706926,0.0
2005,1,435490,199240,0.4575076350777285,0.004667812066016429,0.0
2006,1,448855,190962,0.42544251484332357,0.0009618584975653638,0.0
2007,1,464581,201420,0.4335519532654155,0.002612170476943908,0.0
2008,1,485807,200436,0.41258359801320277,-0.0007357831884401307,0.0
2009,1,495750,218891,0.4415350479072113,0.003980821575073776,0.0
2010,1,489223,207159,0.42344493206574507,0.0017946573935003216,0.0
2011,1,487308,211423,0.43385907885772446,0.0006724390315059255,0.0
2012,1,485169,209017,0.43081276833433296,0.0008010288708695417,0.0
2013,1,478104,204502,0.4277353881163931,0.1409911501215803,0.0
2014,1,484398,207838,0.429064529581047,0.000946139260791124,0.0
2015,1,510432,225651,0.4420784747037803,0.0021183349946680636,0.0
2016,1,537664,233175,0.4336816301630758,0.0005926043876360124,0.0
2017,1,551284,233534,0.42361831651199744,0.0005632443700196711,0.0
2018,1,567521,242122,0.4266309088121849,-7.365318596052356e-05,0.0
2019,1,592396,255287,0.43093977677094375,0.0007368896082198872,0.0
2020,1,616593,271821,0.44084347373388927,0.001871015825880013,0.0
2021,1,637536,270483,0.4242631004366812,0.0012259051464091801,0.0
2022,1,648947,272602,0.4200682027962222,-0.0006984527746134682,0.0
2023,1,669537,289737,0.4327423279071956,0.0008509425137704055,0.0
2024,1,687708,280811,0.4083288256062166,9.228870164218006e-05,0.0
2025,1,696524,298444,0.42847626212449247,0.0013429355593881662,0.0
2026,1,434915,185686,0.42694779439660624,0.00309776152223553,0.0
1998,5,71215,36778,0.5164361440707717,0.06807422327139996,0.007905138339920903
1999,5,316955,139068,0.43876260036913756,0.01984044985036145,0.0
2000,5,351047,148506,0.42303737106427347,0.003001652675843383,-0.011111111111111072
2001,5,377454,182450,0.4833701590127539,0.013599793086719002,0.0
2002,5,409675,174415,0.42573991578690423,0.0016268605097948998,-0.007117437722419906
2003,5,427692,189371,0.44277423940592764,0.006432639148659978,-0.002673796791443861
2004,5,433349,191962,0.4429732155837443,0.009645346513884729,-0.0011976047904191933
2005,5,435482,226246,0.5195300839070272,0.023953310047697303,0.0040000000000000036
2006,5,448855,202630,0.4514375466464671,0.004177808653670836,-0.002277904328018221
2007,5,464581,217646,0.4684780479614965,0.014001660295491002,0.0
2008,5,485807,195836,0.40311481720106956,-0.002905012808829574,-0.010000000000000009
2009,5,495750,238948,0.48199293998991427,0.019656706954522426,0.0
2010,5,489223,220113,0.44992365444797155,0.009351808912777641,-0.0010582010582010914
2011,5,487308,216775,0.4448418659246308,0.0034345604574534446,-0.002962962962962945
2012,5,485169,224610,0.4629520847374832,0.004275270251770142,0.0
2013,5,478104,217842,0.45563726720546155,0.45625534312906757,-0.0010204081632653184
2014,5,484398,223157,0.4606893504927766,0.004850360522634194,0.0
2015,5,510428,242299,0.47469770467137384,0.011218115212838253,0.0
2016,5,537660,243628,0.4531265111780679,0.002943968661806701,-0.0012484394506866447
2017,5,551280,244369,0.4432756493977652,0.002798608889921058,-0.0015576323987538387
2018,5,567521,247025,0.435270236696087,-0.0005407052386849173,-0.0032644178454842576
2019,5,592396,266682,0.4501752206294438,0.003288942810569051,0.0
2020,5,616593,295254,0.47884747313057396,0.010455811515834851,0.0
2021,5,637536,282400,0.4429553782060935,0.005899631248518727,0.0
2022,5,648947,272803,0.42037793533216117,-0.0035078085452296317,-0.00347222222222221
2023,5,669537,302005,0.45106543775773406,0.0039565457615208304,0.0
2024,5,687708,279619,0.40659553182455344,0.0009209042986920077,-0.0038610038610038533
2025,5,696524,307742,0.4418254073082909,0.006227745219388661,0.0
2026,5,423431,184372,0.43542395337138756,0.01369267715518705,-0.0016474464579900872
1998,21,71199,49366,0.6933524347252068,0.33072074214701,0.14134275618374548
1999,21,316927,141301,0.44584715092119004,0.08138479174354565,-0.01126408010012514
2000,21,351027,139554,0.39755916211573467,0.024342579777831948,-0.03977272727272729
2001,21,377449,185290,0.49090075745332484,0.0482927953385911,0.0
2002,21,409601,152128,0.3714053432486737,-0.002993462122870595,-0.03975535168195721
2003,21,427675,184856,0.4322347577015257,0.02269370235298094,-0.013725490196078383
2004,21,433349,201747,0.465553168462371,0.0459575791013661,-0.003558718861209953
2005,21,435450,248136,0.5698380985187737,0.09100659718505777,0.025289592557806606
2006,21,448855,201285,0.4484410332958305,0.016645642082776732,-0.009191176470588203
2007,21,464581,223298,0.48064384897359125,0.06065378272644894,-0.001828153564899404
2008,21,485807,174378,0.35894501314307947,-0.013646190132863242,-0.041198501872659166
2009,21,495750,256320,0.5170347957639939,0.07824979421761173,0.0060606060606061
2010,21,489223,228729,0.4675352548837647,0.03571102749104028,-0.0028248587570621764
2011,21,487308,212429,0.43592348165841727,0.013282696871695037,-0.01158301158301156
2012,21,485169,228062,0.47006713124705,0.020098889072205767,-0.0024937655860348684
2013,21,478104,220130,0.4604228368723123,0.15000690133958075,-0.0042075736325385416
2014,21,484398,232480,0.4799359204620994,0.021337820541579205,0.0
2015,21,510412,250639,0.4910523263559634,0.04455100116669243,0.0
2016,21,537644,248751,0.4626686059920691,0.012297522034287996,-0.003284072249589487
2017,21,551264,250093,0.4536719248853544,0.013930742667998448,-0.004123711340206171
2018,21,567521,238277,0.4198558291235038,-0.0016341344210527968,-0.013445378151260456
2019,21,592396,266783,0.45034571469084866,0.00937953937386505,-0.0030379754623875432
2020,21,616593,311447,0.5051095293005272,0.04321867246216263,0.0024875621890547706
2021,21,637536,276387,0.43352375395271797,0.019801828280429073,-0.005328596802841923
2022,21,648947,266376,0.41047419897156473,-0.007886243891114956,-0.013605442176870763
2023,21,669537,290592,0.43401932977565094,0.012046364072040705,-0.006587615283267456
2024,21,687708,255096,0.37093650212008583,0.0040977109873438266,-0.01713395638629278
2025,21,696524,320072,0.45952759703901086,0.027366549912861127,0.0
2026,21,377476,149522,0.39610995136114613,0.04051273421611373,-0.019841269841269882
1998,63,71164,52158,0.7329267607217133,0.6263587549889098,0.2878256799625566
1999,63,316844,148564,0.4688868970218783,0.2695800263677636,-0.018181818181818188
2000,63,350985,128910,0.3672806530193598,0.03609064455581124,-0.08999999999999997
2001,63,377407,194447,0.515218318685133,0.12142897332789442,0.01109570041608876
2002,63,409433,98873,0.24148761824278941,-0.07110578384380802,-0.14089347079037806
2003,63,427633,191092,0.44685980735817865,0.06989923863933392,-0.01988071570576544
2004,63,433349,227658,0.5253456221198156,0.17059141157488253,0.015197568389057725
2005,63,435366,269138,0.6181879154550424,0.22623148185930367,0.07786885245901631
2006,63,448855,204100,0.45471254636798075,0.060641219895613836,-0.013698630136986356
2007,63,464581,218454,0.4702172495216119,0.16359221415681807,-0.010810810810810811
2008,63,485807,151612,0.3120827818454654,-0.031103551127944183,-0.11808118081180807
2009,63,495750,280438,0.565684316691881,0.19523150520850774,0.03389830508474567
2010,63,489223,231158,0.47250027083763435,0.07893841169904088,-0.00652741514360311
2011,63,487308,221720,0.454989452256068,0.054733258474738096,-0.014598540145985384
2012,63,485169,227579,0.46907160185419927,0.04378360559976461,-0.007736943907156624
2013,63,478104,223224,0.4668942322172582,0.17830667847268777,-0.007602498524087287
2014,63,484384,255299,0.5270591101275022,0.0753860818274205,0.011904761904761862
2015,63,510384,243807,0.4776932662465908,0.11664794822976426,-0.005988023952095856
2016,63,537573,245643,0.4569481726202767,0.027392029933751318,-0.010075566750629705
2017,63,551251,261422,0.4742340603463758,0.04483498025805531,-0.0039215686274509665
2018,63,567521,219661,0.38705351872441723,-0.006370581250204467,-0.0423728813559322
2019,63,592396,220200,0.3717108150628971,-0.0074225174563610306,-0.039783001808318286
2020,63,616593,356814,0.5786864268650471,0.1465281913823985,0.039451114922812947
2021,63,637536,268631,0.42135816644079704,0.049443455389510844,-0.019867549668874163
2022,63,648947,225261,0.3471177153141936,-0.019283715988170396,-0.050880626223091974
2023,63,669537,274263,0.40963083444230863,0.027263216494635614,-0.023230088495575174
2024,63,687708,230597,0.335312370948135,0.008736088770404772,-0.04767580452920139
2025,63,696524,348409,0.5002110480040889,0.09757673882355153,0.0006968644499092402
2026,63,256703,83571,0.32555521361261847,0.11008723987393944,-0.0909893992932862
1998,126,71174,58517,0.8221682074914997,1.3942502907591445,0.7609379272627838
1999,126,316704,129255,0.4081255683540467,0.36236771792835926,-0.1496598639455783
2000,126,350945,129578,0.3692259470857257,0.07215268030249941,-0.11224489795918369
2001,126,377248,179426,0.47561816099754006,0.19555412645557968,-0.008814457419450084
2002,126,409230,74639,0.18238887667082082,-0.1630297776078503,-0.22702702702702704
2003,126,427617,176813,0.4134844966406855,0.09606685830579838,-0.051724137931034475
2004,126,433314,255498,0.5896370761157036,0.3340544160420599,0.07821229050279332
2005,126,435275,284009,0.6524817644018149,0.44012494170293226,0.16513761467889898
2006,126,448855,230169,0.5127914359871228,0.16361906041095434,0.008474576271186418
2007,126,464581,193010,0.4154496201954019,0.21439555613540073,-0.06075949367088607
2008,126,485807,147062,0.3027169225638988,-0.005752088422708009,-0.21830985915492962
2009,126,495750,276733,0.5582107917297024,0.2537684694086067,0.0408868553869669
2010,126,489223,231482,0.4731625455058327,0.12577006091304618,-0.010869565217391353
