,최신 K-올웨더 성장형,한국주식만 계절형,강환국 원본 계절형,강환국 정적,한국주식만 계절형(최소매매),5~10월 미국30년채100%
1990-01-31,9918912.674154151,9956579.146390958,9910037.95423492,9963697.357428022,9956579.146390958,9918912.674154151
1990-02-28,9976863.73299345,10019279.818931935,9978087.723337527,10063688.440243423,10019279.818931935,9976863.73299345
1990-03-31,10204770.857168974,10146948.954593053,10117567.919141479,10223958.619472843,10146948.954593053,10204770.857168974
1990-04-30,10112910.568373425,9901506.542961406,9860327.855891218,10027777.776349453,9901506.542961406,10112910.568373425
1990-05-31,10288755.577393595,10014046.982097728,9894126.814609008,10124039.745435055,10010105.987785388,10295112.5758083
1990-06-30,10316111.487338565,10078897.874964051,9975622.616587749,10169678.311802614,10070128.59512938,10729418.978592895
1990-07-31,10476428.214434795,10091453.6040276,10002789.485727409,10131769.081619423,10084612.090291027,10742265.984589234
1990-08-31,10392169.897508632,9879160.741126273,9867397.310890188,9882602.132629957,9875975.697224384,10398312.23396475
1990-09-30,10358562.597784285,9656680.838500416,9667756.42771378,9645689.356883224,9657879.489775095,10278802.399764286
1990-10-31,10443741.22031714,9736909.980243042,9749078.606977135,9776756.45213992,9736104.068681743,10550515.245661147
1990-11-30,10638995.054663017,9997453.29614515,10035381.534089323,10041800.07296587,9990468.452475302,10793595.723494766
1990-12-31,10671097.145659622,10201826.267202519,10247718.004363254,10243808.676730944,10191451.844686791,10900969.466509007
1991-01-31,10590319.084936468,10091352.450863656,10166013.278277304,10205814.831132108,10076295.062267985,10850419.830427691
1991-02-28,10953118.035507657,10363088.514764827,10486613.171782892,10480534.734831065,10340040.688019825,11228262.927254248
1991-03-31,10998486.941081787,10453036.012294818,10597582.44462098,10551774.70649997,10426034.591601118,11274260.778943699
1991-04-30,10958441.525600286,10367722.69094641,10509826.832030734,10504489.650415685,10340329.400815489,11231606.524297673
1991-05-31,11012630.895320378,10469535.417698111,10589169.8453863,10604546.436887158,10451818.728003632,11200179.399446398
1991-06-30,10924965.501478298,10329596.080375437,10481244.970077138,10431340.936936378,10301978.373653628,11059182.4078861
1991-07-31,11158339.919471484,10547598.228749383,10673505.860969145,10692405.631662946,10528921.422798881,11185782.139491593
1991-08-31,11763414.927486567,10874960.413363582,10997590.929097738,11070351.161969237,10857823.155817542,11774719.498417959
1991-09-30,12030926.05196593,10933179.2800736,11073774.027724758,11092811.069992928,10912689.259475037,12260077.203014348
1991-10-31,12334142.822022147,11168322.438030878,11306773.839462098,11339632.13408048,11148759.305608474,12516809.905795285
1991-11-30,12584727.341400303,11061694.136994544,11153823.652027886,11291701.375528507,11029645.18558922,12715987.997470113
1991-12-31,13327617.551672015,11293920.443572193,11464115.434573932,11655949.341307312,11298331.402826976,13366648.949763484
1992-01-31,13570595.935275096,11374573.265027903,11516356.607913597,11740817.840507217,11372155.638714394,13635226.328960687
1992-02-29,14048984.479509177,11529374.85327636,11678152.940082759,11899873.648262803,11532246.198786194,14148928.187749065
1992-03-31,14548406.185585547,11400138.67975447,11531321.459084954,11802893.331806164,11402238.154163418,14707245.526119914
1992-04-30,15134178.539919654,11431587.342196442,11581198.197069993,11863101.92006824,11446917.910964921,15333190.534334082
1992-05-31,16335649.123599507,11567064.390008196,11724538.44919572,11992930.197954435,11583849.525372881,15646953.730945265
1992-06-30,17758559.713120144,11639901.262773676,11821077.429664224,12022808.041312002,11649734.126991121,15980413.180909226
1992-07-31,17725434.546921294,11851729.07031218,12033716.495281138,12168718.848574009,11875152.340187214,16458650.38517465
1992-08-31,17069243.151475463,12117035.812614322,12368489.125448061,12378665.568075545,12115516.317628857,16966833.972283542
1992-09-30,16709823.630577533,12355133.02857605,12617827.002855457,12663214.230505403,12350142.94352998,17151884.769808635
1992-10-31,16253651.309687074,12557073.674607592,12852244.801503727,12869869.483408934,12544696.317196775,16783542.808876973
1992-11-30,15924461.896698134,13348482.807432989,13673131.62684278,13484537.769214036,13350509.160934836,16829205.03840852
1992-12-31,16893144.401142642,13380338.850798711,13737379.018934928,13469969.631323077,13393791.314644547,17418484.174956974
1993-01-31,17694600.67175678,13807082.932132374,14154238.64854471,13833887.664464647,13822872.152559357,18329595.120596465
1993-02-28,18702246.625858538,13877646.458852617,14207843.277660357,14010292.569627436,13902213.210738117,19447477.679674555
1993-03-31,18279298.22083684,14023374.745789276,14331836.93864724,14262392.603792168,14059877.69204412,18981860.60652057
1993-04-30,18654040.406534262,14533875.081365213,14808872.33623698,14660405.411711892,14547768.091610251,19429185.110911783
1993-05-31,18765440.764225133,14729011.87666581,14973635.184139231,14853263.22819413,14731268.262138225,19502417.29779749
1993-06-30,18744698.712038517,14851988.507005988,15087559.274712447,15034347.428880503,14838282.500321653,19946976.01445979
1993-07-31,18495062.37360244,14909080.340798343,15151685.919919407,15068339.02571009,14884566.243733924,20598959.268956333
1993-08-31,19066233.4741641,15074970.227525461,15289607.390845843,15146212.416171176,15052678.33752619,21614852.468857057
1993-09-30,19113487.434164535,15031279.24074161,15251387.474427655,15069174.205082161,14995482.686988328,22696996.63939859
1993-10-31,19423416.167438764,15397080.893351577,15628473.252654873,15481497.312153175,15378509.123228047,23002977.178308886
1993-11-30,19615802.433275335,15676605.908852994,15904836.29843683,15644737.93368727,15659839.30827257,23258706.210358247
1993-12-31,20166909.712323114,16084661.888637442,16315617.38852593,15989233.021768779,16079147.279132206,23952476.66871589
1994-01-31,20286826.061894596,16575718.426706616,16841492.84507866,16419452.599344214,16558234.4769832,24126350.806028485
1994-02-28,20220964.90580696,16705208.752567045,16940432.582555797,16457948.057127627,16686032.499308508,24093807.246299252
1994-03-31,19540236.876627743,16199990.02541586,16393978.437773261,16004926.511886843,16165207.866103988,23272043.500238433
1994-04-30,19452172.773782875,16177019.178245494,16395298.256450407,15978290.000427458,16140644.679556407,23168658.567915022
1994-05-31,19526127.47373727,16316222.743552566,16522149.753354277,16201853.840781875,16298919.822281089,22886695.430266593
1994-06-30,19580669.97311658,16351594.465246087,16603339.761045624,16201562.166092068,16324115.361235831,23038359.41764918
1994-07-31,19622958.96990045,16465687.923647152,16681172.291964766,16346721.257683659,16437188.072258106,22602264.13941659
1994-08-31,20272048.781373136,16587254.071450956,16756131.575767482,16445555.00981623,16576020.872383911,23026661.94168339
1994-09-30,20518006.64520745,16542714.673078515,16741261.595087098,16511693.894970939,16527181.20865964,22444121.229000803
1994-10-31,20382566.6217933,16677245.688074175,16838994.89462379,16783677.108222283,16660043.261526274,21946196.784582328
1994-11-30,20058294.533911914,16597953.300000032,16715148.249745961,16693536.34139587,16581446.079077564,21603944.854508925
1994-12-31,19722305.37163633,16269519.504913745,16400531.368460191,16388816.745708168,16255788.520970628,21266871.734732278
1995-01-31,19375207.17390192,16001118.96926403,16159379.393070087,16199638.848676285,15986539.406633899,20909665.38660465
1995-02-28,19391284.177193508,16042644.06663511,16235972.527093109,16292077.013302878,16034806.861097652,20941724.743003227
1995-03-31,19547247.29135152,16183466.50802502,16373062.08763909,16437353.202384349,16198696.141961986,21111896.42189645
