,최신 K-올웨더 성장형,한국주식만 계절형,강환국 원본 계절형,강환국 정적,한국주식만 계절형(최소매매),5~10월 미국30년채100%
1999-12-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2000-01-31,-0.14456913685844774,-0.1380635898162026,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327254
2000-02-29,-0.14456913685844752,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2000-03-31,-0.14456913685844774,-0.1380635898162027,-0.13327029944345326,-0.13957046160835374,-0.1502970206063563,-0.14896635022327254
2000-04-30,-0.1445691368584474,-0.13806358981620281,-0.13327029944345314,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2000-05-31,-0.14456913685844752,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327243
2000-06-30,-0.14456913685844786,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063562,-0.14896635022327243
2000-07-31,-0.14456913685844763,-0.1380635898162026,-0.13327029944345314,-0.13957046160835374,-0.1502970206063562,-0.14896635022327265
2000-08-31,-0.14456913685844774,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2000-09-30,-0.1445691368584474,-0.1380635898162026,-0.13327029944345314,-0.13957046160835374,-0.1502970206063562,-0.14896635022327254
2000-10-31,-0.14456913685844752,-0.1380635898162026,-0.13327029944345303,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2000-11-30,-0.14456913685844774,-0.1380635898162027,-0.13327029944345314,-0.13957046160835362,-0.1502970206063563,-0.14896635022327243
2000-12-31,-0.14456913685844774,-0.1380635898162026,-0.13327029944345292,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2001-01-31,-0.1445691368584474,-0.13806358981620281,-0.13327029944345314,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2001-02-28,-0.14456913685844763,-0.1380635898162027,-0.13327029944345303,-0.13957046160835374,-0.1502970206063563,-0.14896635022327243
2001-03-31,-0.1445691368584474,-0.13806358981620281,-0.13327029944345303,-0.13957046160835362,-0.1502970206063562,-0.14896635022327265
2001-04-30,-0.14456913685844786,-0.1380635898162027,-0.13327029944345303,-0.1395704616083535,-0.1502970206063563,-0.14896635022327254
2001-05-31,-0.1445691368584474,-0.1380635898162026,-0.13327029944345303,-0.13957046160835374,-0.1502970206063562,-0.14896635022327243
2001-06-30,-0.14456913685844774,-0.1380635898162027,-0.13327029944345326,-0.13957046160835362,-0.1502970206063564,-0.14896635022327254
2001-07-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2001-08-31,-0.14456913685844763,-0.1380635898162026,-0.13327029944345303,-0.13957046160835362,-0.1502970206063564,-0.14896635022327254
2001-09-30,-0.14456913685844763,-0.13806358981620281,-0.13327029944345314,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2001-10-31,-0.14456913685844763,-0.13806358981620281,-0.13327029944345314,-0.13957046160835385,-0.1502970206063563,-0.14896635022327254
2001-11-30,-0.14456913685844752,-0.1380635898162026,-0.13327029944345303,-0.1395704616083535,-0.1502970206063564,-0.14896635022327265
2001-12-31,-0.14456913685844763,-0.13806358981620281,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2002-01-31,-0.14456913685844774,-0.1380635898162027,-0.13327029944345292,-0.13957046160835362,-0.1502970206063562,-0.14896635022327243
2002-02-28,-0.14456913685844763,-0.13806358981620281,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2002-03-31,-0.14456913685844763,-0.13806358981620248,-0.13327029944345314,-0.13957046160835374,-0.1502970206063564,-0.14896635022327243
2002-04-30,-0.14456913685844752,-0.1380635898162026,-0.13327029944345303,-0.1395704616083535,-0.1502970206063563,-0.14896635022327254
2002-05-31,-0.14456913685844786,-0.13806358981620248,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327265
2002-06-30,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327254
2002-07-31,-0.14456913685844774,-0.1380635898162027,-0.13327029944345303,-0.13957046160835385,-0.1502970206063562,-0.14896635022327243
2002-08-31,-0.14456913685844786,-0.13806358981620281,-0.13327029944345314,-0.1395704616083535,-0.1502970206063563,-0.14896635022327254
2002-09-30,-0.14456913685844763,-0.1380635898162026,-0.13327029944345303,-0.1395704616083535,-0.1502970206063562,-0.14896635022327254
2002-10-31,-0.14456913685844763,-0.1380635898162026,-0.13327029944345303,-0.13957046160835385,-0.1502970206063563,-0.14896635022327265
2002-11-30,-0.14456913685844786,-0.1380635898162026,-0.13327029944345314,-0.13957046160835374,-0.1502970206063562,-0.14896635022327243
2002-12-31,-0.14456913685844763,-0.13806358981620281,-0.13327029944345303,-0.13957046160835374,-0.1502970206063562,-0.14896635022327243
2003-01-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063562,-0.14896635022327254
