기간,전략,CAGR,MDD,누적수익률
1990~1999,최신 K-올웨더 성장형,0.1897317566000405,-0.14456913685844763,4.681860153423787
1990~1999,한국주식만 계절형,0.14576420797310052,-0.13806358981620281,2.898993524454143
1990~1999,강환국 원본 계절형,0.1538320023455293,-0.13327029944345314,3.182402278856996
1990~1999,강환국 정적,0.15495929282495569,-0.13957046160835362,3.2234443442123384
1990~1999,한국주식만 계절형(최소매매),0.15519691097868682,-0.1502970206063564,3.2321415916712493
1990~1999,5~10월 미국30년채100%,0.20352016710495247,-0.14896635022327231,5.375785833621553
2000~2026.08,최신 K-올웨더 성장형,0.09566733464412858,-0.13932487515328296,10.431390048699528
2000~2026.08,한국주식만 계절형,0.08666691745838984,-0.10267793206708742,8.174277705793981
2000~2026.08,강환국 원본 계절형,0.0886658938590521,-0.11262112033856231,8.635105264562286
2000~2026.08,강환국 정적,0.08146978846223818,-0.11616834333782255,7.073287976071185
2000~2026.08,한국주식만 계절형(최소매매),0.08411611526159657,-0.12292401158177979,7.616971810077757
2000~2026.08,5~10월 미국30년채100%,0.08911760490852028,-0.24273873374903965,8.742283244613976
2021~2026.08,최신 K-올웨더 성장형,0.10667016720461775,-0.13932487515328296,0.7759735034343369
2021~2026.08,한국주식만 계절형,0.10759430404020365,-0.10267793206708742,0.7843938211465344
2021~2026.08,강환국 원본 계절형,0.10384280323412742,-0.11262112033856209,0.7504147845678131
2021~2026.08,강환국 정적,0.10522935670460698,-0.11616834333782222,0.7629107843353553
2021~2026.08,한국주식만 계절형(최소매매),0.11904171728655744,-0.12292401158178023,0.8914530700738763
2021~2026.08,5~10월 미국30년채100%,0.0326641208665841,-0.24273873374903954,0.19977967085441528
