전략,비용,최종자산_원,누적수익률,CAGR,연환산변동성,MDD,최대손실회복기간_개월,Sharpe_rf0,Sortino_rf0,Calmar,월간승률,최악연도,최악연도수익률,최고연도,최고연도수익률,평균리밸런싱회전율,누적거래비용_원
최신 K-올웨더 성장형,0bp,649515596.1595094,63.95155961595094,0.12055779583845294,0.10547185087441859,-0.14456913685844763,23,1.1340160910740595,2.146682495182384,0.8339110162668746,0.6636363636363637,2022,-0.13932487515328296,1997,0.8432860715070789,0.14675549577403824,0.0
한국주식만 계절형,0bp,357704493.66434646,34.77044936643465,0.10247524644964279,0.08464490610170519,-0.1380635898162027,23,1.1984532774366916,1.9204557105064253,0.7422322321624627,0.6772727272727272,2022,-0.10267793206708731,1997,0.48760760230637845,0.33643018621776766,0.0
강환국 원본 계절형,0bp,402978862.1553243,39.29788621553243,0.10606442846819797,0.08830422812250281,-0.13327029944345303,23,1.1891572398110477,1.921375255882185,0.7958594593929115,0.6863636363636364,2022,-0.1126211203385622,1997,0.5364152467674037,0.6244402495042943,0.0
강환국 정적,0bp,340970824.4173535,33.09708244173535,0.10103564408819898,0.08617168856591745,-0.13957046160835362,23,1.1626722852256044,2.0623564989191303,0.7239042052587993,0.6681818181818182,2022,-0.11616834333782233,1997,0.5859306827678756,0.12487033590131352,0.0
한국주식만 계절형(최소매매),0bp,364682447.9168867,35.46824479168867,0.10305629653883397,0.09039022400475334,-0.1502970206063562,23,1.133229857955815,1.8812822906526614,0.685684227957847,0.6659090909090909,2022,-0.12292401158177979,1997,0.6305515455780448,0.30916623432353335,0.0
5~10월 미국30년채100%,0bp,621147114.9813856,61.11471149813856,0.11919382104040221,0.13926148350436304,-0.24273873374903943,45,0.8789527551933113,1.571168613337475,0.491037500276463,0.6409090909090909,2022,-0.1649996212861935,1997,1.0125157705573842,1.7248921195726246,0.0
최신 K-올웨더 성장형,10bp,646092803.2584167,63.60928032584167,0.12039633417816531,0.10547185087441856,-0.14456913685844752,23,1.1340160910740595,2.1466824951823815,0.8327941688968469,0.6636363636363637,2022,-0.13932487515328285,1997,0.8432860715070791,0.14675549577403824,802836.6886300364
한국주식만 계절형,10bp,349024985.12251574,33.902498512251576,0.10173692461244332,0.08464490610170519,-0.1383270831663247,23,1.1984532774366912,1.9204557105064242,0.7354808782464869,0.6772727272727272,2022,-0.10267793206708742,1997,0.4876076023063778,0.33643018621776766,2420739.6583239613
강환국 원본 계절형,10bp,385016275.1786654,37.50162751786654,0.1046897866157177,0.08830422812250277,-0.13327029944345303,23,1.1891572398110493,1.9213752558821884,0.7855447691864599,0.6863636363636364,2022,-0.1126211203385622,1997,0.5364152467674033,0.6244402495042943,4971274.295724632
강환국 정적,10bp,339441348.1438418,32.94413481438418,0.10090065311736285,0.08617168856591742,-0.13957046160835362,23,1.1626722852256048,2.062356498919129,0.7229370165766057,0.6681818181818182,2022,-0.11616834333782267,1997,0.5859306827678754,0.12487033590131352,404272.3052382326
한국주식만 계절형(최소매매),10bp,358224471.7563702,34.822447175637016,0.10251892328903489,0.09048234114471868,-0.15060308901545005,23,1.1335540636008878,1.8821074351340943,0.6807225798570287,0.6659090909090909,2022,-0.12311100126215102,1997,0.6324415478126617,0.30749909871475695,2123042.2899769414
5~10월 미국30년채100%,10bp,547598357.7629594,53.75983577629594,0.11535367796657603,0.13926148350436307,-0.24666579534939592,45,0.8789527551933113,1.5711686133374756,0.4676516977280147,0.6409090909090909,2022,-0.16499962128619305,1997,1.012515770557385,1.7248921195726241,26734004.30965858
