,성장형,중립형,안정형
2000-01-31,9804224.567455953,9844751.053839497,9898338.957886636
2000-02-29,9988309.677684436,10009010.336741606,10035838.047372065
2000-03-31,9967774.924937304,10000934.967229994,10043876.897664115
2000-04-30,9808401.019759584,9878268.029904708,9965978.0994764
2000-05-31,9627926.587939344,9696508.046144502,9782604.251750093
2000-06-30,9843155.802044392,9913270.376774363,10001291.235471217
2000-07-31,9999892.02672749,10071123.061865022,10160545.509377798
2000-08-31,10184850.642885415,10257399.17161701,10348475.582202708
2000-09-30,10213669.13191428,10286422.939942807,10377757.055293284
2000-10-31,10543725.763576845,10618830.624543192,10713116.218943864
2000-11-30,11117865.720638406,11115703.247649599,11104579.876794646
2000-12-31,11699932.625310056,11621714.92700705,11503052.792389393
2001-01-31,12090367.40640003,11961042.079907943,11775160.15284173
2001-02-28,11764640.723930515,11697512.898051739,11589048.437167391
2001-03-31,11776328.935345367,11717470.462874223,11616282.145203615
2001-04-30,11828606.89854423,11764934.861548267,11664216.091500543
2001-05-31,11364941.526540264,11303765.34716923,11206994.616512999
2001-06-30,11743556.539575279,11680342.318926523,11580347.73961579
2001-07-31,11897469.554259058,11833426.837469617,11732121.712490553
2001-08-31,12018532.909794323,11953838.522819322,11851502.561971592
2001-09-30,12316865.467180269,12250565.190196924,12145688.9734676
2001-10-31,12600783.185750017,12532954.612185711,12425660.879712192
2001-11-30,12928450.86285014,12809066.490213417,12641700.546528207
2001-12-31,13184140.72814066,13028296.87197854,12816344.09092857
2002-01-31,13232595.488939887,13077205.224202711,12865358.802638672
2002-02-28,13673742.402115831,13452922.818700165,13156037.671884136
2002-03-31,13911618.247538544,13657212.389098035,13319069.504312206
2002-04-30,13459128.10502416,13289206.73938988,13056987.214209162
2002-05-31,12803525.359083312,12641880.971945303,12420973.00849292
2002-06-30,12955375.09985656,12791813.611170659,12568285.680479238
2002-07-31,12992925.193801245,12828889.635532754,12604713.827436624
2002-08-31,13928272.465870673,13752428.15709679,13512114.163993122
2002-09-30,14833196.151148845,14645927.18936643,14389999.930167045
2002-10-31,14242171.549410427,14062364.267661607,13816634.35938383
2002-11-30,14509119.181845868,14290872.586925099,13999013.771253973
2002-12-31,14385422.301904736,14200602.017863221,13947659.205306822
2003-01-31,14385962.802496538,14213398.584618893,13970793.132306986
2003-02-28,14594328.862809032,14396663.70793443,14118447.21900421
2003-03-31,14814129.542431641,14588016.586409094,14272558.572269224
2003-04-30,14979826.014013369,14734071.408253923,14392987.83896468
2003-05-31,15854417.75868823,15594314.858815623,15233317.248224063
2003-06-30,15387861.796754526,15135413.076335171,14785038.724826904
2003-07-31,13678292.260354793,13453890.233337833,13142441.973419541
2003-08-31,13786480.960365621,13560304.021457568,13246392.355894782
2003-09-30,14296347.13135699,14061805.478484645,13736284.400816614
2003-10-31,14270383.839888731,14036268.133115696,13711338.2273422
2003-11-30,14514895.860379357,14242602.623099808,13873349.175224513
