,최신 K-올웨더 성장형,강환국 정적 원본,강환국 계절형 원본
2000-01-31,9804224.567455951,9630844.804313682,9547260.235900758
2000-02-29,9988309.677684436,9509673.699540015,9311895.745595004
2000-03-31,9967774.924937304,9607876.17680376,9487509.03213219
2000-04-30,9808401.019759584,9391167.33751014,9128511.359275252
2000-05-31,9827557.375047792,9374459.332836244,9101178.49311554
2000-06-30,10071369.97849122,9667507.962052803,9352988.033129793
2000-07-31,9881085.807572426,9408069.265865576,9163268.100047
2000-08-31,10020729.460502092,9505146.180058064,9231295.05095824
2000-09-30,9720859.367885474,9290483.532231946,9098710.607417077
2000-10-31,9712191.39051512,9189127.43857121,9042293.029674193
2000-11-30,10269115.50742821,9479721.741875384,9197118.698134124
2000-12-31,10834194.69136214,9938692.04992389,9514895.316292424
2001-01-31,11219939.889422083,10488038.821870027,10167159.033974543
2001-02-28,10891101.536939602,10233839.77485327,9785886.326465318
2001-03-31,10886617.544281736,10109133.617760483,9586374.484282674
2001-04-30,10969726.157511065,10281931.573416844,9907351.158840911
2001-05-31,10899231.599397805,10260457.80818804,9850897.179247392
2001-06-30,11029533.727734756,10364781.893467646,10047291.425320763
2001-07-31,10819267.803453503,10244879.281911612,10047207.221333718
2001-08-31,10737374.81374115,10328121.658040654,10222631.57373406
2001-09-30,10607235.002557227,10221635.002862277,10314695.832426973
2001-10-31,10572529.718691634,10345961.662361383,10317146.866900112
2001-11-30,10804678.92969631,10665292.200409332,10894949.176777989
2001-12-31,11009593.803063337,10931979.102826752,11288543.8814203
2002-01-31,11033553.590973584,11089634.296193328,11529915.050887464
2002-02-28,11386469.879796952,11461894.917641576,12015562.801857468
2002-03-31,11556875.02421124,11683560.290210571,12450485.239992289
2002-04-30,11204988.10297972,11395404.748074822,12010092.207054824
2002-05-31,10735027.028411929,11184872.687366176,11860208.34518302
2002-06-30,10599573.67852896,10919956.705516968,11765082.641238416
2002-07-31,10162765.572757136,10717376.134115577,11683624.09676658
2002-08-31,10588933.924538951,11072908.81478231,12096853.094562195
2002-09-30,10511680.059758129,10966774.656270156,12233745.37405628
2002-10-31,10520276.129076054,11083233.139535138,12302973.381563138
2002-11-30,10702599.101279594,11339861.309043445,12754066.061588593
2002-12-31,10679467.610617056,11164164.052884469,12274274.383816704
2003-01-31,10679667.006067988,11108404.04270544,12131293.523532065
2003-02-28,10835255.938139008,11170655.925207123,12113232.705669597
2003-03-31,11008717.351586862,11253811.607031273,12129459.97382548
2003-04-30,11143152.97685451,11516848.397366732,12575418.859459616
2003-05-31,11748226.866022889,12030507.439807964,13104505.169034831
2003-06-30,11753373.18811949,12160862.293708542,13220197.976577813
2003-07-31,11570514.783641905,12060020.723463465,12956567.735813905
2003-08-31,11810472.230766658,12175062.512468746,12958833.416859616
2003-09-30,11827195.14822922,12073857.604772378,13000526.68002847
2003-10-31,12406718.458067369,12617322.371256866,13404949.491142027
2003-11-30,12614629.907584015,12740694.793643983,13594993.832417471
2003-12-31,13110817.741163194,12959134.632204223,13879799.445952654
2004-01-31,13078346.171995088,13039000.28991058,14019715.81098998
2004-02-29,13292208.668742776,13216779.069759613,14260460.390521452
2004-03-31,13306305.486790942,13313505.810091104,14307034.403031483
2004-04-30,13007247.832714282,13021730.368708124,13965847.783190051
2004-05-31,12764458.897606935,12830796.435117118,13817466.610509291
2004-06-30,12707217.674674757,12838632.530395862,13849591.608519096
2004-07-31,12749346.51895854,12799163.73802235,13948516.34840048
2004-08-31,13034085.003079137,13212048.690280726,14384835.078104816
2004-09-30,13375254.20701981,13496692.61161058,14669292.48874825
2004-10-31,13270802.250033928,13483118.153676096,14657479.959340995
2004-11-30,13136173.654041937,13480140.260006342,14728488.193798054
2004-12-31,13185945.413744844,13503955.48658499,14786138.904302876
2005-01-31,12837518.380612,13323255.810007649,14672518.400738616
2005-02-28,12802488.43881098,13415721.294784123,14939079.014922848
2005-03-31,12671470.213402774,13257200.470242267,14689901.493742231
2005-04-30,12459282.463519068,13082526.65490596,14371266.578882355
2005-05-31,12718966.686253814,13406863.506759783,14675817.015385067
2005-06-30,13302075.681516403,13813871.038443737,15092162.684610344
2005-07-31,13345408.33528196,13977083.672759188,15040340.701248655
2005-08-31,13538997.567419562,13932962.554285651,15019921.957513288
2005-09-30,14034630.15010486,14518372.53275589,15478499.012050606
2005-10-31,13586944.037323233,14171936.11941545,15180393.393679768
2005-11-30,14042892.750951398,14659464.283138243,15829870.014283512
2005-12-31,14217082.75720772,14902342.638041103,16103968.769071966
2006-01-31,14238496.333175572,14971214.02288201,16246912.80112086
2006-02-28,14513075.063097212,15049610.037551928,16272161.19975353
2006-03-31,14681761.505107677,15111452.843445124,16368089.11992087
2006-04-30,14900832.659848206,15329812.167806651,16738105.840274666
2006-05-31,14860185.315764291,15109102.391323049,16653226.60070664
2006-06-30,14769607.180654593,14974253.951719206,16563158.340239037
2006-07-31,14986648.294130836,15195202.464497017,16803018.76094821
2006-08-31,15427545.49750093,15513540.230008796,17153639.523739897
2006-09-30,15498312.084649151,15497632.08245762,17141124.036416113
2006-10-31,15815533.32729308,15622035.864760488,17262719.480027832
2006-11-30,16338546.078824472,15919504.82024681,17652357.83809164
2006-12-31,16849803.62971495,15947586.916902624,17702841.344462395
2007-01-31,17133789.096040886,15932241.481514487,17655018.085475147
2007-02-28,17241269.03374542,16124478.518753126,17885670.505251706
2007-03-31,17491461.647749547,16296249.48783167,18088080.39564956
2007-04-30,18166601.322843283,16527542.747245995,18508048.364657737
2007-05-31,18451660.17964959,16764180.23569642,18578346.456797257
2007-06-30,18076918.16126993,16554948.38756018,18271965.49983188
2007-07-31,18665363.73173737,16906807.60478035,18553642.04803972
2007-08-31,19442731.189503923,17185816.24526391,18958650.67454151
2007-09-30,20065273.606458142,17561533.608374946,19263883.163962983
2007-10-31,20881462.646242715,17924485.465269364,19549395.853421822
2007-11-30,20383200.21612349,17773084.185941212,19259191.59457301
2007-12-31,21160462.988973025,18033190.189239748,19513063.651786253
2008-01-31,20832993.892414343,18011212.47982641,19192204.888487265
2008-02-29,21134886.20289547,18343464.416387327,19525227.772171047
2008-03-31,21264739.775145408,18617816.32824155,19779024.453617223
2008-04-30,21777927.99502024,18985396.99053305,20296536.897913463
2008-05-31,21859506.68594541,19170858.059781097,20409699.69708729
2008-06-30,21177940.853417493,18657300.435077596,20058702.262337264
2008-07-31,20539182.093322758,18217109.944269016,19660399.52945106
2008-08-31,21189055.24729045,18543223.3411976,20086801.821484543
2008-09-30,22413604.287538573,19374174.07473856,21148393.91291232
2008-10-31,20691778.07360666,18478194.7025183,20685688.627563898
2008-11-30,23834608.950688824,20029096.422873355,21846257.21662781
2008-12-31,22811498.102466583,19847672.721592117,21638486.273037437
2009-01-31,24122643.53910221,20752227.119390786,22522126.328723826
2009-02-28,24937173.96886285,20576442.007851616,22188281.52349168
2009-03-31,24140461.01435804,20407515.68945565,22254548.37677731
2009-04-30,23737661.578475717,20476842.72924284,22600948.39301062
2009-05-31,24883675.717821226,20685879.229499407,22634880.683070883
2009-06-30,25164981.267543502,20464618.05666676,22303128.611997705
2009-07-31,25849719.46569754,21184520.288780488,22698278.90574348
2009-08-31,25785681.92969927,21514879.460179497,22920992.330097176
2009-09-30,25726488.727954164,21778586.4410995,23025545.12612966
2009-10-31,25742297.182431698,21568707.445977684,23005735.78799081
2009-11-30,26897568.47606634,22157891.504856925,23665313.68887567
2009-12-31,26911479.74015359,22386438.43776024,24004857.576045778
2010-01-31,26230956.271057725,21919930.00849218,23344162.704950597
2010-02-28,26642985.87819745,22194329.902052715,23649800.656602863
2010-03-31,27112254.023951147,22617607.27911856,24280898.2645811
2010-04-30,27205817.22575568,22798839.02298004,24571987.1254389
2010-05-31,27990453.102789097,23262743.12998307,25473801.932137087
2010-06-30,28593653.28734957,23652105.57878332,26012736.93786465
2010-07-31,28249705.68084403,23691564.040871307,25907538.35170872
2010-08-31,29098623.911758527,24128751.6002666,26595410.475943934
2010-09-30,29661733.946543105,24677815.479463797,26928968.16742985
2010-10-31,29981016.16726318,25051090.206086986,27287729.277165912
2010-11-30,30272897.359974395,25279812.321492106,27702627.43127138
2010-12-31,30595985.906619865,25639484.376017727,28481491.671038236
2011-01-31,29650939.66700238,25318748.783193536,28251474.872243118
2011-02-28,30315462.25527013,25373858.782381635,28272425.516573384
2011-03-31,30546778.34655566,25784957.37557248,28851377.016419742
2011-04-30,30786652.99337673,26148485.63582061,29434503.451752286
2011-05-31,30828494.493378617,26358879.45414401,29866175.99525281
2011-06-30,30372451.030027237,26148153.743965484,29808822.50237899
2011-07-31,30589340.60624444,26289410.755431075,29986885.60855768
2011-08-31,31110902.53933058,26768087.835425034,31155383.177486084
2011-09-30,32660038.031133875,27235010.229196515,32249550.720535047
2011-10-31,32550337.24078223,27417327.48623912,31903480.67948773
2011-11-30,32890506.27043598,27738167.825944938,32090857.450047657
2011-12-31,32448367.08372532,27574120.909013,31954478.148384705
2012-01-31,33789608.46939625,28360668.58777245,33064217.858405925
2012-02-29,34346957.10980414,28810355.1843088,33767150.3189621
2012-03-31,33871408.65012461,28653060.57046781,33768556.3671542
2012-04-30,34017283.83682403,28739841.48747249,33783931.598983616
2012-05-31,34086894.6185534,28527812.49230729,34070280.02345339
2012-06-30,33861464.39002613,28530517.717209738,34013080.80519661
2012-07-31,34198036.887593865,29031759.187467717,34632946.39460236
2012-08-31,34698730.76648238,29270091.77610176,34830480.504405275
2012-09-30,35436398.47781201,29763617.964478943,35190606.52802936
2012-10-31,34436985.3555789,29069456.936463747,34568339.375860505
2012-11-30,34430617.04430942,29181380.020576462,34740122.60953148
2012-12-31,34001569.69903524,28967154.945491277,34648390.24764745
2013-01-31,35191989.38226704,29397444.76045045,35243172.94046683
2013-02-28,34859765.70879164,29542971.0257526,35556793.16414203
2013-03-31,35818433.07524184,30039819.72140989,36159004.589913696
2013-04-30,35560007.63777026,29700526.081197985,35664858.76279329
2013-05-31,35854884.61859694,29895499.403382786,35625369.335260466
2013-06-30,33786083.026420906,28657104.167389724,34120227.702741094
2013-07-31,34150498.00708303,28990739.88217932,34289042.400913894
2013-08-31,33586043.29480046,28831252.045163278,34215452.17255491
2013-09-30,33332846.423798878,28675140.38595416,33855333.69791456
2013-10-31,33946227.60044805,29117418.223767634,34238194.74060121
2013-11-30,33720137.374107905,28863989.609565515,33975403.02241629
2013-12-31,33558763.45772376,28849304.48355697,33938472.21982612
2014-01-31,34081973.25249758,28937406.187230527,33800881.10022552
2014-02-28,34817532.86026476,29573279.518816788,34620365.07528968
2014-03-31,34915133.07918974,29503703.99691795,34567984.993786305
2014-04-30,34245707.42072572,29141161.08861028,34114906.503600985
2014-05-31,34571306.87948827,29307464.8213878,34298233.895077914
2014-06-30,35107289.83616129,29637908.870767344,34655575.592550606
2014-07-31,35852264.962448016,30007137.269666035,35084297.079761215
2014-08-31,36078794.74664967,30048040.325074777,35121483.26794516
2014-09-30,36704500.02768496,30126481.655894432,35369408.975856364
2014-10-31,37748930.5901763,30589880.9720792,36027255.343156256
2014-11-30,39837247.1176706,31348113.579114627,36986332.92842586
2014-12-31,40025290.39554198,31044694.50927477,36506103.755501896
2015-01-31,41636981.14153962,31983012.05452832,37420437.62513295
2015-02-28,41622613.83389124,31936645.51569308,37580922.53097804
2015-03-31,42024850.99491645,32040691.364087813,37667973.54911463
2015-04-30,41803834.00057077,31959709.081170607,37717350.72837976
2015-05-31,42638060.25481904,32186181.4032232,37984072.691287786
2015-06-30,41785800.97224053,31721467.92728948,37545229.434376106
2015-07-31,42271668.62656386,31888348.575907104,37812177.71759605
2015-08-31,41546009.13286764,31967972.692973036,38317846.80482057
2015-09-30,41399449.93497917,32114937.73888482,38567949.21554936
2015-10-31,42039111.07893545,32516574.888354503,38654314.87656509
2015-11-30,41357039.91668592,31929363.110557403,37932632.59921909
2015-12-31,41816854.93704219,32241253.563950475,38179500.79751152
2016-01-31,42137248.27265257,32646836.3590682,38341685.11135248
2016-02-29,44061674.46329121,33991204.89707807,39804468.00215797
2016-03-31,42939721.90526569,33342868.33062264,39353934.52723875
2016-04-30,43469036.54723205,33691680.273356855,39732446.94990301
2016-05-31,44428853.09553191,34030100.01294905,40172614.73080261
2016-06-30,45056357.91322455,34509161.13751618,40783049.82427254
2016-07-31,45222355.05553514,34656379.04704854,40814501.84713319
2016-08-31,45199255.79339745,34567939.67575455,40634234.26772624
2016-09-30,44416633.06330445,34455080.74959794,40481627.721120864
2016-10-31,44844820.17046801,34408352.13406414,40434946.04986657
2016-11-30,44109474.56559258,33994237.17639234,40306868.73089325
2016-12-31,44558928.585102834,34321247.28378414,40970279.83589368
2017-01-31,44329043.42721504,34231620.41143878,40978710.303470135
2017-02-28,44728088.21677605,34451318.784748055,41350568.87037178
2017-03-31,44583892.967855886,34488593.02326317,41553362.85615298
2017-04-30,45673047.02833184,35230366.59465576,42505329.97263342
2017-05-31,45711761.80236809,35514599.76742271,42565401.70650888
2017-06-30,46666739.11734545,36048281.10082994,43160944.81362737
2017-07-31,46688480.98291172,35958132.73640936,42901082.37927084
2017-08-31,47248762.2722802,36074932.36042111,43150652.63187696
2017-09-30,47689919.03525129,36519980.9180982,43504396.15517333
2017-10-31,47400752.01542342,36473114.38501732,43045031.21168879
2017-11-30,46595929.96950369,36176905.30192098,42694123.01790165
2017-12-31,46712812.21872203,36102476.632645495,42641413.07130043
2018-01-31,47966931.10412444,36528909.6318911,43534774.84723474
2018-02-28,46686559.71501036,35830287.41527855,42447890.65053713
2018-03-31,45836353.44766381,35612479.34050401,42078459.92657461
2018-04-30,46069623.02577244,35773600.51232144,42372559.95780908
2018-05-31,46464853.71749759,35752014.61861486,42382697.53468145
2018-06-30,46777452.50158405,36000910.66093865,42832969.59783187
2018-07-31,47229899.8996837,36151021.56199458,42931574.58602593
2018-08-31,47667525.30452138,36596355.84819182,43397068.49472532
2018-09-30,47193832.18637421,36371475.58415028,43063247.47921718
2018-10-31,46275255.57015917,35826007.30418406,43071009.787800334
2018-11-30,46660570.5655209,36010888.466459654,43400665.27425128
2018-12-31,46431518.06959197,35727827.97566911,42671129.735734224
2019-01-31,48187131.846169904,36932704.88074836,44612029.75582048
2019-02-28,49406278.40085366,37320365.18790607,45101541.26568964
2019-03-31,50766361.53714392,37622828.33653665,45311757.10082941
2019-04-30,52373774.10186906,38519983.93171711,46584224.51659847
2019-05-31,52325551.10254583,38229295.7710166,46906267.109736525
2019-06-30,53716383.61880563,39234365.7056821,47792827.94115599
2019-07-31,54959820.47653532,39712361.81638536,48478039.76861086
2019-08-31,57239509.53840674,40656392.921035975,49992423.02559696
2019-09-30,56662727.06230506,40513194.10738291,49416888.62393172
2019-10-31,56085994.03074714,40070079.37618711,48647102.724099
2019-11-30,56330525.07289951,40539710.41305263,49263456.72580724
2019-12-31,56861943.49150682,41024941.72420179,50286660.80572398
2020-01-31,58683727.42389174,41902069.30953105,51079801.96939181
2020-02-29,59048733.19122207,41944119.11157503,50353820.44100584
2020-03-31,56234770.71129573,40615252.20976713,47680594.917895325
2020-04-30,59081354.7075685,42310452.65428519,50399801.024179205
2020-05-31,61061676.61614744,43402610.35017647,51472310.69564684
2020-06-30,61203708.43228014,43523594.032981545,51449763.14963432
2020-07-31,65019797.79601305,45099125.89856308,52933078.69042819
2020-08-31,65850371.2430453,45394407.11209464,52888929.54915319
2020-09-30,63471070.68338959,44637946.29446763,52218718.95470325
2020-10-31,61580558.22418205,43322470.500717536,50843300.87219182
2020-11-30,62707194.10716991,44284427.85440101,53128999.96740045
2020-12-31,64366895.26388596,45795215.77499953,55675956.9455332
2021-01-31,65338279.688541725,46503031.4674328,56857162.14900687
2021-02-28,64896919.54230854,46087663.76015571,56810113.86840218
2021-03-31,64404957.97252916,46164174.476574674,57278533.628815606
2021-04-30,65688424.01422614,46782127.62047676,58410704.2445778
2021-05-31,67293692.966046,47438951.30109517,59216793.50795953
2021-06-30,67968114.35800391,47782933.10865627,59362176.2256449
2021-07-31,70129785.81467167,48783713.234016046,60860395.24940768
2021-08-31,71724380.09994525,49137339.32740311,61092823.780934855
2021-09-30,70678497.33038917,48087946.72990234,59939700.78275882
2021-10-31,70720067.00382274,47795905.45036888,59326052.99443857
2021-11-30,72125631.36265501,48426876.013633296,59749460.18442175
2021-12-31,73362893.95031911,49326978.348862,61255160.99294127
2022-01-31,70595755.87483406,47417035.53129903,58267246.50844535
2022-02-28,70287159.37631452,47698403.66921022,58625899.11993292
2022-03-31,70988806.10166487,47957421.33719645,59604247.62618125
2022-04-30,68892870.02955256,47182759.089252494,58386133.73227136
2022-05-31,66978395.46136469,46327215.23028939,57464425.98541455
2022-06-30,66156195.17256816,44915624.14296811,56457607.58386126
2022-07-31,68390447.90989846,46564100.34904753,58371457.37269408
2022-08-31,67763193.35644624,45822670.910822704,57194540.85251123
2022-09-30,66179988.99305545,44450069.80301605,56076761.03713058
2022-10-31,66143350.52009647,44947756.795909576,56151256.02737731
2022-11-30,65981829.61560941,45198337.75977862,56863476.46608753
2022-12-31,63141617.90980734,43596744.99221404,54356536.1353972
2023-01-31,65875627.2715957,45223884.30460188,56843383.16224027
2023-02-28,66834645.08529901,45397895.82476808,57035285.39641085
2023-03-31,68813330.35961425,46744258.49922593,58755740.355820425
2023-04-30,70758966.88413726,47659178.01987258,59920322.75642694
2023-05-31,69500819.42112678,47592399.98056424,59465701.05504459
2023-06-30,69926668.76504967,47393510.08576979,58806350.655309424
2023-07-31,69467260.31189317,47254588.35061216,58407847.87924773
2023-08-31,70130142.17853746,47561522.01032628,58883275.598869294
2023-09-30,68787051.38777721,46750857.21217066,58067748.37815864
2023-10-31,67296480.4403183,45835741.32533881,57226939.74927373
2023-11-30,69779456.97675553,47769295.67703107,60105821.46179557
2023-12-31,73599462.6943214,49755844.0567815,62796331.27922937
2024-01-31,74064173.70292634,49743922.77422372,62629371.84451265
2024-02-29,74950585.54692446,50153736.2052862,63771576.72483052
2024-03-31,79179157.39239138,52230754.847635806,66889581.89199242
2024-04-30,79294698.93575141,52040403.25555157,66454793.45567063
2024-05-31,80096376.89608768,52409677.06300317,66941398.16930184
2024-06-30,82327612.79162169,53868740.026356846,68400926.1852347
2024-07-31,83904283.2568865,54467518.759394296,69398350.02015577
2024-08-31,83366447.86815764,54134188.62635701,69149032.93856496
2024-09-30,85036180.39927888,54134718.38340702,69326516.19539514
2024-10-31,88768554.16742346,55346342.65756604,70537570.89379984
2024-11-30,89581922.34966707,55697978.07561236,70726358.04034561
2024-12-31,92162313.48458232,56196303.16367023,71362299.78472717
2025-01-31,92888269.59896472,57392191.26020691,73023869.12406236
2025-02-28,94221387.68017326,57860953.70263102,73238026.68182838
2025-03-31,94778933.29644708,58357335.19814575,73416757.10474174
2025-04-30,94114373.5397036,58607194.09579089,73581967.34083985
2025-05-31,92942112.49476676,58652248.17035795,72800783.8355683
2025-06-30,94106059.93041022,60508531.408316426,74010532.60550916
2025-07-31,97456099.32143134,62230537.29243329,75653452.40575199
2025-08-31,99002565.09736691,62757871.95794723,76417690.96473181
2025-09-30,107194731.65279593,65879476.43862611,79175567.82827653
2025-10-31,110435979.45487414,70248111.33863415,82603481.151209
2025-11-30,111993178.62226452,70689825.5419229,83218313.04677284
2025-12-31,113343105.17118676,72311003.15116495,84975023.53890331
2026-01-31,119246529.90065728,77163721.46922293,92809729.26268052
2026-02-28,121530813.7412342,81277612.61691497,99251353.14195332
2026-03-31,115319151.46285352,75877555.98843184,90560539.6287275
2026-04-30,120203557.51403672,81362361.17706083,100545999.23323555
2026-05-31,127637148.22806606,89675730.34220825,104898695.72085366
2026-06-30,127427942.8417071,90067860.79450686,104931415.93702409
2026-07-31,115133122.08206794,81088828.26913522,97942986.02399115
2026-08-31,114313900.4869944,80732879.76071113,97456018.18242216
