,성장형,중립형,안정형
2000-01-31,9804224.567455951,9844751.053839497,9898338.957886636
2000-02-29,9988309.677684436,10009010.336741606,10035838.047372065
2000-03-31,9967774.924937304,10000934.967229994,10043876.897664115
2000-04-30,9808401.019759584,9878268.029904708,9965978.099476399
2000-05-31,9827557.375047792,9903680.365519794,9999461.28931386
2000-06-30,10071369.978491219,10117577.831586242,10174499.248421876
2000-07-31,9881085.807572426,9969102.73584595,10078025.103014905
2000-08-31,10020729.460502092,10095497.859704312,10188292.4013923
2000-09-30,9720859.367885474,9854867.992302936,10022514.924574984
2000-10-31,9712191.390515119,9858660.572906667,10040353.838342197
2000-11-30,10269115.50742821,10338186.308221892,10414908.005431099
2000-12-31,10834194.69136214,10826605.989589842,10796512.14526198
2001-01-31,11219939.889422085,11159489.984042596,11060673.977529468
2001-02-28,10891101.536939602,10895322.337040886,10876349.168938106
2001-03-31,10886617.544281736,10901396.450417407,10893155.473532591
2001-04-30,10969726.157511065,10974815.369280953,10960065.013208916
2001-05-31,10899231.599397805,10923998.217209293,10935154.190681797
2001-06-30,11029533.727734756,11044707.608004257,11038280.752652237
2001-07-31,10819267.803453503,10879092.098365542,10927886.616220921
2001-08-31,10737374.81374115,10822438.217223417,10897775.637046624
2001-09-30,10607235.002557227,10724696.030209523,10835581.797492072
2001-10-31,10572529.718691634,10700817.31969224,10828630.1142359
2001-11-30,10804678.92969631,10898241.755421937,10985925.547376998
2001-12-31,11009593.803063337,11075477.552253751,11129014.986366276
2002-01-31,11033553.590973584,11103168.389601154,11161186.991697801
2002-02-28,11386469.879796952,11407864.625255793,11400913.630288709
2002-03-31,11556875.024211241,11556766.813076254,11523123.469275964
2002-04-30,11204988.10297972,11267940.123830505,11315716.24293533
2002-05-31,10735027.028411927,10880506.198572889,11034894.128698112
2002-06-30,10599573.67852896,10775273.518543374,10966612.202086147
2002-07-31,10162765.572757136,10416818.596408647,10707762.414871927
2002-08-31,10588933.924538951,10786310.155688746,10998122.072222153
2002-09-30,10511680.059758127,10732432.17617769,10968844.611404534
2002-10-31,10520276.129076054,10745332.914284207,10990066.078544278
2002-11-30,10702599.101279594,10905803.173523793,11122627.135798756
2002-12-31,10679467.610617055,10896095.461399876,11127894.395845361
2003-01-31,10679667.006067988,10905608.487437015,11146137.432950687
2003-02-28,10835255.938139008,11046972.281568438,11264456.514521949
2003-03-31,11008717.351586862,11202524.131430745,11394074.343946394
2003-04-30,11143152.97685451,11324218.488537746,11497543.56391082
2003-05-31,11748226.866022889,11851150.479234578,11912143.365146747
2003-06-30,11753373.18811949,11860229.704399858,11929921.205720104
2003-07-31,11570514.783641903,11703485.518545207,11820119.837499592
2003-08-31,11810472.230766658,11912198.848808061,11990548.658890938
2003-09-30,11827195.148229219,11935973.672369342,12018439.275275659
2003-10-31,12406718.458067369,12433488.689839782,12409327.110219778
