,강환국 정적 K-올웨더,강환국 계절형 K-올웨더
2000-01-31,9630845.629816635,9547261.41519069
2000-02-29,9509674.375487717,9311896.711234573
2000-03-31,9607876.47781489,9487509.46214809
2000-04-30,9391167.472445618,9128511.552040227
2000-05-31,9374460.469105083,9101179.224906906
2000-06-30,9667508.24259701,9352988.308518492
2000-07-31,9408069.535719033,9163268.366705067
2000-08-31,9505146.918009847,9231295.56720682
2000-09-30,9290483.806501977,9098710.874698445
2000-10-31,9189128.151681904,9042293.531115545
2000-11-30,9479722.446939336,9197119.208161352
2000-12-31,9938691.647513453,9514894.35576511
2001-01-31,10488039.874057408,10167160.019968545
2001-02-28,10233840.248628356,9785886.658593128
2001-03-31,10109134.760739617,9586375.686406307
2001-04-30,10281931.452559225,9907350.601643886
2001-05-31,10260458.80521484,9850897.262164067
2001-06-30,10364782.06161572,10047291.032356761
2001-07-31,10244879.27961405,10047206.730926106
2001-08-31,10328122.555139862,10222631.595288798
2001-09-30,10221636.333108943,10314696.1012866
2001-10-31,10345962.501305658,10317146.859636642
2001-11-30,10665292.914912576,10894948.838663403
2001-12-31,10931979.020707384,11288542.054140953
2002-01-31,11089635.599891733,11529915.294580873
2002-02-28,11461895.210786907,12015561.57210311
2002-03-31,11683560.608305179,12450483.987108696
2002-04-30,11395404.816551475,12010090.730649106
2002-05-31,11184873.668588016,11860207.507315038
2002-06-30,10919956.072769862,11765080.735167008
2002-07-31,10717376.898391444,11683623.14889379
2002-08-31,11072909.593862724,12096852.10581706
2002-09-30,10966775.670751557,12233744.533502921
2002-10-31,11083233.266241116,12302971.929348713
2002-11-30,11339861.918879734,12754065.606694235
2002-12-31,11164164.712946868,12274274.12524404
2003-01-31,11108404.196394589,12131292.462875474
2003-02-28,11170657.117389733,12113233.240969406
2003-03-31,11253812.419004155,12129459.977502583
2003-04-30,11516848.534663532,12575417.819827853
2003-05-31,12030509.181805948,13104505.04759238
2003-06-30,12160861.675395256,13220196.422921924
2003-07-31,12060021.401609588,12956566.988021154
2003-08-31,12175061.907299427,12958831.899319077
2003-09-30,12073857.527631948,13000525.468670746
2003-10-31,12617323.581246039,13404949.028732508
2003-11-30,12740696.014556214,13594993.351195633
2003-12-31,12959134.282668533,13879796.672670653
2004-01-31,13039000.645817537,14019714.140584664
2004-02-29,13216779.898084521,14260459.424403578
2004-03-31,13313505.690411054,14307032.036427418
2004-04-30,13021730.711556692,13965846.137325864
2004-05-31,12830797.01934684,13817465.12560147
2004-06-30,12838631.29811892,13849588.97982572
2004-07-31,12799163.856014736,13948514.560493276
2004-08-31,13212049.0186328,14384833.382863302
2004-09-30,13496693.846992599,14669291.327458903
2004-10-31,13483119.13300491,14657478.645752534
2004-11-30,13480141.387918333,14728487.172869498
2004-12-31,13503956.003513988,14786136.819754643
2005-01-31,13323256.54423752,14672516.695048535
2005-02-28,13415721.381263174,14939076.284733403
2005-03-31,13257200.548403587,14689898.785361975
2005-04-30,13082527.376847424,14371264.928693777
2005-05-31,13406863.592337664,14675814.898279313
2005-06-30,13813871.347651998,15092160.651656188
2005-07-31,13977084.200803053,15040338.809145313
2005-08-31,13932962.195118103,15019919.48578557
2005-09-30,14518373.304361202,15478497.21372515
2005-10-31,14171935.991990168,15180391.051566446
2005-11-30,14659465.054711595,15829869.006017916
2005-12-31,14902342.550977878,16103966.313122708
2006-01-31,14971214.166972594,16246910.662153047
2006-02-28,15049610.186705476,16272159.065503037
2006-03-31,15111453.447617464,16368087.639669685
2006-04-30,15329812.104356848,16738103.324508497
2006-05-31,15109102.31532203,16653224.089187628
2006-06-30,14974254.970460638,16563156.551685229
2006-07-31,15195202.171306444,16803016.08608939
2006-08-31,15513541.493798705,17153637.80675166
2006-09-30,15497632.029682774,17141121.4671524
2006-10-31,15622037.128556328,17262717.746395633
2006-11-30,15919504.57447716,17652353.667008203
2006-12-31,15947587.10592644,17702837.825493354
2007-01-31,15932240.36850512,17655012.470515933
2007-02-28,16113897.946421454,17868513.903145157
2007-03-31,16285412.130786574,18070507.580376584
2007-04-30,16516073.717977846,18489451.37342377
2007-05-31,16751676.326138975,18559678.285238482
2007-06-30,16542163.725901294,18253605.18643147
2007-07-31,16892694.35653135,18534999.11203255
2007-08-31,17172052.572383266,18939601.18865581
2007-09-30,17547253.798032187,19244526.434680622
2007-10-31,17909441.561939523,19529751.977743693
2007-11-30,17759111.66308821,19239842.75163324
2007-12-31,18019252.502404317,19493456.23153202
2008-01-31,17997292.435793623,19172920.881303575
2008-02-29,18329287.09503035,19505608.397739008
2008-03-31,18603427.209305204,19759150.429868113
2008-04-30,18970722.818635613,20276141.40395606
2008-05-31,19156040.799103722,20389190.66065428
2008-06-30,18642882.09820612,20038547.17113951
2008-07-31,18203030.51414278,19640643.84225585
2008-08-31,18528892.709604755,20066618.216745842
2008-09-30,19359199.78035483,21127142.64130719
2008-10-31,18463913.08153909,20664902.390454788
2008-11-30,20013616.798960164,21824305.972625673
2008-12-31,19832331.9824569,21616741.428189117
2009-01-31,20736188.843693897,22499495.775559425
2009-02-28,20560539.34243135,22165986.091332655
2009-03-31,20391744.2247179,22232187.26619719
2009-04-30,20461016.057085186,22578236.93039064
2009-05-31,20665537.1004262,22609779.928716186
2009-06-30,20441893.542682037,22276980.0578183
2009-07-31,21154019.47412199,22667827.759612978
2009-08-31,21491074.20499838,22894077.386420727
2009-09-30,21734460.253596067,22987642.87486653
2009-10-31,21520465.873429827,22965539.33437865
2009-11-30,22109984.288565733,23624517.251665257
2009-12-31,22293775.909897856,23914654.39401138
2010-01-31,21832272.163739145,23262510.393462278
2010-02-28,22106148.499612596,23569019.142247863
2010-03-31,22518197.475315817,24181060.703347147
2010-04-30,22694475.224593222,24463566.61833783
2010-05-31,23162262.421657134,25364571.915789045
2010-06-30,23549805.48819421,25901176.252028726
2010-07-31,23584554.136749044,25793898.25364147
2010-08-31,24013874.077090617,26474982.161792237
2010-09-30,24573378.623015653,26815238.4293734
2010-10-31,24912297.50773598,27152443.023451723
