Date,Strategy_Gross,Strategy_Net,KODEX200_TR_KRW,SPY_TR_KRW
2021-01-31,-0.06974758312326357,-0.06974758312326379,-0.06974758312326379,-0.03058656555716166
2021-02-28,-0.0638660277107046,-0.06386602771070504,-0.06386602771070482,-0.029397726235616872
2021-03-31,-0.07302731049203215,-0.0730273104920326,-0.07302731049203237,-0.027784869041395654
2021-04-30,-0.03706156206002731,-0.0370615620600272,-0.037061562060026754,-0.011808962482536711
2021-05-31,-0.04492826078998813,-0.04492826078998835,-0.04492826078998813,-0.029110046501981346
2021-06-30,-0.019254743385692885,-0.019254743385692996,-0.019254743385692885,-0.01662208878632898
2021-07-31,-0.03297562317800562,-0.03297562317800562,-0.03297562317800562,-0.023217087295947625
2021-08-31,-0.08623752472256885,-0.08623752472256829,-0.0862375247225684,-0.016636543199726406
2021-09-30,-0.08885525737841482,-0.08885525737841371,-0.08885525737841404,-0.03314423042567549
2021-10-31,-0.11370442370632028,-0.11459071928261255,-0.13164681538874146,-0.03422158582414503
2021-11-30,-0.056332418354009595,-0.05727608593565381,-0.1462050606497336,-0.03269858214665089
2021-12-31,-0.06922876078315143,-0.07015953202236691,-0.1256756295283531,-0.049772919928185
2022-01-31,-0.09247662434615778,-0.09336664019227969,-0.19335394538094408,-0.09247662434615755
2022-02-28,-0.11790669438038826,-0.11877177074185807,-0.17918782674568767,-0.1179066943803877
2022-03-31,-0.10550883208088624,-0.10638606713071685,-0.19369656082199527,-0.10550883208088546
2022-04-30,-0.07836282327206257,-0.07926668064220543,-0.19712379156260917,-0.07836282327206112
2022-05-31,-0.13476930779220497,-0.1356178468461552,-0.2164771852754519,-0.13476930779220375
2022-06-30,-0.16956644710231317,-0.17038086030758914,-0.28983470798626176,-0.16956644710231206
2022-07-31,-0.133107821244146,-0.1339579897319989,-0.2965560959276269,-0.133107821244145
2022-08-31,-0.06576100796197126,-0.06576100796197115,-0.26665681987703815,-0.06576100796197115
2022-09-30,-0.09659693449633788,-0.09659693449633833,-0.3446499984882454,-0.0965969344963381
2022-10-31,-0.10211880547932906,-0.10211880547933028,-0.3446499984882454,-0.10211880547932961
2022-11-30,-0.09079143586121907,-0.09079143586122018,-0.29566249732262895,-0.09079143586122007
2022-12-31,-0.14860967941765502,-0.14860967941765535,-0.3096582622572227,-0.14860967941765568
2023-01-31,-0.14528254798161477,-0.14528254798161522,-0.31374034201661005,-0.14528254798161566
2023-02-28,-0.10264740173901121,-0.10264740173901166,-0.25619660363057883,-0.10264740173901243
2023-03-31,-0.09777325553705629,-0.09777325553705662,-0.2765362581853681,-0.09777325553705729
2023-04-30,-0.043481921896116105,-0.04348192189611666,-0.24544225572174638,-0.04348192189611744
2023-05-31,-0.04617547019068846,-0.04617547019068846,-0.2316582342726401,-0.04617547019068935
2023-06-30,-0.01473109207863954,-0.01473109207863943,-0.19753074218929267,-0.01473109207863954
2023-07-31,-0.03060369948713504,-0.030603699487134928,-0.21234305027841238,-0.030603699487134595
2023-08-31,-0.03096973488264876,-0.03096973488264909,-0.22004546418350146,-0.03096973488264898
2023-09-30,-0.033521980090339576,-0.033521980090339576,-0.22277087877362567,-0.03352198009033924
2023-10-31,-0.07500850627908018,-0.075933497772801,-0.2710222679977804,-0.06978950862770661
2023-11-30,-0.06861600694024883,-0.07047784354237474,-0.26091728960902116,-0.049344150594292535
2023-12-31,-0.02493344744346715,-0.02688260548202759,-0.20706414036988374,-0.018692860323300753
2024-01-31,-0.02453416455877966,-0.024534164558779548,-0.21728795538670442,-0.024534164558779437
2024-02-29,-0.016404806948849604,-0.016404806948849604,-0.17957936628227655,-0.016404806948849493
2024-03-31,-0.01741194664084833,-0.01741194664084844,-0.1456035878191918,-0.01741194664084844
2024-04-30,-0.03601397296630637,-0.03601397296630637,-0.14834548982951223,-0.036013972966306596
2024-05-31,-0.029017260505110998,-0.029017260505110998,-0.13098545946526152,-0.02901726050511122
2024-06-30,-0.008670798829936266,-0.008670798829936044,-0.12181512699765651,-0.008670798829936044
2024-07-31,-0.04765957259154985,-0.04765957259154974,-0.0967170659867651,-0.04765957259155007
2024-08-31,-0.09415176468400799,-0.09415176468400777,-0.19417577233778804,-0.09415176468400788
2024-09-30,-0.07786376789725391,-0.0778637678972538,-0.18484809997893337,-0.07786376789725336
2024-10-31,-0.032650307395770684,-0.03265030739577057,-0.17134627271288894,-0.03265030739577002
2024-11-30,-0.027291294410796918,-0.027291294410796696,-0.22556057962528653,-0.027291294410796696
2024-12-31,-0.03320388423923537,-0.03320388423923548,-0.23346177213054553,-0.03320388423923559
2025-01-31,-0.036248908882437814,-0.0362489088824377,-0.22227860452432424,-0.036248908882437814
2025-02-28,-0.05217269235014643,-0.05217269235014621,-0.2065593904762204,-0.05217269235014621
2025-03-31,-0.09773121619711134,-0.09773121619711089,-0.17814378654691088,-0.09773121619711078
2025-04-30,-0.1724089607267194,-0.17240896072671885,-0.24363382545428713,-0.17240896072671885
2025-05-31,-0.12973617209463684,-0.12973617209463628,-0.16177544759921159,-0.1297361720946365
2025-06-30,-0.08998033157708762,-0.08998033157708696,-0.10768046655583075,-0.08998033157708707
2025-07-31,-0.048700512942739915,-0.04870051294273925,-0.019264829772668524,-0.04870051294273903
2025-08-31,-0.021631763234360335,-0.021631763234360446,-0.04292528933129092,-0.021631763234360335
2025-09-30,-0.026688678609982586,-0.026688678609982586,-0.03531680941881932,-0.011383254830878986
2025-10-31,-0.01918164632444852,-0.01918164632444852,-0.01918164632444863,-0.03053536084451358
2025-11-30,-0.09544466851387656,-0.09544466851387667,-0.09544466851387667,-0.041028939182308655
