Date,Strategy_Gross,Strategy_Net,KODEX200_TR,SPY_TR_USD
2010-03-31,-0.013273185490611628,-0.013273185490611406,-0.013273185490611406,-0.007069120569421328
2010-04-30,-0.02319561794970537,-0.02319561794970537,-0.02319561794970537,-0.027337487306144492
2010-05-31,-0.12844827745039422,-0.12931982917294338,-0.10769887629325281,-0.12018747205262259
2010-06-30,-0.12552010785173684,-0.1272681931561408,-0.07152163549124102,-0.1485831776638291
2010-07-31,-0.1094013867609882,-0.11118169338885264,-0.054407595556548616,-0.15699693675848037
2010-08-31,-0.0788585629570977,-0.08069992468974663,-0.03903566937899383,-0.13200347696718195
2010-09-30,-0.05616245858972868,-0.0580491898350084,-0.015358364391923729,-0.10536088161177493
2010-10-31,-0.030583235004454146,-0.030583235004454035,-0.030583235004454035,-0.056702815424027
2010-11-30,-0.03239051515466096,-0.03239051515466107,-0.03239051515466107,-0.03715820417165916
2010-12-31,-0.00956092227045946,-0.00956092227045946,-0.009560922270459571,-0.013934521619915374
2011-01-31,-0.024713397206871934,-0.024713397206871712,-0.024713397206872156,-0.017463108823955853
2011-02-28,-0.07819980293465789,-0.078199802934658,-0.07819980293465811,-0.026760140256591458
2011-03-31,-0.08579005497214687,-0.08579005497214676,-0.08579005497214676,-0.062068214594761306
2011-04-30,-0.021065322805246756,-0.021065322805246756,-0.021065322805246534,-0.025294569323740634
2011-05-31,-0.08979314307310216,-0.08979314307310138,-0.08979314307310171,-0.03283737452614377
2011-06-30,-0.10307737186179444,-0.10307737186179378,-0.10307737186179411,-0.0689726451188416
2011-07-31,-0.08818674418547601,-0.08909855744129036,-0.06305702030674198,-0.047341283035302495
2011-08-31,-0.29480454618639396,-0.29621423189856744,-0.25647415102032955,-0.17308089683221684
2011-09-30,-0.2713759737004119,-0.2735596606358558,-0.2741609541512383,-0.16436014187004322
2011-10-31,-0.290292057640536,-0.29241905305349536,-0.2618643142195586,-0.18605450429777948
2011-11-30,-0.24890932789150433,-0.25116034738690396,-0.21570987038492617,-0.13859373280478404
2011-12-31,-0.21848261215467524,-0.2208248205475648,-0.21318322073582185,-0.10369812752147711
2012-01-31,-0.18463363736335447,-0.18707729116754246,-0.18522079068790265,-0.06487762274603637
2012-02-29,-0.13934982577452182,-0.14192919520732517,-0.11969496863008156,-0.012942802419213195
2012-03-31,-0.1311086236486687,-0.13457897928051255,-0.11059896173672501,-0.021636480826846327
2012-04-30,-0.14069208597672545,-0.1449800410564851,-0.10773527779514813,-0.04187811669139374
2012-05-31,-0.17964200431791422,-0.1837355989158468,-0.19077495565988423,-0.08530698369792444
2012-06-30,-0.19001201900393316,-0.19405386712493444,-0.18787744901504355,-0.09686947234577992
2012-07-31,-0.1514301907756015,-0.1556645626050881,-0.19929648777211295,-0.05385102305611489
2012-08-31,-0.13153626172008392,-0.13586990445439728,-0.16059990740928487,-0.03166944127149263
2012-09-30,-0.10439688001984981,-0.10886594854010556,-0.16059990740928487,-0.021632552405742356
2012-10-31,-0.09891286901025709,-0.10340930280026439,-0.15514124684626718,-0.03713146765013087
2012-11-30,-0.1329064916934407,-0.13723329696649267,-0.16844617819640295,-0.07345580128727913
2012-12-31,-0.09889302404448252,-0.10338955686106754,-0.1293844489514877,-0.03711026205034618
2013-01-31,-0.06337121535194146,-0.06804500234894284,-0.12136753112498044,-0.006372050516265659
2013-02-28,-0.04117032448060598,-0.04595489414495302,-0.1242675084458782,-0.027732561776940168
2013-03-31,-0.021156892874172217,-0.026041329762269583,-0.1220495229124533,-0.010741283671482527
2013-04-30,-0.03172340741283719,-0.03172340741283697,-0.14712441421548617,-0.03172340741283697
2013-05-31,-0.022253028922953333,-0.022253028922953222,-0.13220775011889063,-0.022253028922953
2013-06-30,-0.05550612879158956,-0.05550612879158945,-0.2040653185408562,-0.055506128791589116
2013-07-31,-0.030549554415339242,-0.030549554415339353,-0.19065644840487184,-0.03054955441533891
2013-08-31,-0.044574053055157714,-0.044574053055157936,-0.17624695446578098,-0.044574053055157936
2013-09-30,-0.04270249759265676,-0.042702497592656874,-0.1378647463322814,-0.042702497592656874
2013-10-31,-0.03908302875714509,-0.03908302875714531,-0.10240858541186759,-0.03908302875714553
2013-11-30,-0.012643222628582085,-0.012643222628582196,-0.11445687980195052,-0.012643222628582085
2013-12-31,-0.018136726257390268,-0.018136726257390268,-0.11325195664764354,-0.01813672625739038
2014-01-31,-0.03974225177778323,-0.03974225177778312,-0.1330453944979576,-0.03974225177778312
2014-02-28,-0.05696054603187317,-0.05696054603187284,-0.1490520527143443,-0.05696054603187284
2014-03-31,-0.019122503330626595,-0.019122503330626595,-0.13700418430289196,-0.019122503330626484
2014-04-30,-0.03901966524733469,-0.0390196652473348,-0.11363397428349964,-0.0390196652473348
2014-05-31,-0.013476631847896714,-0.013476631847896714,-0.12544516896783153,-0.013476631847896825
2014-06-30,-0.010531250269617987,-0.010531250269617876,-0.11398140245455701,-0.010531250269617765
2014-07-31,-0.02798920755411094,-0.02798920755411094,-0.10963889109924474,-0.02798920755411094
2014-08-31,-0.038359195754041786,-0.038359195754041675,-0.09092190124827071,-0.0383591957540419
2014-09-30,-0.022605027703912484,-0.022605027703912373,-0.10986133714010549,-0.022605027703912373
2014-10-31,-0.07273449016423739,-0.07273449016423728,-0.16685233655242537,-0.07273449016423716
2014-11-30,-0.003469157419323965,-0.003469157419323965,-0.1461756746095778,-0.003469157419324076
2014-12-31,-0.04850955261573964,-0.04850955261573964,-0.15329965603077533,-0.04850955261573964
2015-01-31,-0.0464735871062687,-0.04647358710626892,-0.15764318973480107,-0.04647358710626881
2015-02-28,-0.03257949853267139,-0.032579498532671614,-0.12949520339542442,-0.03257949853267117
2015-03-31,-0.035331806232936636,-0.035331806232936636,-0.11611632215502932,-0.035331806232936525
2015-04-30,-0.025339717678425022,-0.025339717678425022,-0.10603851971403544,-0.025339717678425133
2015-05-31,-0.017056667581930807,-0.01705666758193114,-0.08869497016360472,-0.017056667581930585
2015-06-30,-0.033165241234643594,-0.033165241234643816,-0.1296624426057691,-0.03316524123464393
2015-07-31,-0.037354364399274975,-0.0373543643992752,-0.14513722390408046,-0.03735436439927542
2015-08-31,-0.11910228570326598,-0.11910228570326598,-0.21811954630208807,-0.11910228570326642
2015-09-30,-0.11102384533692478,-0.111023845336925,-0.19895076351557783,-0.11102384533692566
2015-10-31,-0.09154288758400497,-0.0915428875840052,-0.16483353862663463,-0.09154288758400586
2015-11-30,-0.04232068648233844,-0.042320686482338776,-0.15656836045425682,-0.04232068648233933
2015-12-31,-0.0486077823278791,-0.048607782327879434,-0.15955787848329106,-0.0486077823278801
2016-01-31,-0.11695840582045658,-0.11695840582045702,-0.19789561444776393,-0.1169584058204578
2016-02-29,-0.13022871495652055,-0.130228714956521,-0.1931473158490119,-0.13022871495652144
2016-03-31,-0.05769226133657224,-0.05769226133657257,-0.15832688543679585,-0.057692261336573014
2016-04-30,-0.05533249139924534,-0.05722088174893847,-0.14038892530532865,-0.02491129366617495
2016-05-31,-0.054174769131633105,-0.05606547376813886,-0.14946755227055986,-0.028082358669243135
2016-06-30,-0.07067337483815539,-0.07253109876185426,-0.14696032724700736,-0.0552434645082317
2016-07-31,-0.02965434328094052,-0.03159406424872213,-0.1346024315882578,-0.013543380712103592
2016-08-31,-0.00821612778920755,-0.00821612778920755,-0.1111461738854993,-0.008216127789207661
2016-09-30,-0.03866845294262122,-0.03866845294262111,-0.10469592026634211,-0.027112616663528266
2016-10-31,-0.01748702420290793,-0.018357151667131366,-0.09215442781783578,-0.02573034359207338
2016-11-30,-0.03520549698201647,-0.0360599327147626,-0.1068461751975135,-0.0433001577439629
2016-12-31,-0.012787507434188217,-0.012787507434187773,-0.0962751746980961,-0.012787507434188217
2017-01-31,-0.012787507434188217,-0.012787507434187773,-0.05345384325588065,-0.012787507434188217
2017-02-28,-0.008494342893440754,-0.008494342893440532,-0.027295347512514723,-0.008494342893440754
2017-03-31,-0.02145162599000594,-0.02145162599000583,-0.019770264612813393,-0.02145162599000605
2017-04-30,-0.026101249333640886,-0.02610124933364044,-0.02349054538396078,-0.026101249333640775
2017-05-31,-0.01082437384309698,-0.01082437384309698,-0.01082437384309709,-0.018643490416156316
2017-06-30,-0.010383072379869351,-0.010383072379869462,-0.010383072379869462,-0.01361074938773732
2017-07-31,-0.02372620526068081,-0.023726205260681033,-0.02372620526068092,-0.01679891426298541
2017-08-31,-0.06003402646366052,-0.060034026463660295,-0.06003402646366063,-0.020817240315893493
2017-09-30,-0.05755124499017661,-0.05755124499017572,-0.05755124499017661,-0.007302222157374305
2017-10-31,-0.016278511995178713,-0.016278511995177936,-0.0162785119951786,-0.007078684421947812
2017-11-30,-0.04097250082617088,-0.040972500826170655,-0.040972500826170655,-0.010304473996499475
2017-12-31,-0.0574794343081243,-0.0574794343081243,-0.0574794343081243,-0.006867931025889895
2018-01-31,-0.03301372964072169,-0.0330137296407218,-0.03301372964072202,-0.016819070718989804
2018-02-28,-0.09551868647721984,-0.09642316779074267,-0.09514747196335116,-0.10101910531345204
2018-03-31,-0.06016508119873287,-0.06110491611753399,-0.07770119389041852,-0.0959469894448074
2018-04-30,-0.04578629020862579,-0.04769376341449838,-0.08136640189117728,-0.09797898956513584
2018-05-31,-0.04295177248390003,-0.04486491189070385,-0.07863757585393971,-0.07993661886921732
2018-06-30,-0.04396301975195127,-0.04682826353779146,-0.10823414411990706,-0.05212131254204533
2018-07-31,-0.03846137900370006,-0.041343111212364114,-0.129650654398492,-0.04666661976440345
2018-08-31,-0.01330632797235265,-0.013306327972352872,-0.13908243173273482,-0.013306327972352539
2018-09-30,-0.013310926730835781,-0.01331092673083567,-0.1277545321467578,-0.013310926730835781
2018-10-31,-0.09716418064654309,-0.09716418064654286,-0.21986801726958805,-0.09716418064654286
2018-11-30,-0.09925150533698157,-0.0992515053369809,-0.2141866170322757,-0.09925150533698135
2018-12-31,-0.1934888994972861,-0.19348889949728543,-0.21822337265386282,-0.19348889949728554
