Date,Strategy_Gross,Strategy_Net,Korea_TR_USD,SPY_TR_USD
2021-01-31,-0.08104640813099495,-0.08104640813099484,-0.08104640813099495,-0.037253924052126575
2021-02-28,-0.07343851780395483,-0.07343851780395483,-0.07343851780395505,-0.03127564527745186
2021-03-31,-0.10129930832840228,-0.10129930832840217,-0.10129930832840217,-0.04059684041811229
2021-04-30,-0.05423481032485167,-0.054234810324851446,-0.05423481032485189,-0.012198481580470322
2021-05-31,-0.05664236040445347,-0.05664236040445347,-0.056642360404453584,-0.03958594669867732
2021-06-30,-0.030279414465617993,-0.030279414465617438,-0.030279414465617993,-0.021122537338991387
2021-07-31,-0.054999329881811554,-0.054999329881811,-0.054999329881811,-0.027706625517219474
2021-08-31,-0.1279131526827071,-0.12791315268270642,-0.12791315268270642,-0.017428361999150654
2021-09-30,-0.12340102354348681,-0.12340102354348637,-0.12340102354348581,-0.05003469533132887
2021-10-31,-0.1792888805055184,-0.17928888050551794,-0.1792888805055174,-0.05114137228951465
2021-11-30,-0.15136844365275748,-0.1522170752091042,-0.187911067870563,-0.030166301610632607
2021-12-31,-0.16079443604291332,-0.1616336416068701,-0.16028730696873283,-0.04093852071132609
2022-01-31,-0.1938501935905509,-0.1946563433969598,-0.2469608899169552,-0.09727641226820638
2022-02-28,-0.21121671982032852,-0.2120055031005078,-0.22789975031892662,-0.1167233844561778
2022-03-31,-0.22187218684263688,-0.222650314655794,-0.256982879721231,-0.1286553372307847
2022-04-30,-0.2274244064878056,-0.22819698208131756,-0.2794442486485951,-0.1348726923651674
2022-05-31,-0.26969109840605876,-0.2704214073076525,-0.31060226251755974,-0.18220277849387434
2022-06-30,-0.312463998219757,-0.3131515342215372,-0.3841415289615153,-0.23009971436177545
2022-07-31,-0.2882882512562527,-0.28899996300499653,-0.38901105446819917,-0.20302780184443092
2022-08-31,-0.2557640453458617,-0.25650828130051584,-0.3791032329479741,-0.16660731570882603
2022-09-30,-0.3245655742987513,-0.3252410087244525,-0.4804499223159284,-0.24365101473843276
2022-10-31,-0.3257379951963709,-0.3264122572011744,-0.4798393701881791,-0.2449638873467448
2022-11-30,-0.29841271231996624,-0.29911429960764624,-0.43944861682641956,-0.21436513609995034
2022-12-31,-0.2844577083866341,-0.28517325067824795,-0.3834515554187743,-0.19873837402998518
2023-01-31,-0.2792904347144184,-0.2800111442797043,-0.3866383396953196,-0.1929520799800608
2023-02-28,-0.2472235075137469,-0.24797628400623306,-0.35725241614835934,-0.15704365286146416
2023-03-31,-0.26793031466050554,-0.2686623843458449,-0.3682125714172255,-0.18023105933278483
2023-04-30,-0.22890416572798378,-0.2296752615622556,-0.3379629399822296,-0.13652972131890706
2023-05-31,-0.2274359263704432,-0.22820849044407276,-0.3389755630233747,-0.1348855922873673
2023-06-30,-0.19560879462150071,-0.1964131858268794,-0.30091284988856193,-0.09924568723351057
2023-07-31,-0.16059908308577842,-0.16143848400269278,-0.3012752100944618,-0.06004194104178828
2023-08-31,-0.21686910544143656,-0.21843458409965932,-0.31808773088053544,-0.06488559025053753
2023-09-30,-0.2220458305321985,-0.2243773599560479,-0.328521719275081,-0.08397801826099405
2023-10-31,-0.2744511097774305,-0.27734895494644973,-0.3740599730959957,-0.11667171687305078
2023-11-30,-0.2684096638239515,-0.2713316385522686,-0.36884794273715993,-0.09090378280713307
2023-12-31,-0.18334915193685497,-0.18742424783111666,-0.3047747161925375,-0.02186020815993417
2024-01-31,-0.15746384055092466,-0.16166810440772594,-0.3217212606164095,-0.019740265050602557
2024-02-29,-0.11794054559118539,-0.12234203108487107,-0.2854852400264076,-0.014205899228039276
2024-03-31,-0.08552148188326791,-0.09008473882888524,-0.2486932695314633,-0.01105575089447286
2024-04-30,-0.10442029698729527,-0.1088892486566495,-0.2806951359347156,-0.05353901643025005
2024-05-31,-0.09503341310972624,-0.09954920542345136,-0.26982929359615204,-0.04361882806786033
2024-06-30,-0.045385477588018475,-0.0501490135962277,-0.25740976982681174,-0.007290973484782359
2024-07-31,-0.046825440806685936,-0.04682544080668627,-0.24650918061918925,-0.04682544080668627
2024-08-31,-0.08405587612648258,-0.0840558761264828,-0.3234933509384137,-0.08405587612648269
2024-09-30,-0.04337336257462332,-0.0433733625746231,-0.2989422060290782,-0.043373362574622876
2024-10-31,-0.02728424550216313,-0.02728424550216324,-0.309386122100498,-0.02728424550216324
2024-11-30,-0.02528267343965518,-0.02528267343965529,-0.3668375881701803,-0.025282673439655512
2024-12-31,-0.03571834103649374,-0.03571834103649352,-0.3915475759094994,-0.035718341036493406
2025-01-31,-0.0417338771661937,-0.04173387716619392,-0.3915475759094994,-0.04173387716619348
2025-02-28,-0.045486592667820624,-0.0454865926678204,-0.3793911355773193,-0.0454865926678204
2025-03-31,-0.10035401835085767,-0.10035401835085767,-0.36312960085775137,-0.10035401835085789
2025-04-30,-0.18755234489427297,-0.18755234489427308,-0.41831259276173083,-0.1875523448942732
2025-05-31,-0.08611083905073624,-0.08611083905073613,-0.32646669016216856,-0.08611083905073702
2025-06-30,-0.030079962792268877,-0.0300799627922691,-0.26398685575581904,-0.03007996279226921
2025-07-31,-0.007995625508040782,-0.007995625508040782,-0.16016817484624513,-0.007995625508040671
2025-08-31,-0.02414078849422041,-0.024140788494220522,-0.16573760157254414,-0.02414078849422041
2025-09-30,-0.013329794393760586,-0.013329794393760475,-0.15199769677896535,-0.013329794393760475
2025-10-31,-0.025007051333709507,-0.025007051333709618,-0.051673558129030184,-0.02984653787017777
2025-11-30,-0.12297120220729718,-0.12297120220729729,-0.12297120220729718,-0.050713459624278756
2025-12-31,-0.08790267825094122,-0.08790267825094167,-0.08790267825094156,-0.02578460380073111
2026-01-31,-0.010705802447362078,-0.010705802447361967,-0.01070580244736219,-0.025289130990863273
2026-02-28,-0.07910330668180077,-0.07910330668180043,-0.07910330668180077,-0.025694082722464207
2026-03-31,-0.2582186967661142,-0.2582186967661144,-0.2582186967661142,-0.08884968175523733
2026-04-30,-0.22554624973682125,-0.2255462497368217,-0.22554624973682125,-0.05529987987301277
2026-05-31,-0.10442408224777178,-0.10442408224777167,-0.10442408224777178,-0.019300423939143996
2026-06-30,-0.1676259255799215,-0.16762592557992173,-0.16762592557992173,-0.04494652583696368
2026-07-31,-0.36002734020569094,-0.36002734020569094,-0.36002734020569105,-0.03716674466400338
2026-08-31,-0.26969274245446273,-0.26969274245446273,-0.26969274245446284,-0.019643170156015244
