Date,From,To,SignalDate,CostRate
2010-03-02,,KODEX200_TR_KRW,2010-02-28,0.0005
2011-10-04,KODEX200_TR_KRW,SPY_TR_KRW,2011-09-30,0.001
2012-03-02,SPY_TR_KRW,KODEX200_TR_KRW,2012-02-29,0.001
2012-04-02,KODEX200_TR_KRW,SPY_TR_KRW,2012-03-31,0.001
2013-01-02,SPY_TR_KRW,KODEX200_TR_KRW,2012-12-31,0.001
2013-02-01,KODEX200_TR_KRW,SPY_TR_KRW,2013-01-31,0.001
2014-08-01,SPY_TR_KRW,KODEX200_TR_KRW,2014-07-31,0.001
2014-09-02,KODEX200_TR_KRW,SPY_TR_KRW,2014-08-31,0.001
2016-08-01,SPY_TR_KRW,KODEX200_TR_KRW,2016-07-31,0.001
2016-11-01,KODEX200_TR_KRW,SPY_TR_KRW,2016-10-31,0.001
2017-02-01,SPY_TR_KRW,KODEX200_TR_KRW,2017-01-31,0.001
2018-06-01,KODEX200_TR_KRW,SPY_TR_KRW,2018-05-31,0.001
2020-08-03,SPY_TR_KRW,KODEX200_TR_KRW,2020-07-31,0.001
2021-10-01,KODEX200_TR_KRW,SPY_TR_KRW,2021-09-30,0.001
2023-10-04,SPY_TR_KRW,KODEX200_TR_KRW,2023-09-30,0.001
2023-11-01,KODEX200_TR_KRW,SPY_TR_KRW,2023-10-31,0.001
2025-09-02,SPY_TR_KRW,KODEX200_TR_KRW,2025-08-31,0.001
