Date,From,To,SignalDate,CostRate
2010-03-02,,KODEX200_TR,2010-02-28,0.0005
2010-05-03,KODEX200_TR,SPY_TR_USD,2010-04-30,0.001
2010-06-01,SPY_TR_USD,KODEX200_TR,2010-05-31,0.001
2011-07-01,KODEX200_TR,SPY_TR_USD,2011-06-30,0.001
2011-08-01,SPY_TR_USD,KODEX200_TR,2011-07-31,0.001
2011-09-01,KODEX200_TR,SPY_TR_USD,2011-08-31,0.001
2012-03-02,SPY_TR_USD,KODEX200_TR,2012-02-29,0.001
2012-04-02,KODEX200_TR,SPY_TR_USD,2012-03-31,0.001
2016-03-02,SPY_TR_USD,KODEX200_TR,2016-02-29,0.001
2016-04-01,KODEX200_TR,SPY_TR_USD,2016-03-31,0.001
2016-09-01,SPY_TR_USD,KODEX200_TR,2016-08-31,0.001
2016-10-04,KODEX200_TR,SPY_TR_USD,2016-09-30,0.001
2017-05-02,SPY_TR_USD,KODEX200_TR,2017-04-30,0.001
2018-02-01,KODEX200_TR,SPY_TR_USD,2018-01-31,0.001
2018-03-06,SPY_TR_USD,KODEX200_TR,2018-02-28,0.001
2018-06-01,KODEX200_TR,SPY_TR_USD,2018-05-31,0.001
2020-08-03,SPY_TR_USD,KODEX200_TR,2020-07-31,0.001
2020-09-01,KODEX200_TR,SPY_TR_USD,2020-08-31,0.001
2020-10-05,SPY_TR_USD,KODEX200_TR,2020-09-30,0.001
2021-11-01,KODEX200_TR,SPY_TR_USD,2021-10-31,0.001
2025-08-01,SPY_TR_USD,KODEX200_TR,2025-07-31,0.001
