Date,From,To,SignalDate,CostRate
2002-04-01,,Korea_TR_USD,2002-03-31,0.0005
2003-04-01,Korea_TR_USD,SPY_TR_USD,2003-03-31,0.001
2003-11-03,SPY_TR_USD,Korea_TR_USD,2003-10-31,0.001
2004-08-02,Korea_TR_USD,SPY_TR_USD,2004-07-31,0.001
2004-09-01,SPY_TR_USD,Korea_TR_USD,2004-08-31,0.001
2007-01-03,Korea_TR_USD,SPY_TR_USD,2006-12-31,0.001
2007-04-02,SPY_TR_USD,Korea_TR_USD,2007-03-31,0.001
2007-05-01,Korea_TR_USD,SPY_TR_USD,2007-04-30,0.001
2007-06-01,SPY_TR_USD,Korea_TR_USD,2007-05-31,0.001
2008-08-01,Korea_TR_USD,SPY_TR_USD,2008-07-31,0.001
2009-08-03,SPY_TR_USD,Korea_TR_USD,2009-07-31,0.001
2011-10-03,Korea_TR_USD,SPY_TR_USD,2011-09-30,0.001
2012-03-01,SPY_TR_USD,Korea_TR_USD,2012-02-29,0.001
2012-04-02,Korea_TR_USD,SPY_TR_USD,2012-03-31,0.001
2013-01-02,SPY_TR_USD,Korea_TR_USD,2012-12-31,0.001
2013-02-01,Korea_TR_USD,SPY_TR_USD,2013-01-31,0.001
2014-08-01,SPY_TR_USD,Korea_TR_USD,2014-07-31,0.001
2014-09-02,Korea_TR_USD,SPY_TR_USD,2014-08-31,0.001
2016-08-01,SPY_TR_USD,Korea_TR_USD,2016-07-31,0.001
2016-11-01,Korea_TR_USD,SPY_TR_USD,2016-10-31,0.001
2017-03-01,SPY_TR_USD,Korea_TR_USD,2017-02-28,0.001
2018-06-01,Korea_TR_USD,SPY_TR_USD,2018-05-31,0.001
2020-08-03,SPY_TR_USD,Korea_TR_USD,2020-07-31,0.001
2021-11-01,Korea_TR_USD,SPY_TR_USD,2021-10-31,0.001
2023-08-01,SPY_TR_USD,Korea_TR_USD,2023-07-31,0.001
2023-09-01,Korea_TR_USD,SPY_TR_USD,2023-08-31,0.001
2023-10-02,SPY_TR_USD,Korea_TR_USD,2023-09-30,0.001
2023-12-01,Korea_TR_USD,SPY_TR_USD,2023-11-30,0.001
2025-10-01,SPY_TR_USD,Korea_TR_USD,2025-09-30,0.001
