Date,Strategy_Gross,Strategy_Net,KOSPI,SP500
2021-01-31,-0.0725399580553383,-0.0725399580553383,-0.0725399580553383,-0.03660361503347831
2021-02-28,-0.06669076563030729,-0.06669076563030729,-0.06669076563030729,-0.03143215166236224
2021-03-31,-0.07817724580008034,-0.07817724580008034,-0.07817724580008034,-0.042278854262786214
2021-04-30,-0.03789042658281894,-0.037890426582818715,-0.037890426582818715,-0.01207278294761105
2021-05-31,-0.0391438155910504,-0.0391438155910504,-0.0391438155910504,-0.040060495837450305
2021-06-30,-0.011556480046848061,-0.011556480046848283,-0.011556480046848283,-0.02084526022982036
2021-07-31,-0.03112964077925462,-0.03112964077925462,-0.031129640779254397,-0.02876859662247888
2021-08-31,-0.07403463017478462,-0.07403463017478462,-0.07403463017478451,-0.017733277845877637
2021-09-30,-0.07410724280756742,-0.07410724280756753,-0.07410724280756742,-0.05056483901609121
2021-10-31,-0.12008314146453636,-0.12008314146453636,-0.12008314146453625,-0.05212537590104871
2021-11-30,-0.10567035250305845,-0.10656468215055559,-0.14105003918056624,-0.029235597512293432
2021-12-31,-0.11623702490160959,-0.11712078787670799,-0.12268206861288677,-0.04070536086630072
2022-01-31,-0.15276418796070013,-0.15361142377273973,-0.20897915714886495,-0.09799737462404645
2022-02-28,-0.17254435614225372,-0.17337181178611172,-0.19859857618729215,-0.11905616767387506
2022-03-31,-0.1832754903680197,-0.18409221487765193,-0.2068491865872364,-0.13048098129406915
2022-04-30,-0.19086760289283533,-0.19167673528994256,-0.2015454388677269,-0.13856386132843612
2022-05-31,-0.23613046187993292,-0.23689433141805294,-0.2284665724719458,-0.18675259114630394
2022-06-30,-0.2819572719466309,-0.28267531467468443,-0.29979638207557135,-0.23554172683365304
2022-07-31,-0.2577514551181953,-0.2584937036630771,-0.3065463313980049,-0.20977120342286315
2022-08-31,-0.22551483340258283,-0.22628931856918044,-0.26573803177407784,-0.17545074976929975
2022-09-30,-0.29784839600126145,-0.29855054760526023,-0.3478508173459478,-0.2524600811026374
2022-10-31,-0.2995305440799104,-0.3002310135358307,-0.3478508173459478,-0.2542509661923039
2022-11-30,-0.2715551091839653,-0.27228355407478144,-0.29530347542213653,-0.22446714997065664
2022-12-31,-0.25915354000387214,-0.2598943864638684,-0.3233712835190502,-0.21126392154207996
2023-01-31,-0.25428140618130435,-0.25502712477512324,-0.3287325162395127,-0.2060768444182257
2023-02-28,-0.21711958938947284,-0.2186845673302833,-0.27307493321150533,-0.17231516116438828
2023-03-31,-0.22978313746438805,-0.232091478171624,-0.2893129332175566,-0.1961405751904518
2023-04-30,-0.1897857032486674,-0.1922139163062454,-0.2559534795065971,-0.15439607954716084
2023-05-31,-0.18874097558471503,-0.19117231969214654,-0.25105515232012476,-0.15330571887099664
2023-06-30,-0.15681972220543183,-0.1593467343411623,-0.22848472563014144,-0.11999016629247328
2023-07-31,-0.1212768405443464,-0.1239103747319582,-0.23735556893510545,-0.08289479510818853
2023-08-31,-0.1271177957705737,-0.12973382460953153,-0.24225692164794366,-0.08899087938896633
2023-09-30,-0.14633050430034056,-0.14888895263262192,-0.25482193264573205,-0.10904278629857111
2023-10-31,-0.1775245644111526,-0.17998952411408775,-0.3107881193630663,-0.14159938228843394
2023-11-30,-0.15345583763121962,-0.1559929313323828,-0.3036569537185231,-0.11647934946868965
2023-12-31,-0.09123538493404104,-0.09395895339415838,-0.24601765092081884,-0.05154114861979431
2024-01-31,-0.06340111280871163,-0.06620810061022286,-0.26301203251835725,-0.02249109392870363
2024-02-29,-0.01995191243673944,-0.022889117535214498,-0.23077202356279924,-0.014610233020612817
2024-03-31,-0.01137419991369415,-0.01137419991369415,-0.20081023596080128,-0.011374199913694372
2024-04-30,-0.054644268434943744,-0.054644268434943744,-0.21814952756405792,-0.05464426843494352
2024-05-31,-0.044907544520634834,-0.044907544520634946,-0.20264067941220065,-0.044907544520634834
2024-06-30,-0.007142891224350967,-0.007142891224351078,-0.1945746261205793,-0.007142891224351078
2024-07-31,-0.04728613269924775,-0.047286132699247974,-0.17988569561389434,-0.04728613269924775
2024-08-31,-0.08485144350207374,-0.08485144350207385,-0.26130261012159584,-0.08485144350207363
2024-09-30,-0.04566280782731924,-0.04566280782731924,-0.23957327976134646,-0.04566280782731902
2024-10-31,-0.02714896638404407,-0.027148966384044182,-0.22663007796781431,-0.027148966384044293
2024-11-30,-0.025914498598100133,-0.025914498598100133,-0.26877263471912516,-0.025914498598100244
2024-12-31,-0.03664696978795512,-0.03664696978795512,-0.2858002971066891,-0.03664696978795501
2025-01-31,-0.043221397347668056,-0.043221397347667945,-0.2741943779669068,-0.043221397347667945
2025-02-28,-0.045991729143393445,-0.04599172914339322,-0.2575509574278184,-0.045991729143393334
2025-03-31,-0.10133702671788514,-0.10133702671788525,-0.2493306022915337,-0.10133702671788514
2025-04-30,-0.1890220618428402,-0.1890220618428401,-0.30603501744215955,-0.1890220618428401
2025-05-31,-0.08789007010050454,-0.08789007010050454,-0.2264909037549806,-0.08789007010050465
2025-06-30,-0.03388751320310035,-0.03388751320310013,-0.18341951040932336,-0.03388751320310024
2025-07-31,-0.008572555644746127,-0.008572555644746016,-0.07591953310077115,-0.008572555644746016
2025-08-31,-0.04390357280154056,-0.044859669228739185,-0.05621427987934202,-0.023750503295482117
