Date,Strategy_Gross,Strategy_Net,KOSPI,SP500
1996-06-30,-0.02429099170073379,-0.024290991700733677,-0.10492198193265811,-0.02429099170073379
1996-07-31,-0.07633685785179889,-0.07633685785179878,-0.11902545852723789,-0.07633685785179889
1996-08-31,-0.04189019339644673,-0.04189019339644673,-0.17508896797153017,-0.04189019339644673
1996-09-30,-0.042745121006488196,-0.042745121006488196,-0.16851902545852726,-0.042745121006488085
1996-10-31,-0.019076555835335185,-0.019076555835334963,-0.1709937038050916,-0.019076555835335185
1996-11-30,-0.009918105456130144,-0.009918105456130144,-0.21601970982753904,-0.009918105456130144
1996-12-31,-0.047620368324897355,-0.04762036832489758,-0.28692033944702977,-0.047620368324897355
1997-01-31,-0.026976789825357117,-0.026976789825356895,-0.330906104571585,-0.026976789825356895
1997-02-28,-0.031202111245658082,-0.031202111245658193,-0.2670024637284424,-0.031202111245658082
1997-03-31,-0.07248647478577053,-0.07248647478577053,-0.3241062140706269,-0.07248647478577053
1997-04-30,-0.09633825690635511,-0.09633825690635522,-0.26308239802901723,-0.09633825690635511
1997-05-31,-0.021756911402229462,-0.021756911402229684,-0.26405693950177933,-0.021756911402229462
1997-06-30,-0.022343403601977507,-0.022343403601977507,-0.19142622502053108,-0.022343403601977507
1997-07-31,-0.02525120248553747,-0.025251202485537583,-0.20505885573501226,-0.025251202485537583
1997-08-31,-0.06336433288591248,-0.06336433288591248,-0.23857651245551603,-0.06336433288591248
1997-09-30,-0.06336433288591248,-0.06336433288591248,-0.31555433889953455,-0.06336433288591248
1997-10-31,-0.10795223920774999,-0.10795223920774999,-0.48448946071721866,-0.10795223920774999
1997-11-30,-0.07848479689942023,-0.07848479689942023,-0.553397207774432,-0.07848479689942023
1997-12-31,-0.05193178113356678,-0.05193178113356678,-0.6160087599233506,-0.05193178113356678
1998-01-31,-0.05702434141322221,-0.05702434141322199,-0.5879441554886394,-0.05702434141322199
1998-02-28,-0.007301477592359662,-0.007301477592359662,-0.4834601697235149,-0.007301477592359662
1998-03-31,-0.016130843888965574,-0.016130843888965574,-0.4732658089241718,-0.016130843888965463
1998-04-30,-0.04018438280930814,-0.04018438280930803,-0.559386805365453,-0.04018438280930803
1998-05-31,-0.03513373379183926,-0.03513373379183948,-0.6583739392280317,-0.03513373379183926
1998-06-30,-0.047349078712209836,-0.047349078712209725,-0.693402682726526,-0.047349078712209836
1998-07-31,-0.055681446011954905,-0.055681446011954794,-0.6700027374760471,-0.055681446011955016
1998-08-31,-0.1933599921661049,-0.1933599921661049,-0.681193539556529,-0.193359992166105
1998-09-30,-0.1793637963779755,-0.1793637963779755,-0.6803394470298385,-0.1793637963779755
1998-10-31,-0.19153991789222136,-0.19153991789222136,-0.6657870243635369,-0.19153991789222147
1998-11-30,-0.06396463802796493,-0.06396463802796493,-0.5612373391732823,-0.06396463802796504
1998-12-31,-0.04288242916583018,-0.04288242916583018,-0.5116780728168628,-0.04288242916583018
1999-01-31,-0.17118339964115759,-0.17118339964115759,-0.41830823980290166,-0.04932987169544267
1999-02-28,-0.15196360354999439,-0.15408369454111903,-0.45423487544483987,-0.04962333099394811
1999-03-31,-0.1454367167172652,-0.1475731249254718,-0.43053928278127573,-0.04230878530577342
1999-04-30,-0.07705119426556117,-0.08166016986419711,-0.30261155214891866,-0.050896877122941886
1999-05-31,-0.1457064256238947,-0.14570642562389458,-0.23832466465918423,-0.06299542303293781
1999-06-30,-0.07432697976026725,-0.07432697976026714,-0.1746838215165617,-0.054052502835834404
1999-07-31,-0.150778749525746,-0.15077874952574577,-0.150778749525746,-0.06347711183838878
1999-08-31,-0.15467006508225278,-0.15467006508225267,-0.15467006508225267,-0.0968085064278823
1999-09-30,-0.1865399394900431,-0.1865399394900431,-0.18653993949004322,-0.10601363923499008
1999-10-31,-0.22995729281176758,-0.22995729281176736,-0.22995729281176747,-0.12078686729338572
1999-11-30,-0.14726683723599876,-0.14726683723599865,-0.14726683723599865,-0.0500712144205373
1999-12-31,-0.07720370064109439,-0.07720370064109427,-0.07720370064109416,-0.02102142179332711
2000-01-31,-0.16382761746487395,-0.16382761746487384,-0.16382761746487395,-0.07424874311404639
2000-02-29,-0.22664866294002117,-0.22664866294002117,-0.22664866294002117,-0.09248937529245371
2000-03-31,-0.21780102734552043,-0.21780102734552043,-0.21780102734552054,-0.07733878161157914
2000-04-30,-0.3465119353376642,-0.3465119353376642,-0.34651193533766433,-0.1118850292081357
2000-05-31,-0.35345498523137475,-0.3550713477682962,-0.38063718084302767,-0.10055908469879848
2000-06-30,-0.3216326953271318,-0.32332861358881393,-0.30267978546608254,-0.056289515056079376
2000-07-31,-0.3317930354774974,-0.3334635528888036,-0.345964269527119,-0.07042406939625434
2000-08-31,-0.323223341630377,-0.32491528327630104,-0.37105302915848315,-0.05850234221309247
2000-09-30,-0.3286494280158272,-0.33032780444578735,-0.4775929143375133,-0.06605084076083734
2000-10-31,-0.3741992212832642,-0.375763723230056,-0.5234079921438284,-0.12941742284314683
2000-11-30,-0.3811783262740064,-0.3827253804583213,-0.5191588608551141,-0.1391264027864887
2000-12-31,-0.40480737165126224,-0.40629535322213395,-0.5273077504154706,-0.17199794261178336
2001-01-31,-0.3960870521185951,-0.3975968344882984,-0.508092234476507,-0.159866672548572
2001-02-28,-0.4164783920658641,-0.41793719608569924,-0.45593178727904515,-0.18823407937631342
2001-03-31,-0.47406158058559567,-0.4753764266341316,-0.5059487838042,-0.26834091587660536
2001-04-30,-0.48080532576181234,-0.4821033124474078,-0.5361742710379211,-0.27772247508022085
2001-05-31,-0.41378177867713084,-0.41524732423043786,-0.4595105000755402,-0.18448268641963939
2001-06-30,-0.4313070944245767,-0.4327288266885151,-0.44924648738480133,-0.208863024488546
