period,series,method,start,end,final_multiple,final_asset_usd,cumulative_return,cagr,annualized_volatility,sharpe_rf0,mdd,mdd_date,MDD_source,max_recovery_days,max_recovery_months,max_recovery_peak,max_recovery_date,kr_index
from_2001,Strategy_Gross,KOSPI200_exact_daily_next_common_open,2001-01-31,2026-08-31,19.897162958818043,198971.62958818043,18.897162958818043,0.12357547979822714,0.2299315677934261,0.6202526204484647,-0.5546053411693488,2009-03-02,daily,2042,67.08829568788501,2007-10-11,2013-05-14,KOSPI200
from_2001,Strategy_Net,KOSPI200_exact_daily_next_common_open,2001-01-31,2026-08-31,19.250954533789752,192509.54533789752,18.250954533789752,0.12213108917293591,0.2299978660511178,0.6144920201740781,-0.5554956850923511,2009-03-02,daily,2043,67.1211498973306,2007-10-11,2013-05-15,KOSPI200
from_2001,KOSPI,KOSPI200_exact_daily_next_common_open,2001-01-31,2026-08-31,16.91949486977111,169194.9486977111,15.91949486977111,0.11650134113695398,0.2453618561357188,0.5698074525729709,-0.5291803529142158,2008-10-24,daily,2198,72.21355236139631,2011-05-02,2017-05-08,KOSPI200
from_2001,SP500,KOSPI200_exact_daily_next_common_open,2001-01-31,2026-08-31,5.821598423186073,58215.984231860726,4.821598423186073,0.0710428361099038,0.15081545906486732,0.5324341418054368,-0.5677538774277282,2009-03-09,daily,2092,68.73100616016427,2001-01-30,2006-10-23,KOSPI200
from_2021,Strategy_Gross,KOSPI200_exact_daily_next_common_open,2021-01-31,2026-08-31,3.386649032128441,33866.49032128441,2.386649032128441,0.2401918053244536,0.3273596579669215,0.814461599744024,-0.40937030367853133,2026-07-30,daily,999,32.82135523613963,2021-06-25,2024-03-20,KOSPI200
from_2021,Strategy_Net,KOSPI200_exact_daily_next_common_open,2021-01-31,2026-08-31,3.379879120713217,33798.79120713217,2.379879120713217,0.2397539488782361,0.3273944985690805,0.813307105284479,-0.4093703036785312,2026-07-30,daily,999,32.82135523613963,2021-06-25,2024-03-20,KOSPI200
from_2021,KOSPI,KOSPI200_exact_daily_next_common_open,2021-01-31,2026-08-31,2.753345834724755,27533.45834724755,1.753345834724755,0.19570071199711125,0.34401360998327885,0.6830563371524507,-0.40937030367853133,2026-07-30,daily,1537,50.496919917864474,2021-06-25,2025-09-09,KOSPI200
from_2021,SP500,KOSPI200_exact_daily_next_common_open,2021-01-31,2026-08-31,2.046325014398893,20463.25014398893,1.0463250143988931,0.1346916863899985,0.1509946692225099,0.9157031966617485,-0.25425096619230403,2022-10-12,daily,746,24.50924024640657,2022-01-03,2024-01-19,KOSPI200
longest,Strategy_Gross,KOSPI200_exact_daily_next_common_open,1996-02-29,2026-08-31,44.7053313097526,447053.313097526,43.7053313097526,0.13230311608213952,0.23437834786287012,0.6461795758483844,-0.5546053411693488,2009-03-02,daily,2086,68.53388090349075,2000-01-04,2005-09-20,KOSPI200
longest,Strategy_Net,KOSPI200_exact_daily_next_common_open,1996-02-29,2026-08-31,43.08066337469994,430806.6337469994,42.08066337469994,0.13093338902596274,0.2344143122458583,0.6409033005131888,-0.5554956850923511,2009-03-02,daily,2087,68.56673511293634,2000-01-04,2005-09-21,KOSPI200
longest,KOSPI,KOSPI200_exact_daily_next_common_open,1996-02-29,2026-08-31,10.760465816685072,107604.65816685071,9.760465816685072,0.08078260376899271,0.296220591102942,0.4035763734538206,-0.7091597547782186,1998-06-16,daily,2198,72.21355236139631,2011-05-02,2017-05-08,KOSPI200
longest,SP500,KOSPI200_exact_daily_next_common_open,1996-02-29,2026-08-31,12.038561338532688,120385.61338532688,11.038561338532688,0.08475619533080625,0.15262645050333973,0.6118309454048425,-0.5677538774277282,2009-03-09,daily,2623,86.17659137577002,2000-03-24,2007-05-30,KOSPI200
