period,series,method,start,end,final_multiple,final_asset_usd,cumulative_return,cagr,annualized_volatility,sharpe_rf0,mdd,mdd_date,MDD_source,max_recovery_days,max_recovery_months,max_recovery_peak,max_recovery_date
book_validation,Strategy_Gross,monthly_proxy_book_convention,1982-02-28,2021-12-31,175.13689707993927,1751368.9707993928,174.13689707993927,0.1381553070738828,0.1862275095595111,0.7904267605163419,-0.5396472950764761,2009-02-28,monthly_fallback,2253,74.02053388090349,2007-10-31,2013-12-31
book_validation,Strategy_Net,monthly_proxy_book_convention,1982-02-28,2021-12-31,167.0084310411374,1670084.310411374,166.0084310411374,0.13680105826983402,0.1862352948299629,0.7839511782288179,-0.5405675401336184,2009-02-28,monthly_fallback,2343,76.97741273100615,2007-10-31,2014-03-31
book_validation,KOSPI,monthly_proxy_book_convention,1982-02-28,2021-12-31,23.697274809945004,236972.74809945005,22.697274809945004,0.08252817476097962,0.24483775545092104,0.44314805814298786,-0.7312346555750736,1998-06-30,monthly_fallback,3896,128.0,1994-11-30,2005-07-31
book_validation,SP500,monthly_proxy_book_convention,1982-02-28,2021-12-31,37.83068410443874,378306.8410443874,36.83068410443874,0.09528831844102204,0.13901082143378582,0.7274079666492125,-0.5255585947031326,2009-02-28,monthly_fallback,2464,80.95277207392198,2000-08-31,2007-05-31
from_2001,Strategy_Gross,exact_daily_next_common_open,2001-01-31,2026-08-31,15.468119141044369,154681.1914104437,14.468119141044369,0.11260682866358174,0.21900709076952313,0.5963425212723347,-0.5592729847156439,2009-03-02,daily,2245,73.75770020533881,2007-10-31,2013-12-23
from_2001,Strategy_Net,exact_daily_next_common_open,2001-01-31,2026-08-31,14.965754611539687,149657.54611539686,13.965754611539687,0.11117653857461907,0.2190526800806002,0.590342576651294,-0.5601539980191975,2009-03-02,daily,2248,73.85626283367556,2007-10-31,2013-12-26
from_2001,KOSPI,exact_daily_next_common_open,2001-01-31,2026-08-31,13.515159922317785,135151.59922317785,12.515159922317785,0.10677150285658077,0.2343549879700271,0.5494888996365733,-0.5453664915127007,2008-10-24,daily,2194,72.08213552361396,2011-05-02,2017-05-04
from_2001,SP500,exact_daily_next_common_open,2001-01-31,2026-08-31,5.821598423186073,58215.984231860726,4.821598423186073,0.0710428361099038,0.1508154590648673,0.5324341418054372,-0.5677538774277282,2009-03-09,daily,2092,68.73100616016427,2001-01-30,2006-10-23
from_2021,Strategy_Gross,exact_daily_next_common_open,2021-01-31,2026-08-31,3.0689903958381493,30689.903958381492,2.0689903958381493,0.21882228850446417,0.29703360551970215,0.8112845874919973,-0.38630431562721135,2026-07-30,daily,948,31.145790554414784,2021-07-06,2024-02-09
from_2021,Strategy_Net,exact_daily_next_common_open,2021-01-31,2026-08-31,3.0567328359242794,30567.328359242794,2.0567328359242794,0.21796181678368343,0.2970768300916111,0.8087855527346094,-0.38630431562721135,2026-07-30,daily,948,31.145790554414784,2021-07-06,2024-02-09
from_2021,KOSPI,exact_daily_next_common_open,2021-01-31,2026-08-31,2.373443954521885,23734.43954521885,1.373443954521885,0.16477851055211468,0.3138232414232764,0.6374909364148873,-0.38630431562721135,2026-07-30,daily,1527,50.168377823408626,2021-07-06,2025-09-10
from_2021,SP500,exact_daily_next_common_open,2021-01-31,2026-08-31,2.046325014398893,20463.25014398893,1.0463250143988931,0.1346916863899985,0.15099466922250984,0.9157031966617484,-0.2542509661923039,2022-10-12,daily,746,24.50924024640657,2022-01-03,2024-01-19
longest,Strategy_Gross,exact_daily_next_common_open,1996-06-30,2026-08-31,30.799880210716914,307998.8021071691,29.799880210716914,0.11997475197362406,0.22439053005319134,0.6170066753988046,-0.5592729847156439,2009-03-02,daily,2245,73.75770020533881,2007-10-31,2013-12-23
longest,Strategy_Net,exact_daily_next_common_open,1996-06-30,2026-08-31,29.68056006889527,296805.6006889527,28.68056006889527,0.11860501837830473,0.22440638654206765,0.611481928397762,-0.5601539980191974,2009-03-02,daily,2248,73.85626283367556,2007-10-31,2013-12-26
longest,KOSPI,exact_daily_next_common_open,1996-06-30,2026-08-31,7.601279507813023,76012.79507813022,6.601279507813023,0.06935085636807803,0.28280843916666487,0.373749018735398,-0.693402682726526,1998-06-16,daily,2194,72.08213552361396,2011-05-02,2017-05-04
longest,SP500,exact_daily_next_common_open,1996-06-30,2026-08-31,11.511712528506246,115117.12528506246,10.511712528506246,0.08412411817233667,0.15343487328521999,0.6055913889004582,-0.5677538774277282,2009-03-09,daily,2623,86.17659137577002,2000-03-24,2007-05-30
