Date,From,To,SignalDate,CostRate
1996-06-03,,SP500,1996-05-31,0.00125
1999-01-04,SP500,KOSPI,1998-12-31,0.0025
1999-02-01,KOSPI,SP500,1999-01-31,0.0025
1999-04-01,SP500,KOSPI,1999-03-31,0.0025
2000-05-02,KOSPI,SP500,2000-04-30,0.0025
2001-09-04,SP500,KOSPI,2001-08-31,0.0025
2003-03-03,KOSPI,SP500,2003-02-28,0.0025
2003-11-03,SP500,KOSPI,2003-10-31,0.0025
2003-12-01,KOSPI,SP500,2003-11-30,0.0025
2004-01-02,SP500,KOSPI,2003-12-31,0.0025
2004-08-02,KOSPI,SP500,2004-07-31,0.0025
2004-10-01,SP500,KOSPI,2004-09-30,0.0025
2004-11-01,KOSPI,SP500,2004-10-31,0.0025
2005-01-03,SP500,KOSPI,2004-12-31,0.0025
2006-12-01,KOSPI,SP500,2006-11-30,0.0025
2007-06-01,SP500,KOSPI,2007-05-31,0.0025
2008-08-01,KOSPI,SP500,2008-07-31,0.0025
2009-02-02,SP500,KOSPI,2009-01-31,0.0025
2010-03-02,KOSPI,SP500,2010-02-28,0.0025
2010-07-01,SP500,KOSPI,2010-06-30,0.0025
2011-07-01,KOSPI,SP500,2011-06-30,0.0025
2011-08-01,SP500,KOSPI,2011-07-31,0.0025
2011-09-01,KOSPI,SP500,2011-08-31,0.0025
2012-03-02,SP500,KOSPI,2012-02-29,0.0025
2012-04-02,KOSPI,SP500,2012-03-31,0.0025
2015-11-02,SP500,KOSPI,2015-10-31,0.0025
2015-12-01,KOSPI,SP500,2015-11-30,0.0025
2016-01-04,SP500,KOSPI,2015-12-31,0.0025
2016-04-01,KOSPI,SP500,2016-03-31,0.0025
2017-06-01,SP500,KOSPI,2017-05-31,0.0025
2018-06-01,KOSPI,SP500,2018-05-31,0.0025
2020-08-03,SP500,KOSPI,2020-07-31,0.0025
2020-09-01,KOSPI,SP500,2020-08-31,0.0025
2020-11-02,SP500,KOSPI,2020-10-31,0.0025
2021-11-01,KOSPI,SP500,2021-10-31,0.0025
2023-02-01,SP500,KOSPI,2023-01-31,0.0025
2023-03-02,KOSPI,SP500,2023-02-28,0.0025
2025-08-01,SP500,KOSPI,2025-07-31,0.0025
