Year,SignalDate,Selected,EligibleCount,Scores_Selected
1991,1990-12-31,,0,
1992,1991-12-31,,0,
1993,1992-12-31,"AAPL,MSFT,ORCL",3,AAPL:1.271;MSFT:1.740;ORCL:1.861
1994,1993-12-31,"AAPL,MSFT,ORCL",3,AAPL:0.588;MSFT:1.044;ORCL:3.108
1995,1994-12-30,"AAPL,MSFT,ORCL",3,AAPL:0.945;MSFT:1.442;ORCL:1.815
1996,1995-12-29,"AAPL,MSFT,ORCL",3,AAPL:0.868;MSFT:1.690;ORCL:1.711
1997,1996-12-31,"AAPL,ORCL,MSFT",3,AAPL:0.624;ORCL:1.632;MSFT:1.906
1998,1997-12-31,"AAPL,ORCL,MSFT",3,AAPL:0.530;ORCL:0.951;MSFT:2.147
1999,1998-12-31,"ASML,ORCL,AAPL,MSFT",4,ASML:1.384;ORCL:1.616;AAPL:1.715;MSFT:2.154
2000,1999-12-31,"MSFT,ASML,AAPL,ORCL",4,MSFT:2.347;ASML:2.871;AAPL:3.374;ORCL:4.977
2001,2000-12-29,"AMZN,MSFT,AAPL,TSM",6,AMZN:0.342;MSFT:0.615;AAPL:0.699;TSM:0.940
2002,2001-12-31,"AMZN,ASML,ORCL,MSFT",6,AMZN:0.248;ASML:0.746;ORCL:0.814;MSFT:0.931
2003,2002-12-31,"NVDA,ASML,TSM,ORCL",7,NVDA:0.365;ASML:0.374;TSM:0.494;ORCL:0.659
2004,2003-12-31,"TSM,NVDA,MSFT,ORCL",7,TSM:0.924;NVDA:0.996;MSFT:1.008;ORCL:1.062
2005,2004-12-31,"TSM,ASML,MSFT,ORCL",7,TSM:1.023;ASML:1.078;MSFT:1.119;ORCL:1.152
2006,2005-12-30,"ORCL,MSFT,AMZN,TSM",7,ORCL:0.984;MSFT:1.068;AMZN:1.151;TSM:1.248
2007,2006-12-29,"AMZN,MSFT,ORCL,TSM",7,AMZN:1.009;MSFT:1.200;ORCL:1.319;TSM:1.375
2008,2007-12-31,"TSM,MSFT,ASML,ORCL",8,TSM:1.099;MSFT:1.346;ASML:1.409;ORCL:1.549
2009,2008-12-31,"NVDA,GOOGL,MSFT,ASML",8,NVDA:0.397;GOOGL:0.656;MSFT:0.706;ASML:0.740
2010,2009-12-31,"NVDA,MSFT,ORCL,TSM",8,NVDA:1.034;MSFT:1.130;ORCL:1.231;TSM:1.236
2011,2010-12-31,"MSFT,NVDA,GOOGL,TSM",8,MSFT:1.104;NVDA:1.215;GOOGL:1.219;TSM:1.329
2012,2011-12-30,"NVDA,MSFT,ORCL,GOOGL",8,NVDA:1.002;MSFT:1.035;ORCL:1.044;GOOGL:1.217
2013,2012-12-31,"NVDA,MSFT,AVGO,ORCL",9,NVDA:0.867;MSFT:1.014;AVGO:1.022;ORCL:1.157
2014,2013-12-31,"NVDA,ORCL,TSM,AAPL",9,NVDA:1.132;ORCL:1.216;TSM:1.247;AAPL:1.263
2015,2014-12-31,"AMZN,GOOGL,TSM,ASML",9,AMZN:1.101;GOOGL:1.210;TSM:1.314;ASML:1.340
2016,2015-12-31,"ORCL,ASML,AAPL,TSM",10,ORCL:0.960;ASML:0.978;AAPL:1.151;TSM:1.159
2017,2016-12-30,"ORCL,AAPL,ASML,GOOGL",10,ORCL:0.979;AAPL:1.098;ASML:1.170;GOOGL:1.306
2018,2017-12-29,"ORCL,GOOGL,AAPL,META",10,ORCL:1.175;GOOGL:1.368;AAPL:1.469;META:1.500
2019,2018-12-31,"META,NVDA,ORCL,AAPL",10,META:0.884;NVDA:0.913;ORCL:1.015;AAPL:1.060
2020,2019-12-31,"ORCL,AMZN,META,GOOGL",10,ORCL:1.107;AMZN:1.153;META:1.189;GOOGL:1.228
2021,2020-12-31,"ORCL,GOOGL,META,MSFT",10,ORCL:1.248;GOOGL:1.455;META:1.461;MSFT:1.670
2022,2021-12-31,"AMZN,META,ORCL,MSFT",10,AMZN:1.141;META:1.423;ORCL:1.593;MSFT:1.688
2023,2022-12-30,"META,AMZN,TSM,GOOGL",10,META:0.483;AMZN:0.544;TSM:0.822;GOOGL:0.846
2024,2023-12-29,"TSM,AMZN,GOOGL,ASML",10,TSM:1.061;AMZN:1.081;GOOGL:1.167;ASML:1.193
2025,2024-12-31,"ASML,MSFT,GOOGL,AAPL",10,ASML:1.047;MSFT:1.307;GOOGL:1.443;AAPL:1.455
2026,2025-12-31,"MSFT,AMZN,META,AAPL",10,MSFT:1.189;AMZN:1.269;META:1.320;AAPL:1.379
