,해자+과열회피,기존 해자기업 고정,NASDAQ 40%,S&P500 100%
1990-01-02,10000.0,10000.0,10000.0,10000.0
1990-01-03,9971.370686692579,9984.478773893336,9984.478773893336,9974.144605925412
1990-01-04,9984.10442335655,9983.317415112868,9983.317415112868,9888.23739924974
1990-01-05,10049.462545886821,10037.397383521557,10037.397383521557,9791.765403999654
1990-01-08,10050.773736911673,10040.595192905834,10040.595192905832,9835.970033739111
1990-01-09,10043.567281965494,10016.018656192262,10016.018656192262,9720.03649654235
1990-01-10,10087.490818904307,10005.99389390423,10005.993893904228,9655.814595935866
1990-01-11,10111.48045574367,10013.488344487376,10013.488344487378,9689.732725781634
1990-01-12,10144.126388845976,9965.187981352225,9965.187981352225,9450.637781659116
1990-01-15,10143.5415514982,9935.146981825195,9935.146981825195,9369.178951669574
1990-01-16,10123.54769331447,9945.685398968526,9945.685398968526,9473.435394010108
1990-01-17,10107.337952945569,9915.578339504797,9915.578339504797,9380.299469164343
1990-01-18,10131.369107183364,9928.315979465646,9928.315979465644,9402.263063914255
1990-01-19,10097.143041598269,9922.84972651791,9922.84972651791,9428.952475589927
1990-01-22,10081.662231699149,9826.4493410496,9826.4493410496,9185.131714541656
1990-01-23,10100.059603818154,9830.93759617521,9830.937596175208,9219.327284627048
1990-01-24,10195.513673583095,9884.620481578206,9884.620481578206,9181.795644137335
1990-01-25,10158.637223267513,9842.549913378672,9842.549913378672,9065.583818259847
1990-01-26,10177.779880574979,9826.885637156847,9826.885637156847,9057.799371169398
1990-01-29,10187.835635960222,9806.549251363327,9806.549251363323,9041.119019147793
1990-01-30,10184.808489917014,9738.228185318072,9738.22818531807,8979.39917134455
1990-01-31,10162.984664298137,9759.97130870273,9759.971308702732,9148.988972132276
1990-02-01,10170.108520071815,9783.66454149015,9783.66454149015,9140.9270848022
1990-02-02,10187.762771975013,9838.78742361198,9838.78742361198,9200.1448798022
1990-02-05,10230.229368520148,9900.45675616917,9900.45675616917,9226.000273876787
1990-02-06,10217.069127343697,9880.342224859947,9880.342224859947,9165.114443674627
1990-02-07,10238.87161194282,9925.67140440936,9925.67140440936,9278.823368307774
1990-02-08,10197.13869629052,9887.435702983556,9887.435702983556,9256.85977355786
1990-02-09,10179.842189957919,9882.345133624623,9882.345133624623,9275.209009222726
1990-02-12,10209.505223245902,9888.549668794854,9888.549668794856,9176.79069008975
1990-02-13,10204.9768397844,9877.946372479277,9877.946372479277,9202.924372845067
1990-02-14,10180.495618213405,9859.598932697829,9859.598932697829,9230.448650562916
1990-02-15,10197.373751941199,9901.766867460956,9901.766867460956,9310.517734031024
1990-02-16,10197.729736112078,9896.049567585032,9896.049567585034,9250.187632749215
1990-02-20,10229.592787703012,9879.241519577166,9879.241519577166,9118.685201371556
1990-02-21,10231.471107516843,9860.23096116483,9860.230961164832,9109.7892964404
1990-02-22,10215.295176714946,9854.523219448349,9854.523219448349,9055.019878126526
1990-02-23,10203.25111528038,9812.888578593687,9812.888578593687,9011.926706227778
1990-02-26,10173.483386881271,9793.645466157914,9793.645466157916,9137.591014397876
1990-02-27,10146.775132788114,9780.02166499915,9780.021664999147,9181.79564413733
1990-02-28,10149.394287851934,9809.656965152688,9809.656965152688,9227.112580158591
1990-03-01,10140.36719919629,9811.96585501881,9811.96585501881,9250.743361669567
1990-03-02,10132.475825188816,9836.30700132618,9836.30700132618,9328.58868101516
1990-03-05,10123.06090563397,9817.356575508304,9817.356575508304,9278.545079627043
1990-03-06,10140.736613895715,9852.457746273509,9852.457746273509,9395.03434574416
1990-03-07,10105.796231687022,9818.387375274971,9818.387375274971,9367.789205148136
1990-03-08,10108.827998374234,9855.381615286762,9855.381615286762,9460.09026395172
1990-03-09,10099.830018973533,9848.12286602289,9848.122866022888,9395.03434574416
1990-03-12,10119.12418842073,9863.028262310789,9863.028262310789,9415.60819397264
1990-03-13,10090.593844034238,9816.197339988985,9816.197339988988,9341.377233712092
1990-03-14,10103.415321490504,9842.071243328846,9842.071243328845,9365.56459258452
1990-03-15,10110.592341789272,9864.916317249124,9864.916317249124,9398.926993509933
1990-03-16,10120.775314950144,9909.927936352004,9909.927936352004,9505.68548865371
1990-03-19,10136.277232463119,9928.897549747197,9928.897549747197,9550.724135994244
1990-03-20,10119.39386293681,9886.750676227915,9886.750676227915,9496.2330063611
1990-03-21,10063.418783799074,9822.9261890676,9822.9261890676,9445.355387371905
1990-03-22,10064.959034319174,9781.783658327196,9781.783658327196,9332.758769020562
1990-03-23,10077.768304399451,9818.102856573683,9818.10285657368,9375.295363557858
1990-03-26,9907.540054130292,9658.318661188232,9658.318661188234,9386.694169733357
1990-03-27,9892.147535311222,9648.151182574564,9648.151182574564,9494.286682478212
1990-03-28,9923.75544124364,9654.498421738455,9654.498421738455,9508.18754145695
1990-03-29,9921.519566671102,9640.07022598917,9640.070225989168,9474.54770029191
1990-03-30,9900.483214386546,9619.036223829426,9619.036223829426,9450.916070339836
1990-04-02,9904.276233771434,9600.201782633902,9600.201782633902,9416.442211573716
1990-04-03,9955.412088964928,9689.663827835651,9689.663827835651,9553.782766158938
1990-04-04,9951.292737961632,9664.64540895901,9664.645408959008,9482.887876302711
1990-04-05,9984.002457274248,9679.250688127911,9679.250688127911,9472.879665089751
1990-04-06,9980.248238280721,9652.687607419472,9652.687607419472,9454.807869664512
1990-04-09,9977.258171917627,9641.013620886584,9641.013620886584,9490.672323393164
1990-04-10,9967.501653585208,9645.192551933096,9645.192551933094,9510.133865339838
1990-04-11,9963.752854259135,9654.51270614712,9654.51270614712,9505.963777334437
1990-04-12,9972.782508051472,9687.063841129497,9687.063841129497,9573.243459664513
1990-04-16,9978.829129406613,9693.13902493612,9693.13902493612,9584.36397715928
1990-04-17,9969.05956107398,9671.185647865372,9671.185647865374,9582.69594195712
1990-04-18,9976.211431910451,9643.508400251829,9643.50840025183,9472.601376409022
1990-04-19,9985.252891901626,9629.907504384206,9629.907504384206,9399.482722430284
1990-04-20,9988.651749414994,9604.569668873051,9604.569668873051,9316.911586158934
1990-04-23,9987.514579271654,9551.219369142756,9551.219369142756,9203.75839044614
1990-04-24,10000.67765277216,9555.682230841812,9555.682230841812,9184.575137180193
1990-04-25,9961.96709516365,9528.298369313274,9528.298369313274,9231.004379483262
1990-04-26,9964.615992071067,9534.432531702,9534.432531702,9255.748315717145
1990-04-27,9966.143143420195,9508.089366213711,9508.089366213711,9149.822989733346
1990-04-30,9941.761915977902,9499.38766919194,9499.38766919194,9196.807960956769
1990-05-01,9956.442503621856,9528.8740694494,9528.874069449395,9237.120791371548
1990-05-02,9958.74234219695,9545.094605052662,9545.094605052664,9299.118927855516
1990-05-03,9962.542436750791,9563.68807647773,9563.68807647773,9329.422698616234
1990-05-04,9974.609701819174,9602.743401688258,9602.743401688258,9407.82374688218
