,Moat_AntiOverheat_NAV
1990-01-02,10000.0
1990-01-03,9971.370686692579
1990-01-04,9984.10442335655
1990-01-05,10049.462545886821
1990-01-08,10050.773736911673
1990-01-09,10043.567281965494
1990-01-10,10087.490818904307
1990-01-11,10111.48045574367
1990-01-12,10144.126388845976
1990-01-15,10143.5415514982
1990-01-16,10123.54769331447
1990-01-17,10107.337952945569
1990-01-18,10131.369107183364
1990-01-19,10097.143041598269
1990-01-22,10081.662231699149
1990-01-23,10100.059603818154
1990-01-24,10195.513673583095
1990-01-25,10158.637223267513
1990-01-26,10177.779880574979
1990-01-29,10187.835635960222
1990-01-30,10184.808489917014
1990-01-31,10162.984664298137
1990-02-01,10170.108520071815
1990-02-02,10187.762771975013
1990-02-05,10230.229368520148
1990-02-06,10217.069127343697
1990-02-07,10238.87161194282
1990-02-08,10197.13869629052
1990-02-09,10179.842189957919
1990-02-12,10209.505223245902
1990-02-13,10204.9768397844
1990-02-14,10180.495618213405
1990-02-15,10197.373751941199
1990-02-16,10197.729736112078
1990-02-20,10229.592787703012
1990-02-21,10231.471107516843
1990-02-22,10215.295176714946
1990-02-23,10203.25111528038
1990-02-26,10173.483386881271
1990-02-27,10146.775132788114
1990-02-28,10149.394287851934
1990-03-01,10140.36719919629
1990-03-02,10132.475825188816
1990-03-05,10123.06090563397
1990-03-06,10140.736613895715
1990-03-07,10105.796231687022
1990-03-08,10108.827998374234
1990-03-09,10099.830018973533
1990-03-12,10119.12418842073
1990-03-13,10090.593844034238
1990-03-14,10103.415321490504
1990-03-15,10110.592341789272
1990-03-16,10120.775314950144
1990-03-19,10136.277232463119
1990-03-20,10119.39386293681
1990-03-21,10063.418783799074
1990-03-22,10064.959034319174
1990-03-23,10077.768304399451
1990-03-26,9907.540054130292
1990-03-27,9892.147535311222
1990-03-28,9923.75544124364
1990-03-29,9921.519566671102
1990-03-30,9900.483214386546
1990-04-02,9904.276233771434
1990-04-03,9955.412088964928
1990-04-04,9951.292737961632
1990-04-05,9984.002457274248
1990-04-06,9980.248238280721
1990-04-09,9977.258171917627
1990-04-10,9967.501653585208
1990-04-11,9963.752854259135
1990-04-12,9972.782508051472
1990-04-16,9978.829129406613
1990-04-17,9969.05956107398
1990-04-18,9976.211431910451
1990-04-19,9985.252891901626
1990-04-20,9988.651749414994
1990-04-23,9987.514579271654
1990-04-24,10000.67765277216
1990-04-25,9961.96709516365
1990-04-26,9964.615992071067
1990-04-27,9966.143143420195
1990-04-30,9941.761915977902
1990-05-01,9956.442503621856
1990-05-02,9958.74234219695
1990-05-03,9962.542436750791
1990-05-04,9974.609701819174
1990-05-07,9979.165376107805
1990-05-08,9975.808888429294
1990-05-09,9974.702599884493
1990-05-10,9987.12277872681
1990-05-11,9964.573178134508
1990-05-14,9972.438208358479
1990-05-15,9964.536115667948
1990-05-16,9981.826156514759
1990-05-17,9978.443671362724
1990-05-18,9985.211876582056
1990-05-21,10013.835319994638
1990-05-22,10030.394653915475
1990-05-23,9952.213610548735
1990-05-24,9968.75429648993
1990-05-25,9970.265420286885
1990-05-29,9985.381977928413
1990-05-30,9977.131846268443
1990-05-31,9953.470433885383
1990-06-01,9958.002901153974
1990-06-04,9914.418778064404
1990-06-05,9923.830074772897
1990-06-06,9935.873268548701
1990-06-07,9887.014524872078
1990-06-08,9893.79519719323
1990-06-11,9907.372207051596
1990-06-12,9916.791541661423
1990-06-13,9878.842776247942
1990-06-14,9845.393985113711
1990-06-15,9854.800714906018
1990-06-18,9877.02521431712
1990-06-19,9874.029135127235
1990-06-20,9862.400335249966
1990-06-21,9885.362203722483
1990-06-22,9876.74738909409
1990-06-25,9918.955832108488
1990-06-26,9890.045450542195
1990-06-27,9901.36290175331
1990-06-28,9915.308374861512
1990-06-29,9916.088507043341
1990-07-02,9959.784225321131
1990-07-03,9995.90399577711
1990-07-05,9981.662773829485
1990-07-06,9994.083728482196
1990-07-09,9991.92739754705
1990-07-10,9946.482164737292
1990-07-11,9950.285380923233
1990-07-12,9930.400819016062
1990-07-13,10023.279048033384
1990-07-16,10025.177092945725
1990-07-17,10007.516612486455
1990-07-18,9999.254941884294
1990-07-19,10022.560815015566
1990-07-20,10014.286096082591
1990-07-23,10057.132961466776
1990-07-24,10078.171050713692
1990-07-25,10110.121479047526
1990-07-26,10081.551767295394
1990-07-27,10068.02387205657
1990-07-30,10076.654941540815
1990-07-31,10115.744201183725
1990-08-01,10104.831807610055
1990-08-02,10181.875926358874
1990-08-03,10170.576440143737
1990-08-06,10199.379331347182
1990-08-07,10208.35627045048
1990-08-08,10221.106639764665
1990-08-09,10213.9344559526
1990-08-10,10258.64815798207
1990-08-13,10375.491932521361
1990-08-14,10431.111050432311
1990-08-15,10334.100854544482
1990-08-16,10367.170078180721
1990-08-17,10428.816929404054
1990-08-20,10411.873714938136
1990-08-21,10458.867998563299
1990-08-22,10422.41377784155
1990-08-23,10451.377337285108
1990-08-24,10437.0982915123
1990-08-27,10441.601902161807
1990-08-28,10277.32212291665
1990-08-29,10249.123029396696
1990-08-30,10291.598962848948
1990-08-31,10278.056221531493
1990-09-04,10236.246953145797
1990-09-05,10252.017187961845
1990-09-06,10285.077006432624
1990-09-07,10264.755638505721
1990-09-10,10268.460906932709
1990-09-11,10224.842343581859
1990-09-12,10253.026617911491
1990-09-13,10255.637399833664
1990-09-14,10287.191892905754
1990-09-17,10315.69173749621
1990-09-18,10291.612277375742
1990-09-19,10296.85642379732
1990-09-20,10301.72888834189
1990-09-21,10320.887367156769
1990-09-24,10349.399402546696
1990-09-25,10435.474389779352
1990-09-26,10429.0625264527
1990-09-27,10439.940227424508
1990-09-28,10474.858535234634
1990-10-01,10388.208181508777
1990-10-02,10326.115285303149
1990-10-03,10339.220574278783
1990-10-04,10388.410411119694
1990-10-05,10388.724373598905
1990-10-08,10356.907458361704
1990-10-09,10404.948983747581
1990-10-10,10367.302369090541
1990-10-11,10340.188323434033
1990-10-12,10343.509768391796
1990-10-15,10291.081719793514
1990-10-16,10172.607744874462
1990-10-17,10183.457361577843
1990-10-18,10198.82651015988
1990-10-19,10231.499141141592
1990-10-22,10202.075168694248
1990-10-23,10234.744974317804
1990-10-24,10232.07273417439
1990-10-25,10263.237363205179
1990-10-26,10254.54467460047
1990-10-29,10251.370695926058
1990-10-30,10260.718264229045
1990-10-31,10305.402463764869
1990-11-01,10313.614784843601
1990-11-02,10293.243961540338
1990-11-05,10293.053408010219
1990-11-06,10312.163378918061
1990-11-07,10356.837537900099
1990-11-08,10356.401194911648
1990-11-09,10364.987687495252
1990-11-12,10331.702244680895
1990-11-13,10354.191609515434
1990-11-14,10358.634133609437
1990-11-15,10315.714526119587
1990-11-16,10304.378153535768
1990-11-19,10319.98875617818
1990-11-20,10337.978815647331
1990-11-21,10319.125043894066
1990-11-23,10369.368188729743
1990-11-26,10398.488348360846
1990-11-27,10376.616671814792
1990-11-28,10387.07810771824
1990-11-29,10402.055118337834
1990-11-30,10388.830886716218
1990-12-03,10361.559825886123
1990-12-04,10340.0700437896
1990-12-05,10329.474744531488
1990-12-06,10285.79499976135
1990-12-07,10293.24334826498
1990-12-10,10321.914509874294
1990-12-11,10308.65902827471
1990-12-12,10301.038873894408
1990-12-13,10310.70212634168
1990-12-14,10321.125588800323
1990-12-17,10348.650258386439
1990-12-18,10358.318849559924
1990-12-19,10370.979057009909
1990-12-20,10421.58720603365
1990-12-21,10410.15136634471
1990-12-24,10414.215445260528
1990-12-26,10416.901752628328
1990-12-27,10411.092280048942
1990-12-28,10437.987784101506
1990-12-31,10441.971814047358
1991-01-02,10479.108704892
1991-01-03,10444.203827751255
1991-01-04,10454.343600592176
1991-01-07,10488.035334886472
1991-01-08,10478.07897173788
1991-01-09,10458.45579164723
1991-01-10,10487.463605809739
1991-01-11,10489.112925812857
1991-01-14,10557.180621241985
1991-01-15,10557.592442196263
1991-01-16,10595.00848182659
1991-01-17,10403.158719715299
1991-01-18,10398.35618908316
1991-01-21,10401.617664298004
1991-01-22,10425.363485225957
1991-01-23,10404.861607451794
1991-01-24,10363.462471248044
1991-01-25,10374.752061855004
1991-01-28,10380.49065989798
1991-01-29,10400.251466501151
1991-01-30,10323.474315229061
1991-01-31,10315.874830753237
1991-02-01,10305.055831829699
1991-02-04,10330.003929114015
1991-02-05,10326.786143899093
1991-02-06,10280.931503242551
1991-02-07,10307.46428448673
1991-02-08,10357.734066983532
1991-02-11,10335.981293965866
1991-02-12,10317.460697129543
1991-02-13,10337.547201583919
1991-02-14,10349.993754193281
1991-02-15,10329.858879407611
1991-02-19,10314.52838520146
1991-02-20,10329.007115316548
1991-02-21,10310.902429314854
1991-02-22,10284.34737975527
1991-02-25,10278.70939187871
1991-02-26,10292.793068337478
1991-02-27,10300.049222869213
1991-02-28,10322.99006927036
1991-03-01,10357.999640603171
1991-03-04,10350.036379505143
1991-03-05,10343.622348095108
1991-03-06,10358.524054408064
1991-03-07,10362.169864856356
1991-03-08,10379.489279910897
1991-03-11,10361.805122312266
1991-03-12,10350.129674132058
1991-03-13,10365.396991786694
1991-03-14,10355.318786065418
1991-03-15,10367.750932943807
1991-03-18,10341.522151336383
1991-03-19,10360.406554799516
1991-03-20,10361.603593866434
1991-03-21,10345.503465822749
1991-03-22,10349.914622232158
1991-03-25,10325.34078901866
1991-03-26,10305.219445611236
1991-03-27,10285.89871758473
1991-03-28,10299.952206138483
1991-04-01,10304.62794964424
1991-04-02,10320.683413432529
1991-04-03,10335.534418773766
1991-04-04,10330.274730714804
1991-04-05,10332.249114634084
1991-04-08,10355.852841353842
1991-04-09,10381.138470614202
1991-04-10,10377.054343541666
1991-04-11,10365.32825824818
1991-04-12,10368.074126510557
1991-04-15,10356.567836915612
1991-04-16,10366.558340093197
1991-04-17,10363.279868305293
1991-04-18,10352.3493600698
1991-04-19,10329.372654880863
1991-04-22,10334.908293272503
1991-04-23,10328.831500933431
1991-04-24,10332.412144642887
1991-04-25,10313.056484019962
1991-04-26,10314.204010744279
1991-04-29,10300.358349064512
1991-04-30,10354.997481528046
1991-05-01,10346.07025070286
1991-05-02,10328.30046520241
1991-05-03,10340.278783431295
1991-05-06,10343.641184890545
1991-05-07,10349.98912703897
1991-05-08,10357.14976318469
1991-05-09,10357.875087839982
1991-05-10,10357.792100389948
1991-05-13,10362.37076092987
1991-05-14,10372.34186295376
1991-05-15,10388.752664399924
1991-05-16,10358.90051182855
1991-05-17,10352.769232833747
1991-05-20,10355.291694050473
1991-05-21,10366.86878134625
1991-05-22,10371.618472638582
1991-05-23,10357.858215720868
1991-05-24,10366.207924329618
1991-05-28,10369.442081994273
1991-05-29,10417.612152117345
1991-05-30,10415.113121551472
1991-05-31,10411.005387979243
1991-06-03,10435.33372655212
1991-06-04,10431.659346560202
1991-06-05,10432.805663144129
1991-06-06,10453.664877427367
1991-06-07,10472.104869115827
1991-06-10,10517.370450315717
1991-06-11,10510.877713890544
1991-06-12,10518.058518201571
1991-06-13,10500.702192074123
1991-06-14,10486.165629993759
1991-06-17,10481.98042309652
1991-06-18,10510.886097955172
1991-06-19,10489.11863755582
1991-06-20,10491.876453341873
1991-06-21,10482.163663838553
1991-06-24,10442.574795439055
1991-06-25,10463.43124168924
1991-06-26,10486.705242187454
1991-06-27,10477.395719999975
1991-06-28,10507.099440161743
1991-07-01,10514.957578208763
1991-07-02,10501.630830003687
1991-07-03,10520.079446848436
1991-07-05,10527.607166527148
1991-07-08,10533.884583306526
1991-07-09,10526.590290299813
1991-07-10,10541.42222250103
1991-07-11,10521.661578230627
1991-07-12,10519.192382370833
1991-07-15,10522.237373954114
1991-07-16,10530.6307960423
1991-07-17,10533.397434807232
1991-07-18,10535.363902734527
1991-07-19,10544.566377835987
1991-07-22,10546.024589115521
1991-07-23,10528.27510388643
1991-07-24,10518.172020065784
1991-07-25,10510.480373217879
1991-07-26,10505.202208641565
1991-07-29,10516.719571397625
1991-07-30,10487.70922941494
1991-07-31,10500.929861746306
1991-08-01,10506.502390330095
1991-08-02,10462.60642799507
1991-08-05,10455.551689310769
1991-08-06,10460.71671307469
1991-08-07,10460.232402124573
1991-08-08,10467.786453206527
1991-08-09,10473.729746241606
1991-08-12,10477.049971652796
1991-08-13,10466.892889474771
1991-08-14,10460.351816685288
1991-08-15,10481.563916558269
1991-08-16,10477.840741475677
1991-08-19,10508.880345906655
1991-08-20,10450.417124701815
1991-08-21,10471.59313366446
1991-08-22,10471.88896667272
1991-08-23,10452.884687489677
1991-08-26,10456.254842004539
1991-08-27,10458.187109131302
1991-08-28,10464.939980213454
1991-08-29,10439.901356657616
1991-08-30,10410.030103506291
1991-09-03,10414.07693454537
1991-09-04,10426.051538181524
1991-09-05,10416.706712077037
1991-09-06,10423.046472687769
1991-09-09,10446.472556769619
1991-09-10,10456.82688680754
1991-09-11,10406.03604993139
1991-09-12,10413.973265025637
1991-09-13,10400.182631821253
1991-09-16,10412.67164184394
1991-09-17,10419.788678491383
1991-09-18,10438.170027611664
1991-09-19,10441.667414060115
1991-09-20,10442.75578270917
1991-09-23,10451.244444702423
1991-09-24,10473.6530326965
1991-09-25,10481.573670099904
1991-09-26,10475.819063201314
1991-09-27,10449.141018197606
1991-09-30,10504.252897327566
1991-10-01,10497.682194495646
1991-10-02,10515.242625347202
1991-10-03,10522.745694568566
1991-10-04,10519.780894598616
1991-10-07,10550.292253824618
1991-10-08,10534.452926684913
1991-10-09,10535.909100557255
1991-10-10,10551.843177981611
1991-10-11,10538.821883396833
1991-10-14,10548.00007617677
1991-10-15,10541.406538702096
1991-10-16,10534.404697568538
1991-10-17,10549.527042063215
1991-10-18,10561.04203171072
1991-10-21,10598.001181072514
1991-10-22,10587.396864768512
1991-10-23,10587.254507577309
1991-10-24,10578.661572697785
1991-10-25,10587.751806321307
1991-10-28,10562.728836834078
1991-10-29,10554.92026019432
1991-10-30,10571.636691414356
1991-10-31,10557.372097690795
1991-11-01,10560.801047903433
1991-11-04,10552.542936606682
1991-11-05,10555.151310479208
1991-11-06,10539.664192487555
1991-11-07,10540.641015347268
1991-11-08,10528.74699973587
1991-11-11,10547.76102707115
1991-11-12,10547.529729637241
1991-11-13,10562.985041517299
1991-11-14,10558.331686050395
1991-11-15,10556.493977873519
1991-11-18,10601.635943358404
1991-11-19,10620.703595587232
1991-11-20,10618.443386224764
1991-11-21,10633.06807030651
1991-11-22,10663.366806484137
1991-11-25,10675.422774311293
1991-11-26,10653.433680101363
1991-11-27,10661.202520430325
1991-11-29,10656.625471174537
1991-12-02,10675.87973789548
1991-12-03,10632.965643438562
1991-12-04,10652.79341176644
1991-12-05,10649.684407090954
1991-12-06,10674.730741162315
1991-12-09,10701.15800917927
1991-12-10,10680.720606645422
1991-12-11,10669.142588095256
1991-12-12,10613.712457944479
1991-12-13,10610.97293125226
1991-12-16,10618.441439190032
1991-12-17,10601.220380090559
1991-12-18,10606.115083228426
1991-12-19,10615.034162601385
1991-12-20,10611.065558550787
1991-12-23,10624.310567694618
1991-12-24,10625.109989487019
1991-12-26,10626.730148950513
1991-12-27,10576.460829931697
1991-12-30,10577.716915811223
1991-12-31,10578.54011002373
1992-01-02,10561.91825277306
1992-01-03,10581.665575800696
1992-01-06,10551.506455376597
1992-01-07,10554.990301791631
1992-01-08,10563.8800487283
1992-01-09,10573.215318784252
1992-01-10,10631.321954279472
1992-01-13,10597.5344673537
1992-01-14,10595.6009669365
1992-01-15,10613.986733938611
1992-01-16,10625.604225982983
1992-01-17,10618.700516663486
1992-01-20,10646.751078371044
1992-01-21,10638.944705477224
1992-01-22,10630.223316321237
1992-01-23,10616.99111648006
1992-01-24,10600.151092136026
1992-01-27,10628.215451377044
1992-01-28,10630.80608718719
1992-01-29,10618.493509810864
1992-01-30,10629.664691158676
1992-01-31,10613.288844936957
1992-02-03,10636.406686161541
1992-02-04,10633.577969902974
1992-02-05,10619.010527223514
