Year,Annual_Return,Annual_MDD,Year_End_NAV
1990,0.04419718140473572,-0.03842978423229271,10441.971814047358
1991,0.013078784199805016,-0.029853594783847526,10578.54011002373
1992,0.007474726875512427,-0.018950333949357745,10657.611808087811
1993,0.11224806850768543,-0.08284083266296538,11853.90814845037
1994,0.14923281303304448,-0.06266052656647148,13622.900206878947
1995,0.09507255251951285,-0.08225367665825545,14918.064102265529
1996,0.10791710973032664,-0.04112444998570708,16527.978462953764
1997,-0.04390372838482515,-0.16222257353561154,15802.338585766003
1998,0.3958038457141564,-0.10144720219304226,22056.96496928939
1999,0.7800321008360511,-0.08058047712533933,39262.10569235138
2000,-0.15460926663883434,-0.2534541670273658,33191.82032456053
2001,0.1070294021213567,-0.1958032905022501,36744.32100921774
2002,0.0682543951372141,-0.14471353773278817,39252.28241442952
2003,0.3645495581767506,-0.08829580251822988,53561.68462603884
2004,0.032766417397998016,-0.15264774031112105,55316.709141035564
2005,0.10541397569817756,-0.057399475202530525,61147.86337413184
2006,0.14271410066844425,-0.10068718280299638,69874.52570336797
2007,0.295533954643697,-0.06343910909531647,90524.82061333695
2008,-0.09870691605710114,-0.22971577196525916,81589.39474397217
2009,0.44233147041253984,-0.07963584046714434,117678.95169114253
2010,0.10532630306369217,-0.08193750176364223,130073.64062118139
2011,0.02744711700168745,-0.07495381933698897,133643.7870541464
2012,0.06370213711833417,-0.08449599066613167,142157.1819020831
2013,0.08063924432675829,-0.06841402401799446,153620.6296262886
2014,0.11974729672927031,-0.05263143083911226,172016.28474588512
2015,0.11436577656902425,-0.04918664261206385,191689.06073336667
2016,0.09008828733635488,-0.06469823302467814,208957.9999159502
2017,0.20400368446016848,-0.02826616029410367,251586.20179623162
2018,-0.030815538437076073,-0.10583225492733817,243833.43752454186
2019,0.2992107048637238,-0.07363037618235846,316791.0122356048
2020,0.23887113776016045,-0.13254644851054742,392463.24176051666
2021,0.16786658856314363,-0.046113680786612266,458344.70729128685
2022,-0.1399557119779954,-0.1954302368857912,394196.7474509889
2023,0.4300599425563534,-0.07571700382377433,563724.9780156625
2024,0.2585719156159818,-0.10085671548408026,709488.4254617495
2025,0.3678239524321567,-0.07328666792469418,970455.2623199578
2026,0.04668261097519277,-0.06999053084875295,1015758.6477996691
