Year,first,last,return
1970,10000.0,10707.48347563493,0.07074834756349269
1971,10706.094894714206,11982.881383422486,0.11911275984592784
1972,11988.63395039571,14298.96750188612,0.19328290453311192
1973,14341.006736479598,16383.941456279863,0.14581290251332568
1974,16614.675615371216,18462.091730863,0.1268406799504629
1975,18125.673801183708,19372.343474124766,0.04930382518574916
1976,19416.67920039925,21459.09446270239,0.10771804616023073
1977,21420.721299043256,22526.959900133974,0.04976283781627422
1978,22627.154147217785,25332.7652525733,0.12455321822731524
1979,25405.564822138367,35129.53861205272,0.3867234098529442
1980,36280.08484068971,40730.59574925186,0.1594400996566876
1981,40783.870598461486,38463.799136015485,-0.055653411680774756
1982,38332.03290082559,47560.36023320022,0.23649668783412592
1983,47471.8369794465,49511.5134281835,0.04102477747048883
1984,49413.76239723786,51093.58531820865,0.03195361604770919
1985,50718.37267525374,61242.123312313066,0.19862646026697628
1986,61070.31080500163,72859.02484408948,0.18968809217365346
1987,74053.50758247907,78183.91392661621,0.07308482502917535
1988,78733.93892178891,81090.83935560536,0.037180607659493825
1989,80821.51334872143,92885.8302110908,0.14545404819107977
1990,93385.48481114772,94895.97101340779,0.02164098439717721
1991,95214.20736834346,106563.12765876527,0.12294680712745198
1992,106274.35202902123,110064.70718611684,0.03285920378166973
1993,109984.51409673685,122168.26144542392,0.10996762330762988
1994,121906.10111016608,120376.88889819013,-0.014663158221616013
1995,120247.52458878537,143672.6530103029,0.19352356025594797
1996,144234.78698749712,151492.91168148766,0.054431086969793485
1997,150915.71807435332,164014.1659933671,0.08265241041907756
1998,164483.21114562955,183299.45414931735,0.11758306387223993
1999,182966.32508724302,190689.21721084925,0.04031524859595215
2000,189705.30353378144,197075.87506517058,0.033492496050572695
2001,196735.91488274504,195476.36941014958,-0.008116192073191142
2002,195603.98425252584,206878.57487355202,0.058330352143374675
2003,205999.82639647304,232047.24016641453,0.12165911964661569
2004,231236.51361482815,246960.5482745041,0.06426841404101347
2005,245724.2494607334,268335.7277228459,0.08655301260743231
2006,271614.2275958465,297790.0107698153,0.10976653499302613
2007,297001.2687641791,335499.6867572835,0.1266317694471517
2008,338915.3685332466,338293.73296074884,0.008328014343234269
2009,336839.0915148067,360047.07585806533,0.06430312115725756
2010,364133.6844803394,408363.21165827906,0.1341939402925756
2011,408101.4922275244,454980.846634092,0.11415728362628186
2012,457436.0770691428,482630.89386975067,0.06077189279551187
2013,485231.2927653863,470518.48317508807,-0.0250966335734224
2014,470740.5185281789,515067.87219519727,0.0946814856655307
2015,517129.2891509183,500642.287762006,-0.028007152478195185
2016,501366.50504959014,527251.3118375512,0.053149773253262866
2017,529982.0336217942,585728.8429968099,0.11091016721315672
2018,587132.3280814597,576600.6696886425,-0.015584298805337404
2019,577591.8904042406,670626.1446226285,0.16306861902321046
2020,675545.3756509288,774070.1080441308,0.15424982197750792
2021,775794.6980670855,813977.518246273,0.05155529168149586
2022,807761.4164377885,715205.4355556297,-0.12134497633724584
2023,718961.2522101457,798482.4301408647,0.11643786588469895
2024,795710.8007451481,895585.6072335975,0.1216096603097494
2025,898954.6421615815,1095774.5656257921,0.22352855692999163
2026,1097818.656106824,1145155.6523838097,0.04506500543733272
