rebalance_month,cost_scenario,cost_rate,final_asset_usd,cagr,mdd,mdd_date,sharpe_excess_dtb3_sqrt252,annualized_volatility,average_annual_rebalance_turnover,cumulative_trading_cost_usd_nominal
1,gross_0bp,0.0,1145155.7783857943,0.087320632493596,-0.1884866597194531,1980-03-27,0.5577830758278011,0.07350552743207305,0.10159937797868414,0.0
2,gross_0bp,0.0,1167987.075123398,0.0876997495550369,-0.21631778487060627,1980-03-27,0.5543433454847918,0.07476736279847168,0.09923006046892614,0.0
3,gross_0bp,0.0,1184190.5758631094,0.08796441987115267,-0.21821173581748177,1980-03-27,0.5583663173011519,0.07464450734583543,0.0987325697593841,0.0
4,gross_0bp,0.0,1170213.1024842132,0.0877363227617356,-0.2577496002654628,1980-03-27,0.5469492317396958,0.07600822463911822,0.10051453845269846,0.0
5,gross_0bp,0.0,1072325.4237595191,0.08605964099958241,-0.2554039286065932,1980-03-27,0.5255129871036546,0.0762025413380475,0.0973259375849918,0.0
6,gross_0bp,0.0,1060642.3868070461,0.08584956074699734,-0.24612412056132338,1980-03-27,0.5278894622183572,0.07537184942050522,0.0948787450107712,0.0
7,gross_0bp,0.0,1110771.1722915405,0.08673542327688444,-0.2455571661440522,1980-03-27,0.5367817529311651,0.07568411854784243,0.10168071945599431,0.0
8,gross_0bp,0.0,1101116.5527422838,0.08656790470451026,-0.24389998750121977,1980-03-27,0.5355861242558521,0.07554561420452131,0.10045348120469133,0.0
9,gross_0bp,0.0,1122405.333530985,0.08693539910629355,-0.23465914362572105,1980-03-27,0.5411116332708884,0.07537604637771325,0.10402826541921163,0.0
10,gross_0bp,0.0,1132722.4137925156,0.08711103985552904,-0.2133902571311882,1980-03-27,0.5487270781127065,0.07450690348799638,0.10393214528284996,0.0
11,gross_0bp,0.0,1067143.396228108,0.08596673848401726,-0.2190941348428168,1980-03-27,0.5312919734430296,0.07504743049149055,0.09726721923246506,0.0
12,gross_0bp,0.0,1138057.1381802282,0.08720124421047837,-0.2101519314148158,1980-03-27,0.5482745121575429,0.07475388949413889,0.0997167305328756,0.0
