Period,Cost_bps,CAGR,MDD,Sharpe,Annualized_Std,Max_Recovery_Months,Final_Asset_USD,MDD_Source,Avg_Annual_Gross_Turnover
book_validation,0.0,0.08746781458614694,-0.17363775414223603,1.2380203574075421,0.06991941913001415,22.3,782804.7132421373,daily,0.09814074665059548
from_2001,0.0,0.07132579647074921,-0.1699735348062409,1.0251827004180458,0.069757980622756,26.3,58612.03075651261,daily,0.0927458178797948
from_2021,0.0,0.07021302877344437,-0.16997353480624078,0.8300113547309473,0.08642076063903202,26.3,14689.194838199195,daily,0.11335047424099405
longest,0.0,0.08385808587742516,-0.17363775414223603,1.1693524858296194,0.07125447408437612,26.3,1104677.9595751835,daily,0.09916527624198303
book_validation,5.0,0.08741472623343083,-0.1736377541422358,1.237384199958519,0.06991542739500599,22.3,780819.9940123241,daily,0.09814074665059555
from_2001,5.0,0.07127547047517147,-0.17002050009492187,1.0245447025397627,0.06975513021741636,26.3,58541.402992398216,daily,0.09274581787979483
from_2021,5.0,0.07014880619424146,-0.17002050009492187,0.8293857131281093,0.08641237510808096,26.3,14684.20044929621,daily,0.11335047424099433
longest,5.0,0.08380473507935204,-0.1736377541422358,1.1687300983419318,0.07124974447678357,26.3,1101505.5935385642,daily,0.09916527624198307
book_validation,15.0,0.08730854673053123,-0.1736377541422356,1.236109277026458,0.06990757909488367,22.3,776865.2461383182,daily,0.09814074665059559
from_2001,15.0,0.07117481667916703,-0.17011443067228316,1.0232668909028622,0.06974954252023968,26.3,58400.390231979945,daily,0.09274581787979486
from_2021,15.0,0.07002036052134941,-0.17011443067228316,0.8281328639821891,0.0863957294032764,26.3,14674.215826791582,daily,0.11335047424099431
longest,15.0,0.0836980308061297,-0.1736377541422356,1.1674829021239634,0.07124041787863421,26.3,1095187.5428724447,daily,0.09916527624198312
