Code,name,first_date,last_date,observations,last_close,last_market,ends_before_sample_end
000010,조흥은행,1998-10-20,2004-07-01,1405,2160.0,KOSPI,True
000020,동화약품,1998-10-20,2026-08-14,6866,5310.0,KOSPI,True
000030,우리은행,1998-10-20,2019-02-12,1907,14800.0,KOSPI,True
000040,KR모터스,1998-10-20,2026-08-14,6866,1221.0,KOSPI,True
000050,경방,1998-10-20,2026-08-14,6866,8900.0,KOSPI,True
000060,메리츠화재,1998-10-20,2023-02-20,6017,51600.0,KOSPI,True
000070,삼양홀딩스,1998-10-20,2026-08-14,6866,60200.0,KOSPI,True
000075,삼양홀딩스우,1998-10-20,2025-08-19,6625,83500.0,KOSPI,True
000080,하이트진로,1998-10-20,2026-08-14,5185,15850.0,KOSPI,True
000085,진로(1우),1998-10-20,2003-01-09,1042,550.0,KOSPI,True
000087,하이트진로2우B,2011-09-26,2026-08-14,3660,12460.0,KOSPI,True
000100,유한양행,1998-10-20,2026-08-14,6866,83700.0,KOSPI,True
000105,유한양행우,1998-10-20,2026-08-14,6866,70700.0,KOSPI,True
000107,유한양행(2우B),1999-01-29,2004-01-07,1212,65000.0,KOSPI,True
000110,제일은행,1998-10-20,2005-04-21,1606,2645.0,KOSPI,True
000120,CJ대한통운,1998-10-20,2026-08-14,6866,77200.0,KOSPI,True
000130,한일은행,1998-10-20,1999-01-08,61,7800.0,KOSPI,True
000140,하이트진로홀딩스,1998-10-20,2026-08-14,6866,8440.0,KOSPI,True
000145,하이트진로홀딩스우,1998-10-20,2026-08-14,6866,9600.0,KOSPI,True
000147,하이트맥주(2우B),1998-10-20,2001-07-23,683,54300.0,KOSPI,True
000149,하이트맥주(3우B),2000-01-11,2002-05-20,575,0.0,KOSPI,True
000150,두산,1998-10-20,2026-08-14,6866,1276000.0,KOSPI,True
000155,두산우,1998-10-20,2026-08-14,6866,439500.0,KOSPI,True
000157,두산2우B,1999-12-03,2026-08-14,6579,355000.0,KOSPI,True
000160,대한중석,1998-10-20,1999-10-26,260,55.0,KOSPI,True
000170,LG금속,1998-10-20,1999-04-07,119,5150.0,KOSPI,True
000180,성창기업지주,1998-10-20,2026-08-14,6866,5440.0,KOSPI,True
0001A0,덕양에너젠,2026-01-30,2026-08-14,132,8920.0,KOSDAQ,True
000200,대우중공업,1998-10-20,2001-05-22,641,5.0,KOSPI,True
000205,대우중공업(1우),1998-10-20,2001-05-22,641,35.0,KOSPI,True
000210,DL,1998-10-20,2026-08-14,6866,51900.0,KOSPI,True
000215,DL우,1998-10-20,2026-08-14,6866,23900.0,KOSPI,True
000220,유유제약,1998-10-20,2026-08-14,6866,3820.0,KOSPI,True
000225,유유제약1우,1998-10-20,2026-08-14,6866,3685.0,KOSPI,True
000227,유유제약2우B,2000-06-20,2026-08-14,6449,7800.0,KOSPI,True
000230,일동홀딩스,1998-10-20,2026-08-14,6866,6520.0,KOSPI,True
000240,한국앤컴퍼니,1998-10-20,2026-08-14,6866,26250.0,KOSPI,True
000250,삼천당제약,2000-10-04,2026-08-14,6379,189000.0,KOSDAQ,True
000270,기아,1998-10-20,2026-08-14,6866,141700.0,KOSPI,True
000280,동아건설,1998-10-20,2001-06-05,651,30.0,KOSPI,True
000300,DH오토넥스,1998-10-20,2026-08-14,6866,4200.0,KOSPI,True
000310,해태제과,1998-10-20,2001-11-09,758,10.0,KOSPI,True
000315,해태제과(1우),1998-10-20,2001-11-09,758,295.0,KOSPI,True
000317,해태제과(2우B),2000-01-11,2001-11-09,448,20.0,KOSPI,True
000320,노루홀딩스,1998-10-20,2026-08-14,6866,17020.0,KOSPI,True
000325,노루홀딩스우,1998-10-20,2026-08-14,6866,25650.0,KOSPI,True
000327,노루홀딩스2우B,2007-09-28,2017-09-27,2481,19600.0,KOSPI,True
000360,삼환기업,1998-10-20,2015-04-14,4084,1100.0,KOSPI,True
000365,삼환기업우,1998-10-20,2015-04-14,4084,1040.0,KOSPI,True
000370,한화손해보험,1998-10-20,2026-08-14,6866,6990.0,KOSPI,True
000380,대아건설,1998-10-20,2004-10-20,1481,2800.0,KOSDAQ,True
000390,SP삼화,1998-10-20,2026-08-14,6866,6310.0,KOSPI,True
000400,롯데손해보험,1998-10-20,2026-08-14,6866,2045.0,KOSPI,True
000420,로케트전기,1998-10-20,2015-02-23,4048,14.0,KOSPI,True
000425,로케트전우,1998-10-20,2015-02-23,4048,32.0,KOSPI,True
000430,대원강업,1998-10-20,2026-08-14,6866,4085.0,KOSPI,True
