period,전략,CAGR,MDD,MDD_source,Sharpe,연환산_표준편차,최대회복기간_개월,최대회복기간_일,최종배수,최종자산
book_validation,전략(비용전),0.05047751064936423,-0.13708921818501196,monthly_fallback,0.8554214052099969,0.05975506490363043,38.0,1157,2.309802812330565,23098028.12330565
book_validation,전략(비용후),0.05004266628306708,-0.1374353572746776,monthly_fallback,0.8480698593262999,0.05978496956925832,38.0,1157,2.29360213006482,22936021.3006482
book_validation,정적4자산25%,0.0821393327001172,-0.17837390428369793,monthly_fallback,1.1043418051268383,0.07418953098442771,29.0,882,3.826609152242444,38266091.52242444
from_2001,전략(비용전),0.0473441032721138,-0.13708921818501174,monthly_fallback,0.6451455960815193,0.07627870190626139,49.0,1492,3.2781417231771623,32781417.23177162
from_2001,전략(비용후),0.04685417572520678,-0.13743535727467748,monthly_fallback,0.6390915718998329,0.07626485818011029,49.0,1492,3.239009357026126,32390093.57026126
from_2001,정적4자산25%,0.08730867544626886,-0.2355814365591382,monthly_fallback,0.8824690273016857,0.1008893463561771,46.0,1399,8.571494792200468,85714947.92200468
from_2021,전략(비용전),0.04463544679697784,-0.13485384815739654,monthly_fallback,0.43526774429315984,0.11520235401039046,49.0,1492,1.2807576654443167,12807576.654443167
from_2021,전략(비용후),0.04415531021394825,-0.13513525809029736,monthly_fallback,0.43136052732285085,0.11516802977410033,49.0,1492,1.2774254818439463,12774254.818439463
from_2021,정적4자산25%,0.08189681786396474,-0.2355814365591382,monthly_fallback,0.5896367500182494,0.15338648415858777,46.0,1399,1.5621393754357704,15621393.754357705
longest,전략(비용전),0.047979163072709774,-0.16449044468203977,monthly_fallback,0.6192966477193034,0.08104912644747422,60.0,1827,4.0160139650258175,40160139.650258176
longest,전략(비용후),0.04750354891996689,-0.1656105108943039,monthly_fallback,0.6137330579454704,0.08104030493528463,60.0,1827,3.9622930222191424,39622930.22219142
longest,정적4자산25%,0.09843323186435704,-0.2355814365591382,monthly_fallback,0.8904979589917178,0.11286459331169715,46.0,1399,16.20386754243223,162038675.4243223
