rebalance_month,start,end,months,CAGR,CumulativeReturn,AnnualizedVol,MDD,Sharpe,FinalMultiple,FinalAssetKRW
1,2001-01-31,2026-08-31,308,0.04685417572520678,2.239009357026126,0.07626485818011029,-0.13743535727467748,0.6390915718998329,3.239009357026126,32390093.57026126
2,2001-01-31,2026-08-31,308,0.05504309266441765,2.9561106373580968,0.0693203015756283,-0.0963537136759256,0.8088553486414959,3.9561106373580968,39561106.37358097
3,2001-01-31,2026-08-31,308,0.05187472594345066,2.662209495255742,0.06419585832221888,-0.08875307259975507,0.8212193006421032,3.662209495255742,36622094.95255742
4,2001-01-31,2026-08-31,308,0.047569570588333665,2.296302938416097,0.06560381989127653,-0.10150173207917002,0.7422071352366348,3.296302938416097,32963029.38416097
5,2001-01-31,2026-08-31,308,0.056981369270594495,3.1469442497329236,0.06610225834238326,-0.11152812370825749,0.8729240486756074,4.146944249732924,41469442.497329235
6,2001-01-31,2026-08-31,308,0.06861117651525195,4.491689122745552,0.07405184118168931,-0.10994549763709738,0.934591212039496,5.491689122745552,54916891.22745553
7,2001-01-31,2026-08-31,308,0.06946003180879967,4.604759795361259,0.07883092914312007,-0.1831510420903727,0.8924943345086888,5.604759795361259,56047597.95361259
8,2001-01-31,2026-08-31,308,0.06860067258890234,4.490303788016227,0.08032735844387208,-0.1497665996691101,0.8675306628427579,5.490303788016227,54903037.88016228
9,2001-01-31,2026-08-31,308,0.0636138189023836,3.8691736315130507,0.07693885536563054,-0.13633021056394345,0.8412926563149978,4.869173631513051,48691736.31513051
10,2001-01-31,2026-08-31,308,0.06136777270502858,3.612021744849721,0.07835694428281632,-0.13133627303490292,0.8003457357051238,4.612021744849721,46120217.448497206
11,2001-01-31,2026-08-31,308,0.05437161990483008,2.8919910276555885,0.07394672462824158,-0.17833204601822383,0.7540556504659296,3.8919910276555885,38919910.27655589
12,2001-01-31,2026-08-31,308,0.05476569703617673,2.929499731781389,0.07470372502340422,-0.1499704575362074,0.7521519515277094,3.929499731781389,39294997.31781389
